#,Club,League as at15/07/2023,Value 15/07/2023,Squad size 15/07/2023,Value 01/06/2024,Squad size 01/06/2024,Difference,%
1,Arsenal FC,Premier League,1070000000,31,1160000000,27,90000000,8.41%
2,Manchester City,Premier League,1190000000,29,1320000000,26,130000000,10.92%
3,Chelsea FC,Premier League,886700000,33,924000000,31,37300000,4.21%
4,Liverpool FC,Premier League,848800000,25,941900000,31,93100000,10.97%
5,Tottenham Hotspur,Premier League,755300000,31,793300000,30,38000000,5.03%
6,Manchester United,Premier League,833800000,34,718650000,28,-115150000,-13.81%
7,Newcastle United,Premier League,577100000,34,648950000,34,71850000,12.45%
8,Nottingham Forest,Premier League,310980000,35,387250000,33,76270000,24.53%
9,Aston Villa,Premier League,507000000,30,655600000,30,148600000,29.31%
10,Brighton & Hove Albion,Premier League,470050000,38,511750000,35,41700000,8.87%
11,Crystal Palace,Premier League,299450000,25,441700000,28,142250000,47.50%
12,AFC Bournemouth,Premier League,258000000,27,382950000,33,124950000,48.43%
13,Brentford FC,Premier League,398900000,32,414880000,34,15980000,4.01%
14,Everton FC,Premier League,332550000,23,331400000,24,-1150000,-0.35%
15,West Ham United,Premier League,452900000,24,439600000,25,-13300000,-2.94%
16,Sheffield United,Premier League,95000000,44,130000000,43,35000000,26.92%
17,Fulham FC,Premier League,243000000,23,346300000,26,103300000,42.51%
18,Wolverhampton Wanderers,Premier League,377880000,33,349800000,27,-28080000,-7.43%
19,Luton Town,Premier League,38150000,45,86850000,45,48700000,56.07%
20,Burnley FC,Premier League,156300000,29,257430000,34,101130000,64.70%
