Common_Name,FBref_Name,TM_Name,Manager
Arsenal,Arsenal,Arsenal FC,Mikel Arteta
Aston Villa,Aston Villa,Aston Villa,Unai Emery
Bournemouth,Bournemouth,AFC Bournemouth,Andoni Iraola
Brentford,Brentford,Brentford FC,Thomas Frank
Brighton,Brighton,Brighton & Hove Albion,Roberto De Zerbi/Fabian Hürzeler
Burnley,Burnley,Burnley FC,Vincent Kompany
Chelsea,Chelsea,Chelsea FC,Mauricio Pochettino
Crystal Palace,Crystal Palace,Crystal Palace,Roy Hodgson/Oliver Glasner
Everton,Everton,Everton FC,Sean Dyche
Fulham,Fulham,Fulham FC,Marco Silva
Liverpool,Liverpool,Liverpool FC,Jürgen Klopp
Luton Town,Luton Town,Luton Town,Rob Edwards
Man City,Manchester City,Manchester City,Pep Guardiola
Man Utd,Manchester Utd,Manchester United,Erik ten Hag
Newcastle,Newcastle Utd,Newcastle United,Eddie Howe
Nottm Forest,Nott'ham Forest,Nottingham Forest,Steve Cooper/Nuno Espírito Santo
Sheffield Utd,Sheffield Utd,Sheffield United,Paul Heckingbottom/Chris Wilder
Tottenham,Tottenham,Tottenham Hotspur,Ange Postecoglou
West Ham,West Ham,West Ham United,David Moyes
Wolves,Wolves,Wolverhampton Wanderers,Gary O'Neil
Hull City,Hull City,Hull City,Liam Rosenior
Middlesbrough,Middlesbrough,Middlesbrough FC,Michael Carrick
Sunderland,Sunderland,Sunderland AFC,Tony Mowbray/Michael Beale
