Squad,Manager,Start_Date,End_Date,Matches,W,D,L,PPM
Arsenal,Mikel Arteta,22/12/2019,Present,52,35,7,10,2.15
Aston Villa,Unai Emery,01/11/2022,Present,56,29,12,15,1.77
Bournemouth,Andoni Iraola,01/07/2023,Present,44,17,9,18,1.36
Brentford,Thomas Frank,16/10/2018,30/06/2025,42,11,10,21,1.02
Brighton,Roberto De Zerbi,18/09/2022,30/06/2024,50,19,13,18,1.4
Brighton,Fabian Hürzeler,01/07/2024,Present,0,0,0,0,0.0
Burnley,Vincent Kompany,01/07/2022,30/06/2024,42,7,9,26,0.71
Chelsea,Mauricio Pochettino,01/07/2023,30/06/2024,51,27,10,14,1.78
Crystal Palace,Roy Hodgson,21/03/2023,19/02/2024,28,7,7,14,1.0
Crystal Palace,Patrick McCarthy,19/02/2024,20/02/2024,0,0,0,0,0.0
Crystal Palace,Ray Lewington,19/02/2024,19/02/2024,1,0,1,0,1.0
Crystal Palace,Oliver Glasner,20/02/2024,Present,13,7,3,3,1.85
Everton,Sean Dyche,30/01/2023,09/01/2025,44,17,10,17,1.39
Fulham,Marco Silva,01/07/2021,Present,46,18,9,19,1.37
Liverpool,Jürgen Klopp,08/10/2015,30/06/2024,58,39,11,8,2.21
Luton Town,Rob Edwards,17/11/2022,09/01/2025,44,9,9,26,0.82
Man City,Pep Guardiola,01/07/2016,Present,59,44,8,7,2.37
Man Utd,Erik ten Hag,01/07/2022,28/10/2024,52,26,7,19,1.63
Newcastle,Eddie Howe,08/11/2021,Present,51,24,8,19,1.57
Nottm Forest,Steve Cooper,21/09/2021,19/12/2023,18,3,5,10,0.78
Nottm Forest,Nuno Espírito Santo,20/12/2023,09/09/2025,26,8,6,12,1.15
Sheffield Utd,Paul Heckingbottom,25/11/2021,05/12/2023,15,1,2,12,0.33
Sheffield Utd,Chris Wilder,05/12/2023,18/06/2025,26,3,5,18,0.54
Tottenham,Ange Postecoglou,01/07/2023,06/06/2025,41,21,6,14,1.68
West Ham,David Moyes,29/12/2019,30/06/2024,53,22,12,19,1.47
Wolves,Julen Lopetegui,14/11/2022,08/08/2023,0,0,0,0,0.0
Wolves,Gary O'Neil,09/08/2023,15/12/2024,45,17,8,20,1.31
Hull City,Liam Rosenior,03/11/2022,30/06/2024,49,19,14,16,1.45
Burnley,Vincent Kompany,01/07/2022,30/06/2024,42,7,9,26,0.71
Sheffield Utd,Paul Heckingbottom,25/11/2021,05/12/2023,15,1,2,12,0.33
Sheffield Utd,Chris Wilder,05/12/2023,18/06/2025,26,3,5,18,0.54
Luton Town,Rob Edwards,17/11/2022,09/01/2025,44,9,9,26,0.82
Middlesbrough,Michael Carrick,25/10/2022,04/06/2025,54,26,9,19,1.61
Sunderland,Tony Mowbray,30/08/2022,04/12/2023,20,8,3,9,1.35
Sunderland,Mike Dodds,04/12/2023,18/12/2023,3,2,0,1,2.0
Sunderland,Michael Beale,18/12/2023,19/02/2024,12,4,2,6,1.17
