Squad,# Pl,90s,total_Cmp,total_Att,total_Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,mid_Cmp,mid_Att,mid_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arouca,35,34,337.1,449.6,75,6433.1,2546.8,137.7,163.8,84.1,148.2,178.6,83,45.2,87.4,51.7,0.53,0.7,0.74,-0.17,8.59,28,6.47,1.91,34.9
B-SAD,37,34,289.4,389.7,74.2,5459.4,2168.4,116.1,136.9,84.9,130.5,155.7,83.8,35.5,76,46.7,0.32,0.61,0.56,-0.29,6.24,18.8,4.29,1.65,25
Benfica,35,34,488.7,582,84,8651.4,2858.6,208.3,232,89.8,220.6,246.2,89.6,46.6,72.7,64.1,1.71,1.61,1.49,0.09,11.8,40.1,11.6,2.68,53.5
Boavista,28,34,311.4,411.4,75.7,6003.1,2295.9,120.5,143.3,84.1,140.7,165.2,85.1,41.7,79.3,52.6,0.82,0.71,0.55,0.11,8.47,19.6,3.24,1.29,24.7
Braga,40,34,436.5,547.3,79.7,8228,2726.3,174.5,199.1,87.6,199,230.2,86.4,53.5,92.3,58,1,1.09,0.92,-0.09,10.5,36,7.47,1.68,40.9
Estoril,31,34,340.9,434.3,78.5,6632.1,2313.6,122.9,143.1,85.9,168.2,194.1,86.7,44.1,76.3,57.8,0.74,0.71,0.68,0.03,7.44,25,5.44,2.29,34.6
Famalicão,37,34,335.8,431.6,77.8,6575.1,2539.8,129,151.2,85.3,149.7,175.2,85.4,48.6,82.7,58.8,0.94,0.97,0.87,-0.03,8.5,27.5,6.38,2.09,35.3
Gil Vicente FC,29,34,409.7,512.1,80,7869.2,2733,155.4,178.2,87.2,193,222,86.9,52,87.4,59.5,0.94,0.92,0.85,0.02,9.21,35.2,7.59,1.21,42
Marítimo,30,34,341.7,439.8,77.7,6789.6,2538.4,120.7,142,85,167.9,194.4,86.4,47.6,84,56.7,0.62,0.65,0.59,-0.03,7.24,22.3,4.79,1.82,29.3
Moreirense,29,34,274.9,388.5,70.8,5276.8,2123.9,112.4,137.4,81.8,116.3,146.2,79.6,38.4,79.5,48.3,0.56,0.71,0.64,-0.16,7.15,23.6,5.18,1.82,30.3
Paços de Ferreira,30,34,333.8,435.4,76.7,6521.1,2464.9,127.4,146.8,86.8,153.6,182.3,84.3,46.2,84.9,54.4,0.5,0.63,0.64,-0.13,7.18,24.3,5.53,2.24,29.2
Portimonense,35,34,330.6,432.9,76.4,6622.6,2533.3,124.2,145.9,85.1,151.6,177.8,85.3,49.4,90.6,54.6,0.53,0.7,0.59,-0.17,8.79,24.1,4.18,1.06,31.1
Porto,33,34,476.1,575.6,82.7,8288.9,2843.6,223.2,247.4,90.2,183.6,211.1,87,52.2,83,63,1.59,1.74,1.62,-0.16,13.1,38.2,11.4,1.97,45.7
Santa Clara,32,34,312,412.6,75.6,6064.9,2383.5,121.7,143.4,84.8,139.6,164.9,84.7,44.1,83,53.1,0.65,0.79,0.69,-0.14,7.26,23.8,4.59,1.06,28.4
Sporting CP,31,34,487.5,585.2,83.3,8618.3,2827.7,217.6,241,90.3,212.4,240.4,88.3,48.1,77.8,61.8,1.32,1.43,1.29,-0.11,11.6,37.2,9.94,2.85,46
Tondela,27,34,316.8,419.4,75.5,5976.7,2413.3,131.2,152.9,85.8,137.1,165.6,82.8,41.1,78.4,52.5,0.74,0.65,0.56,0.09,6.26,21.5,4.65,1.38,28.4
Vitória,31,34,339.4,440.1,77.1,6498.1,2391.6,139.1,160.9,86.5,145.1,171.9,84.4,47.1,83.9,56.1,0.74,0.94,0.81,-0.2,9.47,28.7,7.24,2.38,37.4
Vizela,31,34,299.6,406.9,73.6,5418.5,2236.6,131.9,155.2,85,125.6,153.6,81.8,34.6,72.6,47.6,0.68,0.82,0.88,-0.14,8.79,24.8,6.41,2.24,34.3
