Squad,# Pl,Poss,90s,Touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,take_on_Att,take_on_Succ,take_on_Succ%,take_on_Tkld,take_on_Tkld%,Carries,carries_TotDist,carries_PrgDist,carries_PrgC,carries_1/3,carries_CPA,carries_Mis,carries_Dis,Rec,PrgR
Arouca,35,49.9,34,558.4,56.3,180.6,257.1,126.3,17.4,558.3,14.3,7.88,55.1,6.41,44.9,299.1,1519.7,692.9,12.1,8.94,2.82,17.8,8.68,334.4,34.5
B-SAD,37,43.5,34,491.2,65.4,182.5,223.5,90.5,12.6,491.1,12.1,6.12,50.5,6,49.5,253.1,1221.5,553.3,9.68,7.79,1.91,15.5,6.26,287.1,24.9
Benfica,35,60.9,34,687.2,54.2,181.9,316.4,195,29,687,21.6,12.1,55.9,9.5,44,433.2,2296.8,1192.5,23.5,17.6,5.65,15.4,8.68,485.8,53.2
Boavista,28,44.6,34,523.8,59.8,199.8,237.5,92.6,12.9,523.7,19.6,10.3,52.4,9.35,47.6,260.5,1431.1,686.6,14,9.82,3.32,15.9,7.06,308.7,24.4
Braga,40,53.7,34,651.1,61.9,197.8,312,146.6,20.1,650.9,15.2,8,52.5,7.21,47.3,362.9,1803.2,908.1,16.7,11.4,5.26,15.3,8.06,433.7,40.6
Estoril,31,47.4,34,532.6,72.5,206.3,215.4,115.6,14.9,532.4,14.2,7.79,55,6.38,45,290.6,1626.1,897.6,14.7,8.82,3.06,14.1,7.15,336.9,34.3
Famalicão,37,47.4,34,545.7,57.4,188.5,240,123.4,18,545.6,18.2,9.71,53.3,8.5,46.7,289.5,1535.6,752.9,15.3,10.6,3.5,17.2,9,333.1,34.8
Gil Vicente FC,29,54.4,34,612.1,60.4,190.3,285.1,141.7,18.2,612,15.4,8.03,52.1,7.38,47.9,334.9,1563.9,777.6,14.1,10.4,3.85,13.5,6.91,406.4,41.6
Marítimo,30,48.7,34,551.4,66.4,215.8,243.5,99.1,13.6,551.2,18.9,9.91,52.6,8.94,47.4,301,1663.9,784.9,13.7,9.85,2.59,18.1,8.65,339,29.1
Moreirense,29,44.4,34,495.5,51.1,156.5,222.1,122.9,17.4,495.3,15.4,8.35,54.1,7.09,45.9,251.7,1266.8,610.8,12.8,10,2.74,15.1,7.38,272.2,30
Paços de Ferreira,30,49,34,536.4,58.6,191.5,244.1,105.9,14.4,536.3,12.1,6.12,50.5,6,49.5,272.2,1363.6,626.6,12.4,8.74,1.79,15.4,7.35,331.1,28.9
Portimonense,35,48.5,34,541.8,69.7,205.1,229.4,114,15.4,541.7,17.8,9.47,53.3,8.26,46.5,299.9,1548.5,729.3,13.6,9.94,3.59,15.7,7.12,327.7,30.9
Porto,33,62.6,34,682,50.2,170.5,327.3,189.7,33.1,681.7,19.7,10.8,54.9,8.85,45,427.7,1979.9,1004.2,20.2,14.8,7,15.8,6.65,472.7,45.3
Santa Clara,32,45.8,34,520,61.4,195.3,230.5,100.5,14,519.9,14.9,7.94,53.5,6.91,46.5,274,1408.4,657.6,11.3,7.97,2.35,16.6,7.38,308.3,28.1
Sporting CP,31,59.8,34,687.7,55.2,184.8,354.4,155.5,25.2,687.4,17.6,10.7,60.8,6.88,39.2,404.6,2046.6,1095.1,20.7,13.9,3.76,14.9,8.24,484.4,45.7
Tondela,27,45.9,34,526.2,63.9,209.8,226.3,95.4,12.6,525.9,14,7.97,56.9,6.03,43.1,270.9,1399.7,661.3,12.1,8.85,2.76,16.1,9.15,314.4,28.3
Vitória,31,48.7,34,541.6,54,165.1,246.6,135.5,19.6,541.2,16.9,8.97,53,7.97,47,298.2,1510.4,769,15.7,11.1,3.91,15.3,7.62,336.9,37
