Squad,# Pl,90s,SCA,SCA90,sca_PassLive,sca_PassDead,sca_TO,sca_Sh,sca_Fld,sca_Def,GCA,GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def
Arouca,35,34,21.1,21.15,14.3,2.44,0.97,1.44,1.59,0.38,1.38,1.38,0.94,0.12,0,0.09,0.18,0.06
B-SAD,37,34,16.1,16.12,10.9,1.74,0.82,1.15,1.15,0.38,1.15,1.15,0.71,0.12,0.03,0.15,0.15,0
Benfica,35,34,26.9,26.91,19.7,2.44,1.82,1.79,0.76,0.38,3.85,3.85,2.88,0.15,0.35,0.35,0.12,0
Boavista,28,34,19.2,19.24,12.7,2.5,1.24,1.15,1.32,0.29,1.91,1.91,1.47,0.18,0.09,0.09,0.06,0.03
Braga,40,34,23.2,23.21,17.5,2.12,1.24,1.03,1,0.29,2.56,2.56,1.71,0.12,0.24,0.32,0.18,0
Estoril,31,34,18.4,18.35,12.9,1.74,0.85,1.09,1.32,0.41,1.71,1.71,1,0.12,0.21,0.18,0.15,0.06
Famalicão,37,34,20.7,20.71,13.6,2.65,1.41,1.29,1.47,0.32,2.21,2.21,1.41,0.26,0.18,0.21,0.15,0
Gil Vicente FC,29,34,21.7,21.71,15.2,1.65,1.59,1.76,1.06,0.47,2.47,2.47,1.85,0.12,0.12,0.24,0.12,0.03
Marítimo,30,34,17.3,17.29,11.3,2.21,1.15,0.97,1.44,0.21,1.82,1.82,1.18,0.12,0.09,0.24,0.21,0
Moreirense,29,34,19.4,19.44,12.2,2.29,1.26,1.32,1.91,0.41,1.71,1.71,0.85,0.21,0.29,0.06,0.29,0
Paços de Ferreira,30,34,18.4,18.44,12.4,2.15,0.71,1.18,1.76,0.26,1.44,1.44,0.97,0.15,0.09,0.06,0.15,0.03
Portimonense,35,34,20,20.03,12.4,2.59,1.62,1.53,1.44,0.41,1.32,1.32,0.68,0.18,0.12,0.15,0.15,0.06
Porto,33,34,31.1,31.12,21.5,3.15,1.71,2.62,1.62,0.53,4.15,4.15,2.74,0.24,0.35,0.53,0.24,0.06
Santa Clara,32,34,17.7,17.71,11.3,2.26,1.03,1.18,1.59,0.32,1.65,1.65,1.03,0.12,0.15,0.24,0.12,0
Sporting CP,31,34,27.8,27.76,20.7,2.29,1.12,2.21,0.94,0.47,3.68,3.68,2.71,0.12,0.12,0.47,0.21,0.06
Tondela,27,34,15.3,15.29,10.4,1.29,1.12,0.91,1.24,0.32,2.15,2.15,1.29,0.15,0.24,0.24,0.24,0
Vitória,31,34,23.9,23.85,16.2,2.44,1.91,1.5,1.29,0.47,2.5,2.5,1.5,0.21,0.18,0.35,0.26,0
Vizela,31,34,22.4,22.41,15.5,2.47,0.97,1.53,1.56,0.38,1.76,1.76,1.15,0.12,0.18,0.12,0.18,0.03
