Squad,# Pl,90s,Tkl,TklW,def_3rd,mid_3rd,att_3rd,dribb_Tkl,dribb_Att,dribb_Tkl%,dribb_Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arouca,35,34,14.6,9.06,6.79,6.21,1.59,7.91,16.4,48.3,8.47,9.29,2.09,7.21,10.4,25,18.1,0.24
B-SAD,37,34,13.4,7.91,7,4.79,1.59,6.91,15.5,44.5,8.62,11,4.06,6.94,9.82,23.2,20,0.15
Benfica,35,34,16.2,9.97,6.88,6.94,2.38,8.35,15.9,52.5,7.56,10.2,2.71,7.5,9.38,25.6,13.2,0.21
Boavista,28,34,16.7,9.91,9.12,6.18,1.38,8.41,17.9,47,9.5,9.88,2.94,6.94,11.1,27.8,19,0.18
Braga,40,34,13.8,8.35,5.44,6.15,2.24,6.21,15.4,40.3,9.18,10.1,2.71,7.41,9.88,23.7,16.2,0.24
Estoril,31,34,13.1,7.41,6.26,5.06,1.82,6.5,13.9,46.6,7.44,10.2,4.47,5.76,8.76,21.9,18.7,0.41
Famalicão,37,34,16.2,9.82,7.79,6.32,2.06,8.71,18,48.4,9.26,10.1,3.15,6.97,11.9,28.1,20.7,0.29
Gil Vicente FC,29,34,12.6,7.29,5,5.97,1.68,5,13.1,38,8.15,9.5,3.26,6.24,8.29,20.9,18.6,0.29
Marítimo,30,34,17.2,10.6,8.44,7.21,1.56,7.32,15.4,47.4,8.12,11.2,3.59,7.65,10.1,27.3,18.9,0.24
Moreirense,29,34,14.8,8.65,7.26,5.91,1.59,6.62,15.8,41.9,9.18,9.32,2.74,6.59,9.15,23.9,19.8,0.29
Paços de Ferreira,30,34,14.5,8.38,7.03,5.62,1.82,7.94,18.9,42.1,10.9,9.65,3.21,6.44,11.1,25.5,18.7,0.26
Portimonense,35,34,13.9,8.24,7.35,5.06,1.5,6.71,14.6,45.9,7.91,10.1,3.85,6.26,10.4,24.4,19.7,0.18
Porto,33,34,16.3,10,5.24,7.59,3.44,8.03,16.9,47.6,8.82,8.79,1.53,7.26,9.5,25.8,12,0.18
Santa Clara,32,34,15.4,9.5,8.21,5.82,1.38,7.71,15.9,48.6,8.15,9.47,2.85,6.62,11.1,26.5,19.3,0.32
Sporting CP,31,34,16.7,9.79,6.97,7.68,2.03,7.71,17,45.4,9.26,9.74,1.97,7.76,10,26.7,12.6,0.21
Tondela,27,34,17.2,11.1,9.71,6.09,1.44,8.97,17.6,50.9,8.65,9.35,2.79,6.56,10.2,27.5,19.7,0.18
Vitória,31,34,13.8,8.53,6.32,5.53,1.97,7,15.2,46.1,8.18,8.21,2.26,5.94,9.47,23.3,16.3,0.29
Vizela,31,34,15.7,9.47,7.97,5.65,2.09,7.82,17.2,45.5,9.38,9.24,2.91,6.32,11.3,27,20.4,0.26
