Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np_G-xG
Arouca,35,34,0.88,12.6,3.47,27.6,12.59,3.47,0.07,0.24,19.3,0.53,0.06,0.09,1.03,0.96,0.08,-0.15,-0.14
B-SAD,37,34,0.65,9.5,2.59,27.2,9.5,2.59,0.06,0.22,19.8,0.56,0.09,0.09,0.91,0.84,0.09,-0.26,-0.28
Benfica,35,34,2.26,15.1,5.59,37,15.12,5.59,0.14,0.38,16.4,0.41,0.15,0.15,2.15,2.03,0.14,0.11,0.09
Boavista,28,34,1.15,11.4,3.47,30.6,11.35,3.47,0.09,0.31,20.3,0.59,0.09,0.12,1.04,0.95,0.09,0.11,0.11
Braga,40,34,1.53,13.2,4.59,34.8,13.18,4.59,0.1,0.3,18.8,0.38,0.15,0.18,1.56,1.42,0.11,-0.03,-0.04
Estoril,31,34,1.03,10.3,3.18,30.9,10.26,3.18,0.08,0.27,18.5,0.59,0.18,0.21,1.05,0.89,0.09,-0.02,-0.04
Famalicão,37,34,1.26,11.7,4.15,35.3,11.74,4.15,0.1,0.28,17.2,0.53,0.09,0.15,1.39,1.3,0.11,-0.13,-0.12
Gil Vicente FC,29,34,1.38,12.4,4.5,36.3,12.41,4.5,0.1,0.29,18.6,0.56,0.09,0.15,1.24,1.13,0.09,0.14,0.16
Marítimo,30,34,1.12,10.3,3.29,31.9,10.32,3.29,0.09,0.29,19.7,0.62,0.15,0.21,1.02,0.88,0.09,0.1,0.09
Moreirense,29,34,0.94,11.8,3.62,30.8,11.76,3.62,0.07,0.23,19.1,0.56,0.12,0.21,1.27,1.11,0.1,-0.33,-0.28
Paços de Ferreira,30,34,0.82,10.7,2.88,27,10.68,2.88,0.07,0.24,19.5,0.85,0.12,0.15,1,0.88,0.08,-0.17,-0.18
Portimonense,35,34,0.82,11.6,3.68,31.7,11.59,3.68,0.07,0.21,19.8,0.65,0.06,0.12,1.01,0.92,0.08,-0.19,-0.16
Porto,33,34,2.44,17.5,6.29,36,17.5,6.29,0.13,0.36,16.8,0.68,0.18,0.26,2.45,2.26,0.13,-0.01,0
Santa Clara,32,34,1.06,10.9,3.21,29.5,10.85,3.21,0.09,0.29,19.2,0.56,0.12,0.12,1.13,1.04,0.1,-0.07,-0.09
Sporting CP,31,34,2.09,15.6,5.76,36.9,15.62,5.76,0.12,0.32,17.3,0.24,0.26,0.32,2.09,1.84,0.12,0,-0.02
Tondela,27,34,1.21,8.56,3.29,38.5,8.56,3.29,0.11,0.29,20.2,0.56,0.26,0.26,1.03,0.84,0.1,0.17,0.11
Vitória,31,34,1.47,13.5,4.18,31,13.47,4.18,0.09,0.28,18.6,0.47,0.29,0.32,1.45,1.26,0.1,0.02,-0.08
Vizela,31,34,1.06,13.1,3.29,25.2,13.09,3.29,0.07,0.29,18.7,0.5,0.09,0.09,1.22,1.15,0.09,-0.16,-0.18
