Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,ck_In,ck_Out,ck_Str,Cmp,Off,Blocks
Arouca,35,34,449.6,392.3,55.8,17.8,1.03,3.44,18.8,23.2,4.94,2.41,2.09,0.03,337.1,1.5,7.59
B-SAD,37,34,389.7,334.4,53.4,17.1,0.65,3.21,15.8,21,3.85,1.26,1.68,0,289.4,1.94,7.59
Benfica,35,34,582,526.9,52.8,14.8,2.21,3.91,20.5,22.9,6.65,2.82,2.12,0.06,488.7,2.41,9
Boavista,28,34,411.4,358.2,51.4,15.4,0.76,3.53,14.3,21.7,4.06,1.65,1.71,0.12,311.4,1.79,8.06
Braga,40,34,547.3,494.4,51.2,13.7,1.82,4.79,15.7,23.7,4.59,1.79,1.56,0.18,436.5,1.68,7.88
Estoril,31,34,434.3,381.2,50.8,14.5,0.97,3.68,17.9,20,4.35,2.29,1.09,0.06,340.9,2.29,7.56
Famalicão,37,34,431.6,375.9,53.5,16.8,1.35,5.06,17.4,22.6,4.59,1.74,1.97,0.03,335.8,2.24,6.53
Gil Vicente FC,29,34,512.1,456.2,54.2,16.6,1.71,6.24,14.8,21.6,5.21,1.88,2.71,0,409.7,1.68,8.85
Marítimo,30,34,439.8,383.2,54.9,19.3,0.74,3.59,16.3,20,4.35,1.71,2.21,0,341.7,1.71,7.85
Moreirense,29,34,388.5,333.5,53.4,14.6,0.65,4.32,19.2,24.2,4.59,2.06,1.94,0,274.9,1.59,8.26
Paços de Ferreira,30,34,435.4,378.9,54.6,17.5,0.62,4.5,18.2,20.7,5.18,2.53,1.79,0.06,333.8,1.82,7.71
Portimonense,35,34,432.9,375.2,55.3,15.6,0.62,3.44,15,22.6,4.47,2.26,1.71,0,330.6,2.29,6.56
Porto,33,34,575.6,524.2,49.7,14.5,2.94,3.85,17.3,22.1,6.5,2.79,1.82,0.15,476.1,1.59,8.15
Santa Clara,32,34,412.6,359.1,51.3,16.4,1.21,3.85,14.1,19.8,4.71,2.74,0.88,0,312,2.21,7.79
Sporting CP,31,34,585.2,531,51.7,16.7,1.68,5.18,23.3,21.6,6.03,1.41,3.79,0.03,487.5,2.47,8.06
Tondela,27,34,419.4,363.6,54,17.5,1.18,3.41,13.4,20.1,3.59,1.71,1.38,0.03,316.8,1.74,8.41
Vitória,31,34,440.1,384.8,53.6,15.5,0.65,6.06,19.4,22.9,4.76,1.79,1.62,0.03,339.4,1.74,6.65
Vizela,31,34,406.9,351.8,53.1,13.9,0.71,2.35,20,22.1,5.38,1.68,2.32,0.06,299.6,2.12,9.32
