Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
Arouca,35,27,49.9,34,374,"3,060",34,0.88,0.53,1.41,0.82,0.06,0.09,2.85,0.18,1.03,0.96,0.7,1.67,12.1,34.9
B-SAD,37,25.4,43.5,34,372,"3,060",34,0.65,0.32,0.97,0.56,0.09,0.09,3.47,0.32,0.91,0.84,0.61,1.45,9.68,25
Benfica,35,27,60.9,34,374,"3,060",34,2.26,1.71,3.97,2.12,0.15,0.15,2.38,0.09,2.15,2.03,1.61,3.65,23.5,53.5
Boavista,28,26.3,44.6,34,371,"3,060",34,1.15,0.82,1.97,1.06,0.09,0.12,3.53,0.29,1.04,0.95,0.71,1.66,14,24.7
Braga,40,25,53.7,34,374,"3,060",34,1.53,1,2.53,1.38,0.15,0.18,2.44,0.15,1.56,1.42,1.09,2.51,16.7,40.9
Estoril,31,25.1,47.4,34,374,"3,060",34,1.03,0.74,1.76,0.85,0.18,0.21,2.97,0.24,1.05,0.89,0.71,1.6,14.7,34.6
Famalicão,37,23.7,47.4,34,374,"3,060",34,1.26,0.94,2.21,1.18,0.09,0.15,3.06,0.15,1.39,1.3,0.97,2.27,15.3,35.3
Gil Vicente FC,29,25.9,54.4,34,374,"3,060",34,1.38,0.94,2.32,1.29,0.09,0.15,2.59,0.12,1.24,1.13,0.92,2.06,14.1,42
Marítimo,30,27.2,48.7,34,374,"3,060",34,1.12,0.62,1.74,0.97,0.15,0.21,3.24,0.24,1.02,0.88,0.65,1.53,13.7,29.3
Moreirense,29,27,44.4,34,374,"3,060",34,0.94,0.56,1.5,0.82,0.12,0.21,3.35,0.18,1.27,1.11,0.71,1.82,12.8,30.3
Paços de Ferreira,30,27,49,34,374,"3,060",34,0.82,0.5,1.32,0.71,0.12,0.15,3.15,0.15,1,0.88,0.63,1.51,12.4,29.2
Portimonense,35,25.4,48.5,34,374,"3,060",34,0.82,0.53,1.35,0.76,0.06,0.12,3.35,0.21,1.01,0.92,0.7,1.63,13.6,31.1
Porto,33,25.8,62.6,34,374,"3,060",34,2.44,1.59,4.03,2.26,0.18,0.26,2.38,0.18,2.45,2.26,1.74,4.01,20.2,45.7
Santa Clara,32,26.8,45.8,34,374,"3,060",34,1.06,0.65,1.71,0.94,0.12,0.12,2.97,0.26,1.13,1.04,0.79,1.83,11.3,28.4
Sporting CP,31,26.6,59.8,34,374,"3,060",34,2.09,1.32,3.41,1.82,0.26,0.32,2.91,0.18,2.09,1.84,1.43,3.27,20.7,46
Tondela,27,25.4,45.9,34,374,"3,060",34,1.21,0.74,1.94,0.94,0.26,0.26,2.97,0.18,1.03,0.84,0.65,1.48,12.1,28.4
Vitória,31,24.7,48.7,34,374,"3,060",34,1.47,0.74,2.21,1.18,0.29,0.32,3.53,0.24,1.45,1.26,0.94,2.19,15.7,37.4
Vizela,31,26.5,44.8,34,373,"3,060",34,1.06,0.68,1.74,0.97,0.09,0.09,2.91,0.18,1.22,1.15,0.82,1.97,12.3,34.3
