Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,goal_kick_att,goal_kick_launch%,goal_kick_avgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Birmingham City,2,46,1.26,0.07,0.02,0.13,0,1.33,0.34,0.07,0.07,9.61,24.7,38.9,24.7,3.63,69.5,48.9,8.46,88.9,60.5,15.5,1.57,10.1,2.07,2.07,15.1
Blackburn,2,46,1.17,0.02,0.02,0.15,0.02,1.19,0.31,0.03,0.03,3.48,11.6,29.9,28.2,4.93,25.4,30.3,8.3,53.7,41.4,13.5,0.57,4.2,1.43,1.43,18.5
Blackpool,2,46,1.57,0.11,0.04,0.22,0.09,1.48,0.3,0,0,6.59,18.2,36.1,23.7,4.67,50.7,38.1,9.52,65.5,48.7,16,0.67,4.2,0.91,0.91,10.4
Bristol City,2,46,1.22,0.07,0,0.15,0.02,1.07,0.29,-0.12,-0.12,6.04,20.5,29.5,29.6,5,52.1,43.8,7.48,67.4,49.1,14.2,0.96,6.8,1.3,1.3,13.9
Burnley,2,46,0.76,0.04,0,0.2,0.02,0.83,0.28,0.09,0.09,4.07,10.2,40,34,4.57,21.8,28,5.59,49,39.3,11.2,1.13,10.1,1.57,1.57,16.5
Cardiff City,3,46,1.26,0.04,0.02,0.13,0.02,1.05,0.29,-0.19,-0.19,7.46,23.9,31.2,31.7,3,57,52.6,8.07,72.5,55.5,14,0.43,3.1,1.67,1.67,13.4
Coventry City,2,46,1,0.02,0,0.07,0.04,1.02,0.3,0.06,0.06,4.5,14.9,30.2,22.4,5.76,44.8,28.3,8.24,59.1,49,16.2,1,6.2,0.72,0.72,14
Huddersfield,3,46,1.35,0.07,0,0.2,0.02,1.38,0.29,0.06,0.06,5.33,18.4,28.9,21.6,3.96,53,42.8,9.46,73.8,51.6,15.6,1.07,6.8,0.37,0.37,13.3
Hull City,3,46,1.33,0.11,0.04,0.11,0.13,1.34,0.29,0.15,0.15,4.2,13.7,30.5,33.2,4.39,32.8,28.7,8.2,35,32.1,16.3,1.04,6.4,0.96,0.96,12.3
Luton Town,3,46,0.85,0.11,0,0.13,0.09,0.72,0.23,-0.04,-0.04,7.63,21.3,35.9,23.8,4.26,61.7,38.6,8.2,80.1,57.7,14.8,0.74,5,0.72,0.72,5
Middlesbrough,2,46,1.22,0.04,0.04,0.13,0.04,1.08,0.29,-0.09,-0.09,3.83,11.3,33.8,29.6,5.3,27.9,39.1,6.41,47.8,38.5,11.7,1.07,9.1,1.41,1.41,11.7
Millwall,2,46,1.09,0.04,0.02,0.15,0.04,0.97,0.29,-0.08,-0.08,6.59,21.4,30.8,21.1,2.28,71.1,50.9,7.52,85.5,60.2,13,0.57,4.4,0.87,0.87,12.7
Norwich City,2,46,1.17,0.04,0.02,0.13,0.04,1.27,0.32,0.14,0.14,4.09,11.5,35.5,31.5,5.5,28.5,31.6,7.35,34,34.3,12.3,0.57,4.6,1.89,1.89,15.9
Preston,1,46,1.28,0.02,0.02,0.24,0.02,1.16,0.29,-0.1,-0.1,5.72,18,31.8,23.7,4.2,52.7,40.3,8.39,66.1,49.9,15.5,0.98,6.3,1.65,1.65,15.8
QPR,1,46,1.54,0.09,0.02,0.17,0.02,1.44,0.34,-0.08,-0.08,5.7,15.3,37.3,23.5,4.2,46.4,38,7.28,59.7,45.8,14.6,1.41,9.7,1.2,1.2,14.1
Reading,3,46,1.48,0.13,0,0.2,0,1.21,0.3,-0.27,-0.27,10.7,24.9,43.1,23.5,2.2,74.1,53.4,7.83,95,65.3,16.7,1.22,7.3,1.24,1.24,18.5
Rotherham Utd,3,46,1.3,0.09,0,0.13,0.07,1.41,0.26,0.17,0.17,8.5,27.2,31.3,23,2.41,82.2,57.9,8.67,94.7,64.8,17,1.26,7.4,0.96,0.96,12.5
Sheffield Utd,3,46,0.85,0.04,0,0.13,0.02,0.86,0.27,0.04,0.04,4.61,13.3,34.5,19.8,3.8,48.9,41.7,7.02,52.3,43.4,14,1.11,7.9,1.07,1.07,19.4
Stoke City,3,46,1.17,0.02,0,0.2,0.04,0.95,0.29,-0.18,-0.18,5.13,15.5,33.1,27,5.57,42.3,34.3,7.3,55.7,43.1,13.5,1.04,7.7,1.41,1.41,17
Sunderland,1,46,1.2,0.07,0.04,0.17,0.04,1.07,0.28,-0.08,-0.08,4.43,13.7,32.3,24.8,6.33,37.1,34.8,8.02,56.6,44,15.3,1.63,10.7,1.07,1.07,13.2
Swansea City,2,46,1.39,0.04,0.02,0.26,0.07,1.12,0.3,-0.21,-0.21,2.54,10.4,24.5,27.8,5.8,28.4,28.5,6.39,38.8,34,12.4,0.98,7.9,1.41,1.41,15.4
Watford,2,46,1.15,0.04,0.02,0.17,0.02,1.18,0.28,0.05,0.05,3.22,11.5,28,22.4,5.7,37,30.7,7.7,41.5,36,14.6,0.63,4.3,0.65,0.65,7.5
West Brom,3,46,1.15,0.07,0.09,0.13,0.02,0.92,0.27,-0.21,-0.21,4.07,13.3,30.6,26.3,3.8,37.4,34.4,7.13,48.5,40.2,12.5,0.78,6.2,1.15,1.15,14.3
Wigan Athletic,3,46,1.41,0.09,0.07,0.22,0,1.08,0.3,-0.33,-0.33,6.74,19,35.6,23.9,4.5,57.3,41.9,8.07,65,47.8,14.6,1.17,8,0.85,0.85,12.6
