Squad,# Pl,Poss,90s,Touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,take_on_Att,take_on_Succ,take_on_Succ%,take_on_Tkld,take_on_Tkld%,Carries,carries_TotDist,carries_PrgDist,carries_PrgC,carries_1/3,carries_CPA,carries_Mis,carries_Dis,Rec,PrgR
Birmingham City,31,42.3,46,474,57.7,163.8,196.2,119.8,16.5,473.9,17.2,7.37,43,7.5,43.7,207.5,1212.1,580.9,13.4,9.17,3.24,16.8,8.2,228.8,24.9
Blackburn,28,53.5,46,625.5,71.8,250.3,262.2,118.8,18.2,625.5,15.1,5.89,38.9,7.57,50,340.9,1610.4,806.5,14.6,8.3,4.41,16.2,8.76,396.6,32
Blackpool,35,42.8,46,485.9,62.2,177.8,198.8,115,19.6,485.8,17.7,7.65,43.2,7.93,44.8,223.9,1267.5,616.2,12.4,9.22,4.09,15.7,9.5,242.4,25.7
Bristol City,28,49.6,46,562.3,58.6,184.2,253.4,130.7,19.8,562.3,17.4,7.8,44.8,7.65,43.9,278.3,1500.5,735.9,14.8,9.54,3.98,15.4,8.35,322.3,31.6
Burnley,28,64,46,715.3,60.8,214.2,338.3,167.2,21.9,715.2,15.5,6.46,41.7,6.8,44,434.9,2435.7,1341,21,14.6,4.96,14.8,8.65,501.1,42.6
Cardiff City,31,46.6,46,529.8,59.6,178.3,225.6,131.1,16.8,529.7,18,8.13,45.1,7.46,41.3,264.3,1477,718.7,15,11.2,3.67,16.6,9.65,296.2,29.9
Coventry City,28,46.9,46,548.6,60.2,180.9,240.1,133.3,20.8,548.5,20.3,8.09,39.8,9.72,47.8,276.1,1523.2,781.1,16.6,11.5,5.54,16.6,9,307.4,35.7
Huddersfield,40,41.4,46,490,61.6,180,212.4,102.5,15.2,490,14.2,5.35,37.7,6.83,48.1,225.4,1250.8,608.8,11.9,8.35,2.89,14.8,7.61,255.3,23.9
Hull City,36,50,46,602.5,71.3,228.2,260.9,117.7,16,602.4,16,6.48,40.4,7.5,46.8,325.1,1676.3,826.1,14.1,9.59,2.96,15.2,8.17,382.5,29.9
Luton Town,30,46.2,46,511.3,57.2,167.7,199.1,150.5,21.9,511.2,18.7,7.7,41.1,8.67,46.3,237.7,1387.7,671.9,14.8,10.3,4.15,18.5,10.5,255.8,33.4
Middlesbrough,29,57.7,46,655,54.4,193.6,303.4,163.6,22.7,654.8,16.5,6.76,40.9,7.67,46.4,372.2,1896.4,958.6,18.8,14,4.24,14.6,8.07,440.3,41
Millwall,26,45.6,46,505.7,50.2,156.5,223.1,131.6,21.8,505.6,13.4,5.67,42.3,6.22,46.4,222.3,1269.8,610.8,12.5,9.8,2.43,14.8,7.43,261.4,29.2
Norwich City,31,56.6,46,640,66.3,229.9,266.2,150,23.5,640,19.8,8.85,44.6,8.22,41.4,360.7,2069.3,1039.2,19,12.3,5.22,16.4,9.72,410.1,37.8
Preston,28,47.6,46,540.7,59.3,180.5,239.6,126.1,17.9,540.6,13.1,5.78,44.2,5.48,41.9,259.5,1350.4,634.8,12.3,9.7,3.07,15.1,8.13,296.2,28.6
QPR,29,49.3,46,557.4,55.5,184.8,236.3,142.4,19.7,557.3,16.3,6.72,41.3,7.33,45.1,279.8,1604.4,798.5,16.7,11.8,4.13,16.3,8.09,316.3,30.8
Reading,32,42,46,479.6,56.7,167.7,209.6,107.5,15.4,479.5,15.6,6.17,39.5,6.93,44.4,227,1221.9,559.7,11,7.67,2.33,15.8,8.93,256.5,24.4
Rotherham Utd,33,42.9,46,463.1,57.6,142.3,197.5,128.8,15.3,463,15.5,6.72,43.5,6.52,42.2,199.7,1162.8,517.8,11.5,9.39,2.67,15,8.93,218.3,25.9
Sheffield Utd,32,51.1,46,574.8,53.9,169.8,246.7,163.9,25.7,574.7,16.8,7.93,47.1,7.02,41.7,280,1521.3,770.9,16.6,11.8,4.39,16.6,8.33,329.3,37.8
Stoke City,32,52.7,46,578.7,57.9,187,255.7,141.6,22.3,578.6,14.5,5.33,36.7,7.17,49.5,290.8,1553.2,782.2,15.3,9.83,3.7,16.3,7.48,334.7,35.9
Sunderland,30,53.6,46,603.7,64,205.8,266.4,137.8,21,603.5,23.3,10.1,43.2,10.3,44.4,329.2,1871.3,914.2,19.3,12.2,6.52,15.5,9.57,378.4,34
Swansea City,24,63.4,46,732.9,60.6,220.6,354.2,162.6,20.5,732.8,12.7,5.85,46,5.02,39.5,423.5,2315.9,1270.7,21.9,16.9,4.02,13.4,8.17,541.3,42.1
Watford,41,52.3,46,587.8,60.7,203.9,262.2,128.2,19.1,587.7,21.9,10.3,47.2,9.26,42.2,312.2,1777.1,907.6,17.5,10.9,3.96,17.4,9.48,353.5,34.7
West Brom,31,53.4,46,604.6,54.8,187.4,272,150.7,21.8,604.4,16.8,6.98,41.5,7.35,43.7,317.6,1670.5,857.1,18.3,12.4,3.11,15.8,8.11,373.8,37.8
Wigan Athletic,37,48.1,46,540.1,64.5,207.1,223.6,114.5,15.7,540,14,6.11,43.7,5.43,38.9,283.2,1500.8,713.6,13.5,9.04,1.85,14.7,6.76,316.6,26.1
