Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
Birmingham City,31,26.9,42.3,46,506,"4,140",46,1.02,0.76,1.78,0.93,0.09,0.13,2.02,0,1.1,1,0.75,1.75,13.4,25.5
Blackburn,28,24.6,53.5,46,506,"4,140",46,1.09,0.8,1.89,1.07,0.02,0.04,2.09,0.07,1.02,0.98,0.76,1.74,14.6,32.3
Blackpool,35,25.2,42.8,46,506,"4,140",46,1.04,0.74,1.78,0.98,0.07,0.09,1.85,0.2,1.04,0.98,0.74,1.71,12.4,26.1
Bristol City,28,26,49.6,46,506,"4,140",46,1.13,0.87,2,1.09,0.04,0.04,1.76,0.04,1.25,1.21,0.95,2.17,14.8,31.9
Burnley,28,25.5,64,46,506,"4,140",46,1.85,1.33,3.17,1.78,0.07,0.07,1.76,0.04,1.44,1.39,1.05,2.44,21,43.1
Cardiff City,31,25.9,46.6,46,506,"4,140",46,0.89,0.67,1.57,0.87,0.02,0.13,1.85,0.11,1.03,0.93,0.72,1.64,15,30.4
Coventry City,28,25.9,46.9,46,506,"4,140",46,1.24,0.96,2.2,1.11,0.13,0.15,2.04,0.07,1.37,1.25,0.96,2.2,16.6,36
Huddersfield,40,26.7,41.4,46,506,"4,140",46,0.93,0.74,1.67,0.91,0.02,0.02,1.85,0.07,0.93,0.91,0.69,1.6,11.9,24.3
Hull City,36,25.8,50,46,506,"4,140",46,1.04,0.67,1.72,0.98,0.07,0.09,1.59,0.04,1.02,0.95,0.74,1.69,14.1,30.2
Luton Town,30,26.7,46.2,46,506,"4,140",46,1.22,0.8,2.02,1.2,0.02,0.07,2.02,0.09,1.27,1.21,0.92,2.13,14.8,34
Middlesbrough,29,26,57.7,46,506,"4,140",46,1.76,1.24,3,1.63,0.13,0.17,1.83,0.07,1.58,1.44,1.15,2.58,18.8,41.2
Millwall,26,26.9,45.6,46,506,"4,140",46,1.17,0.74,1.91,1.13,0.04,0.07,1.74,0,1.23,1.18,0.85,2.03,12.5,29.6
Norwich City,31,25.7,56.6,46,506,"4,140",46,1.2,0.91,2.11,1.2,0,0.02,1.93,0.09,1.26,1.25,0.93,2.18,19,38.4
Preston,28,25.9,47.6,46,506,"4,140",46,0.93,0.65,1.59,0.87,0.07,0.07,2.24,0.09,1.03,0.98,0.73,1.72,12.3,29
QPR,29,25.7,49.3,46,506,"4,140",46,0.93,0.63,1.57,0.87,0.07,0.11,1.85,0,1.09,1.01,0.77,1.78,16.7,31.4
Reading,32,27.6,42,46,506,"4,140",46,0.96,0.54,1.5,0.8,0.15,0.17,2.11,0.04,0.91,0.77,0.57,1.34,11,24.8
Rotherham Utd,33,26.7,42.9,46,506,"4,140",46,1.02,0.7,1.72,0.96,0.07,0.09,2.02,0.04,0.92,0.85,0.67,1.51,11.5,26.4
Sheffield Utd,32,27.1,51.1,46,506,"4,140",46,1.54,1.13,2.67,1.54,0,0.04,2.2,0.07,1.56,1.52,1.25,2.77,16.6,38.2
Stoke City,32,26,52.7,46,506,"4,140",46,1.15,0.8,1.96,1.11,0.04,0.07,1.8,0.02,1.25,1.2,0.88,2.08,15.3,36.5
Sunderland,30,24.1,53.6,46,506,"4,140",46,1.48,1.15,2.63,1.37,0.11,0.13,2,0.09,1.27,1.16,0.91,2.07,19.3,34.4
Swansea City,24,24.4,63.4,46,506,"4,140",46,1.46,0.96,2.41,1.41,0.04,0.07,2.35,0.07,1.33,1.28,0.99,2.27,21.9,42.4
Watford,41,26.1,52.3,46,506,"4,140",46,1.17,0.76,1.93,1.13,0.04,0.09,2.15,0.07,1.23,1.17,0.89,2.05,17.5,35
West Brom,31,27.2,53.4,46,506,"4,140",46,1.26,0.76,2.02,1.15,0.11,0.15,1.65,0.02,1.43,1.3,0.98,2.28,18.3,38.2
Wigan Athletic,37,28.2,48.1,46,506,"4,140",46,0.76,0.54,1.3,0.7,0.07,0.07,1.85,0.04,0.98,0.93,0.68,1.61,13.5,26.4
