Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,ck_In,ck_Out,ck_Str,Cmp,Off,Blocks
Birmingham City,31,46,356.8,303.9,51.8,11.8,0.87,3.96,18.8,25,4.3,2.61,0.87,0.24,231.9,1.17,8.17
Blackburn,28,46,514.5,460.3,52.4,10.8,1.57,6.83,13.9,26.5,4.67,1.3,1.67,0.2,399.4,1.78,9.93
Blackpool,35,46,366.8,309.4,56,12.9,0.3,3.65,15.9,26.6,4.41,2.22,1.22,0.07,245.4,1.41,8.78
Bristol City,28,46,454.4,400.4,52.3,11.7,0.89,2.91,19.7,25.9,5.11,2.91,0.5,0.11,325.3,1.67,8.02
Burnley,28,46,612.9,564.5,46.3,12,1.46,4.54,19.5,21.1,5.83,2.61,1,0.15,505.4,2.13,8.46
Cardiff City,31,46,418.1,365.9,50.5,12.2,0.91,3.2,18.1,23.4,4.65,2.28,1.35,0.13,300,1.63,7.74
Coventry City,28,46,427.4,375.7,50.2,11.2,0.98,2.48,14.8,24.2,4.52,2.15,1.5,0.3,310.1,1.54,9.37
Huddersfield,40,46,380.4,328.6,50.1,10.8,0.5,2.04,17.1,23,4.52,2.37,1.57,0.13,258.2,1.74,8.76
Hull City,36,46,496.4,446.1,48.3,10.4,1.2,4.17,15.7,22.6,4.67,2.35,1.61,0.09,385.9,2.07,8.91
Luton Town,30,46,389,332.5,54.5,10.8,0.39,3.48,22,27.9,5.83,3.43,1.04,0.43,259.1,1.98,9.33
Middlesbrough,29,46,555.8,502.7,51.2,12.9,1.11,2.37,21.4,23.6,6.11,3.87,1.15,0,444.3,1.83,10.7
Millwall,26,46,395.1,343.9,49.2,10.5,0.48,3.3,19.3,24.6,4.48,1.3,2.63,0.33,264.6,1.91,8.76
Norwich City,31,46,526.3,470.6,54.4,12.4,1.52,4.13,16.7,26.1,6.33,2.48,2.63,0.02,413.8,1.37,10.2
Preston,28,46,427.3,376.1,49.5,10.8,0.63,2.7,17.3,23.8,4.13,2.87,0.59,0.02,298.7,1.74,9.11
QPR,29,46,440.4,387.1,51.8,12.5,0.5,1.93,21.6,24.3,5.15,2.78,1.35,0.13,319.2,1.52,8.78
Reading,32,46,370.7,322,47.6,11.8,0.5,2.8,17.4,21.1,4.39,3.33,0.59,0.2,260.1,1.11,7.11
Rotherham Utd,33,46,351.3,298.8,51,10.8,0.5,1.74,17.7,25.3,3.91,2.63,0.65,0.15,221,1.54,8.2
Sheffield Utd,32,46,457.6,406.7,49.4,10.7,0.83,3.5,20.4,24.2,5.65,2.74,2.22,0.04,332.9,1.57,9.15
Stoke City,32,46,467.2,411.4,54.4,11.8,0.67,4.72,22.7,27.4,5.72,3.3,1.63,0.35,337.5,1.39,9.37
Sunderland,30,46,486.5,434.5,50.4,13.4,0.96,4.22,13.1,22.3,4.48,2.26,0.85,0.17,381.7,1.59,8.78
Swansea City,24,46,639.3,591.8,45.5,12.8,1.3,3,18.4,18.7,5.09,2.83,1.39,0.17,545.8,1.96,9.67
Watford,41,46,468.3,415,51.5,12.7,1.24,4.07,18.7,23.9,5.13,2.09,1.96,0.04,356.5,1.87,8.61
West Brom,31,46,496.6,443.9,51.2,11.1,1.02,4,22.6,24.4,6.37,2.89,2.35,0.2,377.5,1.57,10
Wigan Athletic,37,46,436.8,385.6,49.6,11.7,0.39,3.7,19,23,4.33,3.59,0.09,0,319.4,1.65,8.37
