Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerial_won,aerial_lost,aerial_won%
Birmingham City,31,46,2.02,0,0,11.5,9.83,1.17,18.8,9.65,10.2,0.13,0.11,0,53.2,25,22.2,53
Blackburn,28,46,2.09,0.07,0.02,9.98,9.48,1.78,13.9,8.72,10.8,0.04,0.02,0.02,55.4,15.1,15.7,49
Blackpool,35,46,1.85,0.2,0.09,10.6,11.3,1.41,15.9,10.1,9,0.07,0.13,0.09,51.2,21.6,22.7,48.7
Bristol City,28,46,1.76,0.04,0,9.63,10.3,1.67,19.7,8.72,9.83,0.02,0.09,0.02,54.6,19.6,24.2,44.7
Burnley,28,46,1.76,0.04,0,9.76,10.7,2.13,19.5,9.02,9.07,0.02,0.07,0.02,53.7,15.5,16.3,48.8
Cardiff City,31,46,1.85,0.11,0.02,9.59,10.1,1.63,18.1,9.3,8.93,0.13,0.09,0.02,55.6,17.7,19,48.3
Coventry City,28,46,2.04,0.07,0.04,10.6,9.63,1.54,14.8,10.7,11.3,0.13,0.02,0.04,59.2,17,17.6,49.2
Huddersfield,40,46,1.85,0.07,0.04,9.87,9.11,1.74,17.1,9.35,8.35,0,0.11,0.02,50.4,21.1,24.2,46.6
Hull City,36,46,1.59,0.04,0,10.7,9.07,2.07,15.7,9.13,8.76,0.09,0.15,0.13,51.8,18.6,18.4,50.3
Luton Town,30,46,2.02,0.09,0.07,12.4,9.76,1.98,22,9.33,9.07,0.02,0.11,0.09,56.2,24.1,22.4,51.8
Middlesbrough,29,46,1.83,0.07,0,10.1,11,1.83,21.4,8.09,8.28,0.13,0.07,0.04,51.3,16.7,14.5,53.4
Millwall,26,46,1.74,0,0,11,9.83,1.91,19.3,10.2,9.46,0.07,0.07,0.04,55,27.3,26.3,50.9
Norwich City,31,46,1.93,0.09,0.02,9.98,11.2,1.37,16.7,9.09,9.61,0.02,0.07,0.04,54.4,15.2,15.3,49.8
Preston,28,46,2.24,0.09,0.04,11.2,9.59,1.74,17.3,11.7,10.1,0.04,0.02,0.02,55.3,23.5,19.8,54.2
QPR,29,46,1.85,0,0,11.1,10.6,1.52,21.6,11.1,10,0.09,0.13,0.02,51.5,22.4,20.5,52.3
Reading,32,46,2.11,0.04,0.02,10.6,10.2,1.11,17.4,9.41,9.67,0.17,0.13,0,49.8,22.7,19.1,54.3
Rotherham Utd,33,46,2.02,0.04,0.02,10.9,8.87,1.54,17.7,8.67,9.28,0.09,0.15,0.07,52.4,21.6,25.3,46.1
Sheffield Utd,32,46,2.2,0.07,0.02,10.5,9.43,1.57,20.4,10.6,11.5,0.04,0.09,0.02,57.2,21,19.9,51.3
Stoke City,32,46,1.8,0.02,0.02,12,10.1,1.39,22.7,10.7,10,0.07,0.04,0.04,55.2,21.2,22.5,48.6
Sunderland,30,46,2,0.09,0.02,10.5,12.6,1.59,13.1,10.3,10,0.13,0.13,0.04,51.4,15.1,16,48.4
Swansea City,24,46,2.35,0.07,0.02,9.96,11.7,1.96,18.4,7.37,8.24,0.02,0.11,0.07,46.7,10.1,12.8,44.2
Watford,41,46,2.15,0.07,0.02,11.7,11.1,1.87,18.7,10.9,10.3,0.09,0.04,0.02,54.2,18.3,17.8,50.7
West Brom,31,46,1.65,0.02,0.02,9.65,10,1.57,22.6,9.28,8,0.15,0.09,0.02,54.6,20.9,20.3,50.8
Wigan Athletic,37,46,1.85,0.04,0.02,10.9,10.7,1.65,19,9.15,9.74,0.07,0.11,0,51.7,20.2,18.7,51.9
