Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
Arouca,29,26,47.9,34,374,"3,060",34,1.06,0.68,1.74,0.91,0.15,0.18,2.32,0.12,1.17,1.03,0.77,1.8,11.8,30.1
Benfica,32,26,63.2,34,374,"3,060",34,2.29,1.5,3.79,2.03,0.26,0.38,1.91,0.09,2.56,2.26,1.8,4.07,22.4,57.5
Boavista,30,27.1,48.4,34,374,"3,060",34,1.26,1.03,2.29,1.21,0.06,0.12,3.15,0.21,1.2,1.11,0.85,1.95,15.2,32
Braga,31,26.4,54.3,34,374,"3,060",34,2.12,1.47,3.59,2,0.12,0.18,2.56,0.18,1.74,1.59,1.2,2.8,18,44.4
Casa Pia,31,28.3,42,34,374,"3,060",34,0.85,0.59,1.44,0.76,0.09,0.12,2.91,0.18,1.11,1.01,0.81,1.83,14.8,31.2
Chaves,31,27.5,46.3,34,374,"3,060",34,1,0.5,1.5,0.79,0.21,0.29,3.24,0.29,1.32,1.09,0.79,1.88,15.3,35.6
Estoril,33,24.6,47.6,34,374,"3,060",34,0.97,0.76,1.74,0.88,0.09,0.12,2.91,0.15,0.98,0.89,0.66,1.55,14.7,29.9
Famalicão,33,24,47.1,34,374,"3,060",34,1.09,0.91,2,1,0.09,0.15,2.53,0.21,1.11,0.99,0.86,1.85,15.1,32.2
Gil Vicente FC,32,25.9,53.7,34,374,"3,060",34,0.91,0.56,1.47,0.76,0.15,0.24,2.38,0.06,1.33,1.15,0.86,2.01,16.9,42
Marítimo,39,26.7,48.4,34,374,"3,060",34,0.91,0.62,1.53,0.79,0.12,0.21,3.15,0.29,1.28,1.11,0.86,1.97,14.3,35.3
Paços de Ferreira,36,26.6,46.5,34,374,"3,060",34,0.74,0.5,1.24,0.65,0.09,0.09,3.26,0.29,0.97,0.9,0.71,1.61,15.4,30.6
Portimonense,35,25.8,48.9,34,374,"3,060",34,0.74,0.44,1.18,0.65,0.09,0.21,2.91,0.12,1.17,1.01,0.81,1.83,11.4,31.5
Porto,28,27.5,58.4,34,374,"3,060",34,2.09,1.44,3.53,1.79,0.29,0.35,2.26,0.15,2.18,1.92,1.55,3.46,21.8,47.8
Rio Ave,30,26.9,48.6,34,374,"3,060",34,1.03,0.85,1.88,0.94,0.09,0.18,2.71,0.18,1.05,0.91,0.78,1.69,15.4,33.8
Santa Clara,34,25,42.4,34,374,"3,060",34,0.76,0.53,1.29,0.59,0.18,0.21,3.35,0.21,1.04,0.87,0.67,1.55,11.8,27
Sporting CP,32,25.8,63.1,34,374,"3,060",34,1.94,1.5,3.44,1.74,0.21,0.29,2.59,0.09,2.06,1.82,1.47,3.3,25.7,54.3
Vitória,34,24.3,47.8,34,374,"3,060",34,1,0.74,1.74,0.85,0.15,0.15,3.47,0.29,1.03,0.92,0.73,1.66,15.2,33.3
Vizela,30,25.8,45.5,34,374,"3,060",34,0.88,0.71,1.59,0.85,0.03,0.09,3,0.15,1.24,1.18,0.9,2.07,12.3,33.8
