Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerial_won,aerial_lost,aerial_won%
Arouca,29,34,2.32,0.12,0,13.9,11.5,1.53,12.6,10.4,10.1,0.15,0.29,0.03,53.3,13.4,14,49
Benfica,32,34,1.91,0.09,0.09,12.9,12.5,2.47,23.7,10.7,11.6,0.29,0.06,0.03,59.6,13.1,11.1,54.1
Boavista,30,34,3.15,0.21,0.09,14.6,12.7,1.94,19.4,10.6,9.79,0.12,0.21,0.06,52.6,10.8,14.1,43.3
Braga,31,34,2.56,0.18,0.09,12.7,11.7,1.76,20.6,11,9.24,0.12,0.15,0,54.7,13,12,52
Casa Pia,31,34,2.91,0.18,0.12,14.3,13.1,2.06,17.2,10.3,9.35,0.06,0.21,0.06,57.6,11.1,12.9,46.4
Chaves,31,34,3.24,0.29,0.18,13.2,13.9,1.62,17.7,9.88,8.91,0.26,0.29,0,50.8,11.9,12.3,49.1
Estoril,33,34,2.91,0.15,0.12,14.6,15.7,1.35,16.9,7.35,9.29,0.03,0.41,0.03,47.2,11.4,12.9,46.9
Famalicão,33,34,2.53,0.21,0.03,14.6,16.1,1.53,19.6,9.71,10.6,0.15,0.26,0.06,50.1,14.6,15.1,49.1
Gil Vicente FC,32,34,2.38,0.06,0.03,14.3,12.4,1.82,20.9,9,9.29,0.15,0.09,0,52.3,12.7,11.8,51.8
Marítimo,39,34,3.15,0.29,0.12,14.8,14.4,1.85,20.1,9.82,10.6,0.09,0.26,0.03,53.1,14.5,13.1,52.6
Paços de Ferreira,36,34,3.26,0.29,0.18,15.1,15,1.59,21.8,9.71,8.59,0.09,0.09,0.12,47.6,11.8,14,45.7
Portimonense,35,34,2.91,0.12,0.06,14.6,12.4,2.12,19.2,9.97,9.74,0.18,0.12,0.03,54.2,18.1,14.7,55.1
Porto,28,34,2.26,0.15,0.09,14.7,13.9,2.32,18.6,9.79,10.5,0.24,0.12,0.09,56.6,17.8,12.4,59
Rio Ave,30,34,2.71,0.18,0.03,14.9,14.5,2.06,17.9,8.76,9.82,0.15,0.12,0.09,50,12,13.6,46.8
Santa Clara,34,34,3.35,0.21,0.12,14.9,14.1,2.44,16.6,9.24,10.1,0.15,0.38,0.09,52.6,15,15.4,49.4
Sporting CP,32,34,2.59,0.09,0.03,12.5,12,2.06,24.8,8.62,10.4,0.24,0.12,0.03,55.3,10.4,8.62,54.8
Vitória,34,34,3.47,0.29,0.18,15.4,15,1.68,18.1,10.3,10.4,0.15,0.09,0.03,51.9,13.8,16.1,46
Vizela,30,34,3,0.15,0.09,13,12.8,2.06,16.8,11.2,9.38,0.09,0.26,0.03,52.3,13.9,15.2,47.7
