Squad,# Pl,90s,Tkl,TklW,def_3rd,mid_3rd,att_3rd,dribb_Tkl,dribb_Att,dribb_Tkl%,dribb_Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arouca,29,34,16.7,10.1,8.97,6.21,1.53,8.29,17.5,47.5,9.18,10.9,3.35,7.5,10.4,27.1,22.9,0.21
Benfica,32,34,19.4,11.6,7.15,8.97,3.29,10.7,19.2,55.8,8.5,9.62,1.53,8.09,10.7,30.1,11.5,0.21
Boavista,30,34,16.5,9.79,8.62,6.53,1.38,7.97,16.2,49.3,8.21,8.29,2.03,6.26,10.6,27.2,18.7,0.12
Braga,31,34,15.6,9.24,6.53,6.53,2.53,7.79,17.1,45.5,9.32,11,2.79,8.18,11,26.6,17.3,0.09
Casa Pia,31,34,16.2,9.35,7.91,7.29,1,8.74,18.9,46.3,10.1,12.2,3.76,8.41,10.3,26.5,20.9,0.26
Chaves,31,34,14,8.91,7.06,5.35,1.62,7.26,16.5,44,9.24,12.6,4.65,7.94,9.88,23.9,21.7,0.29
Estoril,33,34,15.1,9.29,7.38,6.15,1.56,7.94,15.1,52.7,7.12,9.79,3.53,6.26,7.35,22.4,19,0.35
Famalicão,33,34,17.3,10.6,8.82,6.68,1.76,8.24,17.5,47,9.29,11.6,3.74,7.91,9.71,27,21.1,0.15
Gil Vicente FC,32,34,15.9,9.29,7.44,6.15,2.26,8.38,16.8,49.8,8.44,10.9,3.35,7.5,9,24.9,17.4,0.18
Marítimo,39,34,17.5,10.6,8.29,6.88,2.29,9.21,17.1,53.8,7.91,10.1,2.74,7.38,9.82,27.3,16.3,0.32
Paços de Ferreira,36,34,14.3,8.59,7.47,5,1.85,7.29,15.6,46.8,8.29,10.2,3.38,6.82,9.71,24,19.3,0.47
Portimonense,35,34,15.6,9.74,7.09,6.62,1.94,7.09,15.1,46.8,8.06,11.7,3.71,8.03,9.97,25.6,21.2,0.35
Porto,28,34,17.4,10.5,7.38,6.88,3.18,8.97,18.1,49.4,9.18,9.53,1.97,7.56,9.79,27.2,14.3,0.21
Rio Ave,30,34,15.9,9.82,7.76,6.79,1.38,7.97,16.1,49.5,8.15,11.5,3.79,7.68,8.76,24.7,20.6,0.35
Santa Clara,34,34,16.1,10.1,7.71,6.71,1.65,8.06,17,47.4,8.94,10.8,3.29,7.47,9.24,25.3,21.6,0.21
Sporting CP,32,34,17.5,10.4,5.97,8.76,2.76,9.18,17.6,52.3,8.38,8.68,2.06,6.62,8.62,26.1,10.7,0.21
Vitória,34,34,17,10.4,9.56,5.5,1.97,8.44,15.9,53,7.47,10.6,2.85,7.71,10.3,27.3,20.7,0.15
Vizela,30,34,16.4,9.38,7.71,6.68,2.03,8.71,16.1,54.2,7.35,10.9,3.88,7,11.2,27.6,24,0.15
