Squad,# Pl,90s,total_Cmp,total_Att,total_Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,mid_Cmp,mid_Att,mid_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arouca,29,34,352,454.4,77.5,6576.4,2580.9,149.7,170.7,87.7,149.9,178,84.2,44.8,83.7,53.5,0.68,0.77,0.74,-0.09,7.88,25.6,5.53,1.5,30.1
Benfica,32,34,550.2,651,84.5,9273.8,3048.5,259.5,285.9,90.8,216.7,242.3,89.5,52.5,79.7,65.8,1.5,1.8,1.88,-0.3,12.9,48,13.8,3.68,57.5
Boavista,30,34,352.3,452.6,77.8,6516.2,2387.9,147.3,167.1,88.1,154.7,181.3,85.3,41.4,78.8,52.5,1.03,0.85,0.78,0.18,8.09,24.8,6,2.24,32
Braga,31,34,432.6,538.5,80.3,8145.9,2842.6,173,195.3,88.6,192.5,220.5,87.3,55.2,93.6,59,1.47,1.2,1.22,0.27,12,36,9.59,2.65,44.4
Casa Pia,31,34,310.5,410.2,75.7,5577.4,2201.7,137.1,157.9,86.8,133.4,159.5,83.6,32.4,69,47,0.59,0.81,0.81,-0.22,8.56,23.6,5.26,1.94,31.2
Chaves,31,34,322.9,418.4,77.2,6229.3,2539.9,123.1,143.8,85.6,150.8,178.9,84.3,41.8,73.2,57.1,0.5,0.79,0.8,-0.29,9.56,26.5,6.94,2.5,35.6
Estoril,33,34,323.8,416.7,77.7,6453,2264.3,114.6,134.2,85.4,160,184.9,86.5,44.7,80.3,55.7,0.76,0.66,0.67,0.11,7.24,23.1,5.32,1.71,29.9
Famalicão,33,34,341.9,438.2,78,6605.8,2516.5,134.7,155.2,86.8,153.1,180.2,84.9,46.5,81.5,57.1,0.91,0.86,0.75,0.06,9.5,23.1,6.41,2.65,32.2
Gil Vicente FC,32,34,406.6,510.6,79.6,7458.1,2786.4,168.3,190.9,88.2,180.3,209,86.3,47.1,82.5,57.1,0.56,0.86,0.91,-0.3,9.24,31,7.62,2.09,42
Marítimo,39,34,323.3,426.1,75.9,6372.4,2461.4,116.3,136.5,85.2,154.9,181.6,85.3,44.6,84.9,52.6,0.62,0.86,0.71,-0.24,10,27,6.32,2.03,35.3
Paços de Ferreira,36,34,331.3,427.7,77.5,6346.8,2443,134.8,153.6,87.7,143.5,169.4,84.7,46,83.3,55.2,0.5,0.71,0.7,-0.21,8.59,23.6,6,2.5,30.6
Portimonense,35,34,338.8,445.9,76,6541.2,2561.4,130.1,153.1,84.9,155.4,182.8,85,44.5,84,53,0.44,0.81,0.78,-0.37,8.82,26.6,6.06,2.62,31.5
Porto,28,34,443.9,544.9,81.5,8032.9,2872,197.6,222.6,88.8,182.4,211,86.4,52.8,82.5,63.9,1.44,1.55,1.64,-0.11,11.5,34.4,11.5,2.29,47.8
Rio Ave,30,34,372.3,466.9,79.7,7043.1,2530.6,147,166.6,88.2,174,200.5,86.8,44.7,78.8,56.7,0.85,0.78,0.74,0.07,8.24,26.8,5.79,2.41,33.8
Santa Clara,34,34,273.9,379.6,72.2,5417.2,2279.5,108.6,131.3,82.7,115.9,144.8,80,42.5,81,52.5,0.53,0.67,0.63,-0.14,7.21,21.7,4.94,1.56,27
Sporting CP,32,34,526.3,623.6,84.4,9293.9,2902.8,226.9,250.1,90.7,246.6,274,90,44.6,73.7,60.6,1.5,1.47,1.31,0.03,12.2,45.2,10.7,2.5,54.3
Vitória,34,34,334.7,435.7,76.8,6198.3,2463.4,142.6,165.4,86.2,140.1,167.2,83.8,42.7,77.7,55,0.74,0.73,0.72,0,7.97,27.3,5.76,2.12,33.3
Vizela,30,34,324.9,433.2,75,5595.1,2377.6,156.4,180.7,86.6,125,153.9,81.2,32.6,69.9,46.7,0.71,0.9,0.81,-0.19,8.68,26.7,7.18,1.76,33.8
