Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,goal_kick_att,goal_kick_launch%,goal_kick_avgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arouca,4,34,1.09,0.15,0.03,0.09,0.03,1.4,0.27,0.34,0.34,5.97,15.6,38.3,23.6,5.79,42.6,36.3,10.2,54.3,41.4,19.8,1.21,6.1,0.91,0.91,13.2
Benfica,2,34,0.59,0.06,0,0.06,0.03,0.6,0.26,0.04,0.04,2.26,5.53,41,18.9,4.24,22.5,31.8,5.12,25.3,30.3,9.62,0.59,6.1,0.85,0.85,
Boavista,3,34,1.59,0.15,0,0.12,0.06,1.55,0.33,0.02,0.02,4.79,13.1,36.7,19.7,4.18,43.6,35.4,8.32,53.7,42.6,14.7,1.29,8.8,0.74,0.74,10.7
Braga,3,34,0.88,0.12,0,0.06,0,0.98,0.27,0.1,0.1,5.5,12.9,42.5,30.3,4.68,31.4,24.8,7.38,46.6,38.9,13.4,1,7.4,1.59,1.59,14.6
Casa Pia,3,34,1.18,0.15,0,0.15,0.06,1.4,0.28,0.28,0.28,4.91,15.4,31.8,23.2,3.62,39.3,35.3,9,70.3,50.7,14.5,1.03,7.1,0.88,0.88,12
Chaves,3,34,1.18,0.18,0.03,0.12,0,1.45,0.26,0.28,0.28,4.76,12.9,37.1,23.5,5.97,33.7,35,9.76,50.6,43.2,19.7,1.91,9.7,1.62,1.62,13.2
Estoril,2,34,1.44,0.29,0,0.26,0.03,1.66,0.27,0.25,0.25,3.79,11.2,33.9,26.4,5.53,27,30.6,9.35,43.1,39.1,16.3,0.65,4,0.94,0.94,14.8
Famalicão,2,34,1.38,0.21,0,0.09,0.06,1.31,0.23,-0.02,-0.02,6.18,15.1,40.9,23,4.97,42.3,48.4,8.85,60.8,47.3,16,1.21,7.6,0.97,0.97,6.2
Gil Vicente FC,2,34,1.21,0.09,0,0.24,0,1.53,0.29,0.32,0.32,4.41,10.4,42.3,30.8,7.94,22.8,28.8,8.53,40,38,15.1,1.12,7.4,1.76,1.76,14.2
Marítimo,4,34,1.85,0.21,0,0.15,0.03,1.84,0.34,0.02,0.02,3.62,12.6,28.8,23.5,4.71,33.5,31.6,9.76,47.9,40.4,13.9,0.71,5.1,1.44,1.44,16.3
Paços de Ferreira,4,34,1.82,0.06,0.03,0.15,0.12,1.67,0.34,-0.03,-0.03,5.15,13.6,37.8,21.9,3.91,40.5,31.7,8.76,54,42.2,15.7,0.88,5.6,1.06,1.06,14.8
Portimonense,2,34,1.41,0.06,0.06,0.15,0.03,1.75,0.29,0.37,0.37,6.76,17.6,38.4,29.4,4.5,39.6,34.7,9.26,64.4,48.6,15.7,0.53,3.4,1.09,1.09,13.4
Porto,2,34,0.65,0.12,0.03,0.03,0.09,0.74,0.27,0.18,0.18,5.47,12.2,44.8,31.3,4.62,32.3,21.5,6.71,31.1,34.1,12.1,0.91,7.5,1.32,1.32,24
Rio Ave,2,34,1.26,0.03,0.03,0.12,0.09,1.36,0.29,0.18,0.18,3.97,10.8,36.8,23.7,6.29,28.8,32.3,8.5,46.7,42.1,16.2,0.94,5.8,0.91,0.91,17.7
Santa Clara,2,34,1.71,0.21,0.03,0.24,0.09,1.64,0.3,0.03,0.03,7.76,19,40.8,25.7,3.62,51.2,39,8.59,68.5,50.3,15.1,0.56,3.7,0.97,0.97,14.2
Sporting CP,2,34,0.94,0.12,0,0.03,0.03,0.96,0.3,0.05,0.05,2.03,6,33.8,28.2,4.82,17,27.4,5.06,23.8,29.3,7.97,0.94,11.8,0.91,0.91,14
Vitória,3,34,1.15,0.06,0.03,0.09,0.03,1.19,0.31,0.08,0.08,6.74,17.9,37.7,24.8,3.91,45.7,36.5,9.35,69.5,48.9,14.6,0.82,5.6,1.32,1.32,20.5
Vizela,2,34,1.12,0.21,0,0.12,0.03,1.17,0.22,0.09,0.08,4.06,11,36.8,16.6,5.41,34.8,33.4,10.1,52.2,41.2,19.2,0.59,3.1,1.06,1.06,15.1
