Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,ck_In,ck_Out,ck_Str,Cmp,Off,Blocks
Arouca,29,34,454.4,402.1,50.8,13.8,2.29,3.88,12.6,21.4,3.32,1.68,0.88,0.24,352,1.53,7.71
Benfica,32,34,651,597.9,50.7,12.7,2.15,4.56,23.7,23.2,8.06,2.53,1.62,0.09,550.2,2.47,11.3
Boavista,30,34,452.6,398.8,51.8,14.6,1.21,3.62,19.4,21,5.29,3.41,0.71,0,352.3,1.94,8.59
Braga,31,34,538.5,485.4,51.3,13.5,1.94,5.56,20.6,22.6,5.88,2.82,1.15,0.09,432.6,1.76,9.18
Casa Pia,31,34,410.2,359.3,48.8,14.3,1.24,1.88,17.2,18.9,4.41,2.06,1.65,0.18,310.5,2.06,9.21
Chaves,31,34,418.4,364.4,52.4,14.7,1.47,3.24,17.7,21.1,4.76,1.71,1.68,0,322.9,1.62,8.47
Estoril,33,34,416.7,359.6,55.8,18.3,1.26,5.94,16.9,21.1,4.68,2.53,1.44,0.03,323.8,1.35,7.18
Famalicão,33,34,438.2,383.8,52.9,16.9,1.15,5.26,19.6,20.3,4.44,2.71,1.24,0.09,341.9,1.53,7.12
Gil Vicente FC,32,34,510.6,451.5,57.3,16.9,2.41,4.76,20.9,23.2,6.47,3.24,2.15,0.03,406.6,1.82,9.62
Marítimo,39,34,426.1,366.4,57.8,16,0.71,3.85,20.1,23.6,5.65,2.12,1.82,0.06,323.3,1.85,8.88
Paços de Ferreira,36,34,427.7,370.3,55.8,17.9,1.15,4.47,21.8,20.6,5.71,3.06,1.56,0.03,331.3,1.59,7.5
Portimonense,35,34,445.9,389,54.7,13.6,1.24,3.06,19.2,24.4,5.03,2.76,1.44,0.03,338.8,2.12,8.59
Porto,28,34,544.9,492.1,50.5,15.4,4.18,3.85,18.6,21,5.82,3.18,1.15,0.03,443.9,2.32,9
Rio Ave,30,34,466.9,413.4,51.4,15.5,1.18,4.59,17.9,20.9,4.32,1.5,2.15,0,372.3,2.06,8.29
Santa Clara,34,34,379.6,324.3,52.8,15.3,1.15,3.44,16.6,21.8,4.47,2.12,1.82,0,273.9,2.44,7.59
Sporting CP,32,34,623.6,572.8,48.7,13.9,2.62,3.97,24.8,20.7,7.09,3.5,2.15,0.03,526.3,2.06,9.21
Vitória,34,34,435.7,379,55,17.4,1.59,3.5,18.1,21.1,5.03,1.88,2.03,0.03,334.7,1.68,8.18
Vizela,30,34,433.2,377.7,53.5,14.1,1.62,2.44,16.8,22.1,5,3.38,0.88,0.03,324.9,2.06,9.68
