Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np_G-xG
Arouca,29,34,1.06,10.4,3.5,33.5,10.44,3.5,0.09,0.26,21.2,0.26,0.15,0.18,1.17,1.03,0.1,-0.11,-0.12
Benfica,32,34,2.29,16.7,5.68,34,16.71,5.68,0.12,0.36,16.1,0.76,0.26,0.38,2.56,2.26,0.14,-0.27,-0.24
Boavista,30,34,1.26,10.7,3.47,32.3,10.74,3.47,0.11,0.35,18.8,0.38,0.06,0.12,1.2,1.11,0.11,0.06,0.1
Braga,31,34,2.12,16.2,6.38,39.3,16.24,6.38,0.12,0.31,18.2,0.47,0.12,0.18,1.74,1.59,0.1,0.38,0.41
Casa Pia,31,34,0.85,11.1,3.29,29.6,11.12,3.29,0.07,0.23,18.6,0.21,0.09,0.12,1.11,1.01,0.09,-0.25,-0.25
Chaves,31,34,1,13,4.12,31.6,13.03,4.12,0.06,0.19,20,0.71,0.21,0.29,1.32,1.09,0.09,-0.32,-0.3
Estoril,33,34,0.97,10.3,3.26,31.6,10.32,3.26,0.09,0.27,18.9,0.32,0.09,0.12,0.98,0.89,0.09,-0.01,-0.01
Famalicão,33,34,1.09,12.5,3.38,27.1,12.5,3.38,0.08,0.3,18.3,0.56,0.09,0.15,1.11,0.99,0.08,-0.02,0.01
Gil Vicente FC,32,34,0.91,12.8,4,31.2,12.82,4,0.06,0.19,18.5,0.5,0.15,0.24,1.33,1.15,0.09,-0.42,-0.38
Marítimo,39,34,0.91,13.7,3.68,26.9,13.68,3.68,0.06,0.22,19.8,0.5,0.12,0.21,1.28,1.11,0.08,-0.36,-0.32
Paços de Ferreira,36,34,0.74,11.6,3.56,30.7,11.59,3.56,0.06,0.18,19.7,0.65,0.09,0.09,0.97,0.9,0.08,-0.23,-0.25
Portimonense,35,34,0.74,11.4,3.35,29.3,11.44,3.35,0.06,0.19,17.8,0.26,0.09,0.21,1.17,1.01,0.09,-0.44,-0.36
Porto,28,34,2.09,15,5.29,35.4,14.97,5.29,0.12,0.34,16.5,0.41,0.29,0.35,2.18,1.92,0.13,-0.09,-0.12
Rio Ave,30,34,1.03,11.2,3.41,30.5,11.18,3.41,0.08,0.28,20.1,0.53,0.09,0.18,1.05,0.91,0.08,-0.02,0.03
Santa Clara,34,34,0.76,10.4,3.26,31.4,10.38,3.26,0.06,0.18,19,0.47,0.18,0.21,1.04,0.87,0.08,-0.27,-0.29
Sporting CP,32,34,1.94,16,5.44,34,16,5.44,0.11,0.32,17.1,0.44,0.21,0.29,2.06,1.82,0.12,-0.11,-0.09
Vitória,34,34,1,11.6,3.38,29,11.65,3.38,0.07,0.25,19.3,0.38,0.15,0.15,1.03,0.92,0.08,-0.03,-0.07
Vizela,30,34,0.88,11.9,4.35,36.5,11.94,4.35,0.07,0.2,18.4,0.41,0.03,0.09,1.24,1.18,0.1,-0.36,-0.32
