Squad,# Pl,90s,total_Cmp,total_Att,total_Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,mid_Cmp,mid_Att,mid_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP
Birmingham City,30,46,300.9,407.3,73.9,5727.5,2256.5,121.8,143.9,84.7,134.3,163.1,82.4,37.7,76.9,49,0.65,0.77,0.7,-0.12,9.43,22.2,5.91,1.3,30.4
Blackburn,31,46,425.7,538.6,79,7479.5,2741.4,193.6,219.8,88.1,179.9,210.8,85.3,42,78.9,53.2,1.04,1.04,0.98,0,9.26,32.4,9.63,1.37,44
Bristol City,26,46,376.1,494.7,76,6853.8,2370.4,159.4,181.3,87.9,175.2,209.5,83.7,36.1,82,44.1,0.61,0.71,0.76,-0.1,8.22,26.8,6.5,1.8,33.1
Cardiff City,34,46,353.4,461.7,76.5,6582.2,2405.5,148.6,172.4,86.2,152.9,183.2,83.5,43.1,82.3,52.3,0.74,0.7,0.65,0.04,7.91,22.5,4.7,1.67,28.5
Coventry City,26,46,419.8,523.5,80.2,7271.6,2739.7,190.1,214.8,88.5,184,213.1,86.3,35.7,70.7,50.5,0.85,0.95,0.98,-0.1,9.91,33.6,8.7,1.91,42.7
Huddersfield,33,46,253.8,369.4,68.7,4864,2041.8,101.6,124.9,81.3,112,144,77.8,34,78.3,43.4,0.74,0.8,0.77,-0.06,8.46,22.3,6.3,2.22,28.9
Hull City,33,46,498.7,594.8,83.9,8460.6,2849.3,229.4,250.1,91.7,220.5,245.5,89.8,36.2,70.5,51.3,0.89,0.84,0.91,0.05,10.2,31.5,7.11,1.41,35.8
Ipswich Town,32,46,416.9,525.3,79.4,7355.8,2754.2,185.2,210.7,87.9,187.3,220.3,85,36.8,70.4,52.2,1.37,1.21,1.13,0.16,12.1,34.1,8.87,2.26,41.7
Leeds United,33,46,480.7,573.8,83.8,8246.8,2766.1,213.7,237.8,89.8,222.8,248.4,89.7,33.7,60.6,55.6,1.22,1.25,1.35,-0.03,11.8,35.4,9.13,1.24,46.2
Leicester City,27,46,576,666.2,86.5,9670.6,3145.5,279.3,300,93.1,245.2,272.5,90,41.2,69.2,59.4,1.24,1.29,1.4,-0.05,11.2,43.8,10.2,2.17,48.4
Middlesbrough,35,46,472.3,572.6,82.5,8044.7,2781.4,221.1,245,90.3,199.4,227.1,87.8,39.4,70.8,55.6,1.22,1.16,1.1,0.06,10.6,35.4,9.8,1.54,44.6
Millwall,27,46,286,402.8,71,5340.9,2107.4,124.9,150.2,83.2,117.8,149.3,78.9,36.4,80.5,45.3,0.65,0.68,0.75,-0.03,7.5,23,5.41,1.76,28.1
Norwich City,31,46,404.4,503.1,80.4,7269.9,2531.6,174,194,89.7,182.7,210.1,86.9,39.8,74.7,53.2,1.13,0.99,0.98,0.14,9.76,26.9,7.15,2.22,34.4
Plymouth Argyle,31,46,326.2,434.5,75.1,6139.3,2264.4,127.1,150.6,84.4,156.2,183.8,84.9,36.7,78.5,46.8,0.85,0.82,0.73,0.03,9.59,23.5,5.8,1.13,31.9
Preston,28,46,296.3,422.2,70.2,5507.3,2134,128.3,153.7,83.4,122.6,156.5,78.3,37,86.7,42.7,0.83,0.61,0.68,0.22,6.61,25.8,5.22,1.46,28.8
QPR,30,46,338.7,449,75.4,6195.8,2375.5,148.6,171.1,86.9,144.3,175.2,82.4,38.2,80.9,47.2,0.65,0.68,0.73,-0.03,8.48,24.4,6.07,2.17,29
Rotherham Utd,35,46,228,341.5,66.8,4500.9,2024.8,100.5,124.4,80.8,85.6,113.1,75.6,35.5,83,42.8,0.5,0.47,0.56,0.03,5.52,19.7,4.17,1.72,20.9
Sheffield Weds,33,46,295.7,407.4,72.6,5399.4,2175.3,130.1,153.3,84.9,123.8,154.4,80.2,33.9,76.9,44,0.72,0.83,0.75,-0.11,7.89,20.5,5.33,1.89,27.2
Southampton,28,46,624.9,712.4,87.7,10060,3246,319.8,341.4,93.7,254.2,279.9,90.8,37.6,62.1,60.6,1.26,1.23,1.54,0.03,12.2,45.3,12.9,1.7,55.6
Stoke City,35,46,359.4,480.6,74.8,6756.5,2560.6,149.8,177.2,84.5,158.8,191.8,82.8,43.3,86.1,50.3,0.76,0.87,0.98,-0.11,9.7,31.4,9.07,1.96,40.8
Sunderland,32,46,456.3,552.6,82.6,7893.5,2594.5,206.2,229.3,89.9,200,227,88.1,39.3,69.2,56.8,0.74,0.94,1.01,-0.2,10.7,33.8,7.63,1.43,43.7
Swansea City,30,46,436.9,545.5,80.1,7597.4,2647.8,197.1,220.2,89.5,194,222.5,87.2,36.1,77.5,46.6,0.87,0.92,0.88,-0.05,8.74,30.3,7.02,2.3,36.7
Watford,27,46,401.6,507.2,79.2,7539.8,2617.2,157.7,181.2,87,187.5,218.2,86,47.8,84.8,56.4,0.98,0.92,0.89,0.06,10.6,32,8.02,2.09,40.6
West Brom,28,46,414.5,514.6,80.5,7232.3,2469.2,188.2,210.2,89.5,181.5,210.6,86.2,36.1,69.4,52,0.98,0.93,0.94,0.05,8.74,28.6,6.98,2.52,36.8
