Squad,# Pl,90s,Tkl,TklW,def_3rd,mid_3rd,att_3rd,dribb_Tkl,dribb_Att,dribb_Tkl%,dribb_Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Birmingham City,30,46,17.7,11.1,8.63,6.87,2.24,8.48,16.4,51.7,7.91,14.2,3.93,10.3,10.4,28.1,21.5,0.39
Blackburn,31,46,17.9,11.2,8.17,7.26,2.43,8.7,17.8,49,9.07,13.3,3.87,9.46,9.61,27.5,19.5,0.41
Bristol City,26,46,16,9.72,7.37,6.72,1.91,8.46,17.3,48.9,8.83,10.9,3.48,7.43,9.3,25.3,18,0.24
Cardiff City,34,46,16.9,10.7,8.2,6.91,1.76,8.46,15.6,54.1,7.17,10.9,3.61,7.33,10.8,27.6,21,0.33
Coventry City,26,46,17.8,10.6,8.61,7.04,2.11,7.87,15.2,51.9,7.3,11.8,3.8,8,9.22,27,19.6,0.41
Huddersfield,33,46,15.7,9.8,7.22,6.96,1.5,7.13,14.2,50.2,7.07,12,4.09,7.91,9.41,25.1,23.1,0.11
Hull City,33,46,13.2,8.13,5.96,5.48,1.74,6.37,13.6,46.8,7.24,12.3,4.17,8.09,7.63,20.8,20.2,0.26
Ipswich Town,32,46,16.2,10.8,6.76,6.83,2.57,8.17,16.8,48.6,8.65,11.9,3.24,8.65,9.04,25.2,17.6,0.3
Leeds United,33,46,17,11,7.35,6.85,2.83,8.43,14.7,57.3,6.28,10.4,3.11,7.28,8.48,25.5,17.2,0.11
Leicester City,27,46,16.6,10.7,7.59,7.02,2,8.07,15,53.9,6.89,10.7,3.41,7.33,8.89,25.5,16.7,0.52
Middlesbrough,35,46,15.4,9.67,6.74,6.35,2.3,7.78,15.6,49.8,7.85,10.5,3.07,7.46,8.76,24.2,17.9,0.35
Millwall,27,46,18.6,11.3,9.17,7.7,1.76,9.61,17.1,56.1,7.52,11.4,3.67,7.76,10.7,29.3,21.5,0.22
Norwich City,31,46,17,10.3,8.22,7.11,1.7,7.57,15.8,47.7,8.28,11.8,4.22,7.54,9.35,26.4,22,0.33
Plymouth Argyle,31,46,14,9.13,7.09,5.41,1.48,6.65,14,47.6,7.33,12.5,5.09,7.39,8.91,22.9,23.5,0.17
Preston,28,46,18.3,11.3,8.37,7.8,2.15,9.35,18.4,50.8,9.04,13.5,3.78,9.72,11.7,30,21.8,0.39
QPR,30,46,16.2,10,8.28,6,1.89,7.61,13.8,55.1,6.2,11,3.33,7.7,9.61,25.8,21.4,0.15
Rotherham Utd,35,46,16,10,8.7,5.85,1.5,7.28,14.6,49.9,7.33,12.5,4.2,8.33,9.98,26,23.7,0.2
Sheffield Weds,33,46,16.8,10.5,8.54,6.24,1.98,8.5,17.1,49.7,8.61,12.4,3.85,8.54,9.41,26.2,20.1,0.24
Southampton,28,46,14.2,8.83,5.7,5.67,2.78,6.52,12.2,53.5,5.67,9.98,3.28,6.7,8.43,22.6,14.8,0.33
Stoke City,35,46,17.5,11.1,7.91,7.11,2.46,7.78,15,51.7,7.26,11.3,3.33,7.93,10,27.5,19,0.15
Sunderland,32,46,17.1,10.8,7.87,7.24,2.02,8.3,16.2,51.3,7.87,11,3.41,7.63,8.67,25.8,16.5,0.2
Swansea City,30,46,15.8,9.63,6.33,7.41,2.09,8.22,15.5,52.9,7.33,11.2,4.07,7.15,9.7,25.5,18.5,0.37
Watford,27,46,16.5,10.5,8.3,6.52,1.63,8.65,16,54.1,7.33,11.3,3.57,7.72,9.37,25.8,18.5,0.39
West Brom,28,46,12.8,7.91,6.07,4.85,1.85,6.24,12.2,51.3,5.93,10.2,3.63,6.57,8.43,21.2,18.8,0.28
