Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np_G-xG
Birmingham City,30,46,1.04,12.6,3.63,28.8,12.59,3.63,0.08,0.28,18.2,0.28,0.04,0.07,1.07,1.01,0.08,-0.02,-0.01
Blackburn,31,46,1.28,12.3,4.2,34.2,12.28,4.2,0.1,0.31,16.8,0.15,0,0.02,1.32,1.31,0.11,-0.04,-0.03
Bristol City,26,46,1.13,11.3,3.46,30.5,11.35,3.46,0.09,0.28,17.5,0.26,0.15,0.15,1.12,1.01,0.09,0.01,-0.03
Cardiff City,34,46,1.04,10.8,3.7,34.1,10.85,3.7,0.09,0.27,18.1,0.26,0.04,0.04,0.95,0.91,0.09,0.1,0.09
Coventry City,26,46,1.43,13.1,4.11,31.4,13.07,4.11,0.1,0.33,17.5,0.28,0.07,0.13,1.39,1.28,0.1,0.05,0.08
Huddersfield,33,46,1,11.4,3.54,31.2,11.37,3.54,0.09,0.28,17.2,0.35,0.02,0.02,1.06,1.04,0.09,-0.06,-0.06
Hull City,33,46,1.48,13.3,4.7,35.4,13.26,4.7,0.1,0.3,18.7,0.57,0.09,0.15,1.24,1.12,0.09,0.23,0.27
Ipswich Town,32,46,1.91,15.6,5.52,35.5,15.57,5.52,0.12,0.34,17,0.3,0.04,0.07,1.61,1.56,0.1,0.3,0.31
Leeds United,33,46,1.7,14.9,4.98,33.3,14.93,4.98,0.1,0.31,16.2,0.5,0.15,0.2,1.73,1.58,0.11,-0.03,-0.03
Leicester City,27,46,1.91,14.1,4.85,34.5,14.07,4.85,0.12,0.34,16.6,0.26,0.26,0.28,1.85,1.62,0.12,0.07,0.03
Middlesbrough,35,46,1.5,13.5,4.72,34.9,13.5,4.72,0.11,0.31,16.9,0.35,0.04,0.11,1.48,1.39,0.11,0.02,0.06
Millwall,27,46,0.96,10.6,3.41,32.2,10.59,3.41,0.09,0.27,17,0.39,0.02,0.04,0.95,0.92,0.09,0,0.01
Norwich City,31,46,1.65,13.6,4.2,30.8,13.63,4.2,0.12,0.38,17.4,0.65,0.04,0.07,1.37,1.32,0.1,0.28,0.29
Plymouth Argyle,31,46,1.26,13,4.48,34.6,12.96,4.48,0.1,0.28,18.8,0.37,0.02,0.02,1.14,1.12,0.09,0.12,0.12
Preston,28,46,1.15,9.26,2.98,32.2,9.26,2.98,0.12,0.36,17.7,0.13,0.07,0.07,0.88,0.83,0.09,0.27,0.25
QPR,30,46,0.96,11.3,3.65,32.2,11.35,3.65,0.08,0.26,17.5,0.26,0.02,0.04,0.96,0.93,0.08,0,0.01
Rotherham Utd,35,46,0.8,8.13,2.26,27.8,8.13,2.26,0.09,0.34,17.5,0.28,0.04,0.04,0.69,0.65,0.08,0.12,0.11
Sheffield Weds,33,46,0.93,11.2,3.26,29.2,11.15,3.26,0.08,0.29,17.2,0.35,0,0,1.09,1.09,0.1,-0.16,-0.16
Southampton,28,46,1.85,15.4,5.37,34.8,15.43,5.37,0.11,0.33,16.5,0.39,0.09,0.11,1.73,1.65,0.11,0.11,0.11
Stoke City,35,46,1,12.6,3.48,27.5,12.63,3.48,0.08,0.28,16.9,0.37,0.02,0.09,1.17,1.1,0.09,-0.17,-0.13
Sunderland,32,46,1.11,14.3,4.61,32.1,14.35,4.61,0.07,0.21,18.5,0.72,0.13,0.13,1.34,1.24,0.09,-0.23,-0.26
Swansea City,30,46,1.24,11.5,3.65,31.8,11.5,3.65,0.1,0.32,16.8,0.3,0.09,0.15,1.28,1.16,0.1,-0.04,-0.01
Watford,27,46,1.33,13.4,4.04,30.2,13.39,4.04,0.1,0.32,18.7,0.35,0.02,0.02,1.16,1.14,0.09,0.17,0.17
West Brom,28,46,1.48,11.5,3.37,29.4,11.48,3.37,0.12,0.41,16.9,0.35,0.11,0.11,1.31,1.22,0.11,0.17,0.15
