Squad,# Pl,90s,SCA,SCA90,sca_PassLive,sca_PassDead,sca_TO,sca_Sh,sca_Fld,sca_Def,GCA,GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def
Birmingham City,30,46,22,21.96,16,1.48,1.61,1.43,0.83,0.61,1.76,1.76,1.13,0.07,0.24,0.2,0.11,0.02
Blackburn,31,46,21.6,21.59,16.8,1.41,0.83,1.48,0.5,0.54,2.2,2.2,1.67,0.11,0.17,0.13,0.02,0.09
Bristol City,26,46,18.8,18.85,12.9,1.98,1.09,1.48,0.98,0.41,1.8,1.8,1.2,0.15,0.13,0.15,0.15,0.02
Cardiff City,34,46,18.7,18.72,12.5,2.35,1.22,1.28,0.93,0.39,1.8,1.8,1.11,0.26,0.09,0.2,0.13,0.02
Coventry City,26,46,22.8,22.76,16.9,1.76,1.22,1.65,0.83,0.41,2.39,2.39,1.5,0.13,0.17,0.41,0.15,0.02
Huddersfield,33,46,19,19.02,12.8,2.2,1.17,1.22,1.15,0.48,1.65,1.65,1.04,0.15,0.13,0.24,0.04,0.04
Hull City,33,46,23.5,23.54,17.3,1.85,1.5,1.3,1.2,0.43,2.33,2.33,1.61,0.07,0.26,0.22,0.13,0.04
Ipswich Town,32,46,27.1,27.13,19.8,2.63,1.2,2.04,1.04,0.46,3.22,3.22,2.22,0.26,0.15,0.35,0.17,0.07
Leeds United,33,46,26.6,26.63,19.1,2.04,1.96,1.83,1.2,0.54,2.78,2.78,2.11,0.07,0.17,0.22,0.13,0.09
Leicester City,27,46,25.8,25.76,19.8,1.72,1.61,1.2,0.98,0.46,3.3,3.3,2.41,0.13,0.22,0.24,0.28,0.02
Middlesbrough,35,46,24.1,24.07,18.1,1.85,1.41,1.37,0.96,0.39,2.7,2.7,1.98,0.13,0.26,0.2,0.09,0.04
Millwall,27,46,18.1,18.13,12.1,2.22,1.07,1.37,1.2,0.2,1.5,1.5,0.96,0.11,0.13,0.22,0.09,0
Norwich City,31,46,23.5,23.54,16.9,2.17,1.52,1.52,1.04,0.35,2.87,2.87,1.98,0.33,0.2,0.24,0.13,0
Plymouth Argyle,31,46,22,22.04,16.3,1.67,1.39,1.57,0.65,0.43,2.11,2.11,1.61,0.02,0.11,0.24,0.07,0.07
Preston,28,46,15.6,15.59,11.5,1.46,0.65,0.93,0.78,0.24,1.89,1.89,1.35,0.07,0.13,0.15,0.13,0.07
QPR,30,46,19.6,19.63,14.2,2.02,1.07,1.11,0.85,0.39,1.63,1.63,1.11,0.17,0.09,0.15,0.09,0.02
Rotherham Utd,35,46,13.3,13.3,8.54,1.96,0.5,1.02,1,0.28,1.33,1.33,0.91,0.15,0.04,0.09,0.07,0.07
Sheffield Weds,33,46,18.7,18.67,12.6,2,1.17,1.52,0.98,0.41,1.54,1.54,1.07,0.11,0.13,0.22,0,0.02
Southampton,28,46,27.3,27.28,20.9,1.8,1.43,1.72,0.85,0.54,3.07,3.07,2.3,0.13,0.2,0.33,0.11,0
Stoke City,35,46,22.2,22.15,16,2.13,1.04,1.67,0.83,0.43,1.7,1.7,1.15,0.15,0.09,0.22,0.07,0.02
Sunderland,32,46,25.4,25.37,18,1.85,1.54,1.85,1.52,0.59,1.87,1.87,1.13,0.15,0.15,0.15,0.2,0.09
Swansea City,30,46,20.4,20.37,14.5,2.2,0.83,1.39,1.11,0.37,2.13,2.13,1.43,0.11,0.2,0.2,0.15,0.04
Watford,27,46,23.8,23.76,18.5,1.65,1.41,1.11,0.83,0.22,2.17,2.17,1.67,0.11,0.11,0.24,0.02,0.02
West Brom,28,46,20.4,20.41,14.6,2.07,1.26,1.35,0.93,0.2,2.5,2.5,1.72,0.13,0.26,0.22,0.17,0
