Squad,Manager,Start_Date,End_Date,Matches,W,D,L,PPM
Hull City,Shota Arveladze,27/01/2022,30/09/2022,11,3,2,6,1.0
Hull City,Andy Dawson,01/10/2022,03/11/2022,7,3,0,4,1.29
Hull City,Liam Rosenior,03/11/2022,30/06/2024,29,8,14,7,1.31
Burnley,Vincent Kompany,01/07/2022,30/06/2024,54,34,15,5,2.17
Sheffield Utd,Paul Heckingbottom,25/11/2021,05/12/2023,53,32,8,13,1.96
Luton Town,Nathan Jones,28/05/2020,09/11/2022,21,7,8,6,1.38
Luton Town,Mick Harford,10/11/2022,16/11/2022,1,0,1,0,1.0
Luton Town,Rob Edwards,17/11/2022,09/01/2025,32,17,10,5,1.91
Middlesbrough,Chris Wilder,07/11/2021,03/10/2022,12,2,4,6,0.83
Middlesbrough,Leo Percovich,04/10/2022,24/10/2022,5,2,1,2,1.4
Middlesbrough,Michael Carrick,25/10/2022,04/06/2025,33,18,5,10,1.79
Sunderland,Alex Neil,11/02/2022,27/08/2022,6,2,2,2,1.33
Sunderland,Tony Mowbray,30/08/2022,04/12/2023,45,18,14,13,1.51
