Common_Name,FBref_Name,TM_Name,Manager
Hull City,Hull City,Hull City,Shota Arveladze/Liam Rosenior
Burnley,Burnley,Burnley FC,Vincent Kompany
Sheffield Utd,Sheffield Utd,Sheffield United,Paul Heckingbottom
Luton Town,Luton Town,Luton Town,Nathan Jones/Rob Edwards
Middlesbrough,Middlesbrough,Middlesbrough FC,Chris Wilder/Michael Carrick
Sunderland,Sunderland,Sunderland AFC,Tony Mowbray
