Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,ck_In,ck_Out,ck_Str,Cmp,Off,Blocks
Arsenal,25,38,593.6,551.1,40.3,11.7,2.74,1.71,17.6,14.7,6.97,5.71,0.03,0,502.5,2.29,8.39
Aston Villa,31,38,509.6,460.5,47.8,16.5,2.11,2.5,17.1,16.1,6.08,3.92,0.39,0.05,424.6,1.24,9.03
Bournemouth,30,38,418.9,370.1,47.3,11,1.26,2.39,18.7,20.4,6.18,5.05,0.24,0.11,313.1,1.47,9.5
Brentford,28,38,442.6,394.6,46.1,12.2,1.84,2.97,18.6,18,4.84,2.08,1.34,0.26,330.3,1.84,9.39
Brighton,30,38,658.7,614.1,42.4,13.4,1.63,2,17.7,14.2,5.42,2.26,1.92,0.13,573.9,2.21,8.61
Burnley,31,38,472.6,426,44.6,11.7,1.29,2.03,14.5,17.6,4.74,1.76,1.53,0.24,366.8,2,9.05
Chelsea,32,38,614.8,568.1,44.5,13.1,3.05,2.66,14.7,16.1,5.32,2.05,1.45,0.11,527.3,2.24,9.16
Crystal Palace,26,38,440.9,393.4,45.6,12.7,1.37,2.55,15.3,19,4.68,2.13,1.5,0.16,339.9,1.89,9.63
Everton,26,38,408.3,360.6,45.3,10.8,1.18,2.05,19.8,20.2,4.76,3.68,0.68,0.08,298.7,2.34,9.13
Fulham,25,38,532.6,484.6,46.6,12.2,1.53,3.11,19.4,18.3,5.58,1.84,2.58,0.03,429.2,1.34,11.1
Liverpool,30,38,641.6,591.8,47.1,11.6,2.68,3.82,21.5,19.9,7.55,2.26,4.5,0.05,536.2,2.63,9.76
Luton Town,28,38,397.3,346.2,49.4,13.1,0.58,2.92,22.1,18.5,5.34,2.45,2.66,0.13,290.7,1.76,10.9
Manchester City,25,38,730.5,687.8,41.6,12.1,2.24,3.5,18.4,15.9,7.53,3,1.74,0.18,647.8,1.11,10.1
Manchester Utd,31,38,514.2,468,43.8,9.76,1.92,2.61,15.6,16.9,5.89,1.84,2.26,0.26,415.4,2.39,9.79
Newcastle Utd,32,38,522.4,474.4,46.5,13.6,2.24,3.5,17.1,17.9,5.05,1.97,1.58,0.24,424.1,1.55,9.58
Nott'ham Forest,33,38,412.6,367.8,42.8,10.8,1.39,2.18,15.7,17.4,3.89,2.11,1.45,0,312.6,2.03,8.29
Sheffield Utd,35,38,355.5,309.6,44.2,10,0.68,1.37,11.3,17.5,3.71,1.84,1.24,0.16,250.8,1.68,8.47
Tottenham,29,38,636.8,583.3,51.2,16.7,2.39,1.55,18.7,19,6.16,2.45,1.84,0.03,543.4,2.18,12.6
West Ham,26,38,430.9,383.4,45.6,11.3,1.58,4.16,17.4,19,4.34,2.45,1.61,0,330.7,1.87,10.8
Wolves,27,38,504.6,458.1,44.4,11.6,1.29,3.29,15.2,18,4.11,1.97,1.08,0.39,407.5,2.05,8.76
