Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
Arsenal,25,25,58.2,38,418,"3,420",38,2.26,1.63,3.89,2,0.26,0.26,1.68,0.05,2,1.8,1.46,3.26,21.6,55.4
Aston Villa,31,26.9,53.1,38,418,"3,420",38,1.89,1.45,3.34,1.79,0.11,0.11,2.47,0.05,1.67,1.59,1.28,2.87,20.4,38.2
Bournemouth,30,25.7,44.4,38,418,"3,420",38,1.37,1.03,2.39,1.32,0.05,0.08,2.08,0.08,1.47,1.41,1.07,2.47,18.7,34.6
Brentford,28,26.6,45.2,38,418,"3,420",38,1.42,1,2.42,1.34,0.08,0.08,2.34,0.05,1.53,1.47,1.12,2.6,13.3,33.8
Brighton,30,25.9,59.8,38,418,"3,420",38,1.32,0.95,2.26,1.18,0.13,0.16,2.37,0.08,1.49,1.37,1.09,2.47,22.7,46.8
Burnley,31,24.5,47.4,38,418,"3,420",38,1.05,0.79,1.84,0.97,0.08,0.08,2.03,0.18,1.07,1.01,0.78,1.79,19.1,31.1
Chelsea,32,24.2,58.6,38,418,"3,420",38,2,1.34,3.34,1.71,0.29,0.32,2.87,0.11,1.96,1.71,1.35,3.07,23,42.5
Crystal Palace,26,26.8,42.3,38,418,"3,420",38,1.47,1.13,2.61,1.37,0.11,0.11,1.92,0.05,1.28,1.19,1.02,2.21,13.3,30.9
Everton,26,27.1,40.8,38,418,"3,420",38,1.05,0.45,1.5,1,0.05,0.08,2.16,0.03,1.42,1.36,1,2.36,13,29.7
Fulham,25,28.4,50.6,38,418,"3,420",38,1.42,1.05,2.47,1.37,0.05,0.05,2.21,0.11,1.34,1.29,0.99,2.28,17.6,38.6
Liverpool,30,26.3,61.3,38,418,"3,420",38,2.11,1.58,3.68,1.95,0.16,0.24,1.82,0.13,2.31,2.12,1.68,3.79,24.3,55.5
Luton Town,28,26.7,42.4,38,418,"3,420",38,1.29,0.87,2.16,1.16,0.13,0.13,1.87,0,1.12,1.02,0.78,1.79,17.8,29.3
Manchester City,25,26.6,65.2,38,418,"3,420",38,2.47,1.82,4.29,2.24,0.24,0.26,1.39,0.05,2.12,1.92,1.58,3.5,29.7,54.2
Manchester Utd,31,26.1,50.6,38,418,"3,420",38,1.5,0.95,2.45,1.34,0.16,0.18,2.18,0.03,1.49,1.34,1.06,2.39,19.9,38.9
Newcastle Utd,32,27.2,52.2,38,418,"3,420",38,2.18,1.45,3.63,1.97,0.21,0.24,2.08,0.03,2,1.82,1.35,3.17,19.4,41
Nott'ham Forest,33,25.7,40.6,38,418,"3,420",38,1.29,1.13,2.42,1.26,0.03,0.03,2.16,0.08,1.31,1.29,1,2.29,15.8,30
Sheffield Utd,35,25.7,35.8,38,418,"3,420",38,0.82,0.47,1.29,0.68,0.13,0.13,2.66,0.13,1.01,0.91,0.68,1.59,9.11,23.3
Tottenham,29,25.2,61.6,38,418,"3,420",38,1.82,1.53,3.34,1.76,0.05,0.05,2.42,0.11,1.79,1.76,1.51,3.27,25.2,55.4
West Ham,26,28.3,41.1,38,418,"3,420",38,1.53,1.05,2.58,1.42,0.11,0.13,2.16,0.08,1.38,1.27,0.92,2.19,14.6,31.8
Wolves,27,26.6,48.9,38,418,"3,420",38,1.24,0.95,2.18,1.13,0.11,0.11,2.68,0.11,1.23,1.15,0.84,1.98,17.7,31.1
