Squad,# Pl,90s,total_Cmp,total_Att,total_Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,mid_Cmp,mid_Att,mid_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,25,38,502.5,593.6,84.6,8145.6,2689.7,255.8,280.1,91.3,205.5,230.7,89.1,31,56.9,54.5,1.63,1.46,1.52,0.18,13.5,40.7,14.4,1.79,55.4
Aston Villa,31,38,424.6,509.6,83.3,7398.1,2507.7,187.1,207.3,90.3,194.2,217.7,89.2,35,62.3,56.2,1.45,1.28,1.12,0.17,10.5,30.5,9.55,1.76,38.2
Bournemouth,30,38,313.1,418.9,74.7,5815.2,2190.4,130.9,154.4,84.8,138.7,163.5,84.8,36.7,78,47,1.03,1.07,0.89,-0.04,10.9,28.3,9.26,2.32,34.6
Brentford,28,38,330.3,442.6,74.6,5946.6,2328.7,147.8,174.4,84.7,137.8,169.3,81.4,36.4,73.1,49.8,1,1.12,1.05,-0.12,8.74,25.4,8.76,2.79,33.8
Brighton,30,38,573.9,658.7,87.1,8975.3,2991.7,304.6,328.2,92.8,217.4,240.1,90.5,34.1,56.9,59.9,0.95,1.09,1.15,-0.15,11.3,39.1,10.1,2.13,46.8
Burnley,31,38,366.8,472.6,77.6,6474.9,2198.8,166.1,191.2,86.8,158.3,185.3,85.4,34.8,72.5,48.1,0.79,0.78,0.7,0.01,8.58,25.7,5.68,1.42,31.1
Chelsea,32,38,527.3,614.8,85.8,8643.4,2890.9,263.3,286.2,92,215.2,238.4,90.2,35.9,61.3,58.6,1.34,1.35,1.13,-0.01,11,35.6,9.26,1.34,42.5
Crystal Palace,26,38,339.9,440.9,77.1,5935.3,2234.8,158.9,182.1,87.3,140.5,165.4,84.9,31.7,68.6,46.2,1.13,1.02,0.83,0.11,9.29,26.2,7.18,1.58,30.9
Everton,26,38,298.7,408.3,73.2,5487.8,2325.6,136.8,160.3,85.3,115.4,142.2,81.1,38.7,80.4,48.1,0.45,1,0.84,-0.56,8.92,25.2,7.47,2.03,29.7
Fulham,25,38,429.2,532.6,80.6,7637.8,2645.7,184.9,208.1,88.9,191.5,219.7,87.2,41.7,75.1,55.6,1.05,0.99,0.88,0.06,9.97,29.4,9.34,2.47,38.6
Liverpool,30,38,536.2,641.6,83.6,9119.7,3123.7,254.1,280,90.7,227,256.9,88.4,43.1,74.1,58.2,1.58,1.68,1.46,-0.1,15.7,43.8,13.3,2.11,55.5
Luton Town,28,38,290.7,397.3,73.2,5302,2140.8,130.8,152.2,85.9,116.9,142.9,81.8,33.9,75.8,44.8,0.87,0.78,0.72,0.09,8.29,22,6.58,2.37,29.3
Manchester City,25,38,647.8,730.5,88.7,10370.1,2954.5,339.3,361.1,94,248.7,271.2,91.7,43.5,65.7,66.1,1.82,1.58,1.63,0.23,14.3,49.7,12.7,1.71,54.2
Manchester Utd,31,38,415.4,514.2,80.8,6855.4,2400.7,207.7,233.3,89,157,182.7,85.9,35.7,66.2,53.8,0.95,1.06,0.91,-0.11,11.4,31.6,8.89,1.32,38.9
Newcastle Utd,32,38,424.1,522.4,81.2,7217.5,2536.9,202.1,226.9,89.1,176.9,204.1,86.7,35.7,65.9,54.2,1.45,1.35,1.14,0.1,11.2,29.1,10,2,41
Nott'ham Forest,33,38,312.6,412.6,75.8,5527,2186.8,145,168.9,85.9,125.3,154.1,81.3,33.3,65.6,50.7,1.13,1,0.73,0.13,8.55,23.8,6.42,1.61,30
Sheffield Utd,35,38,250.8,355.5,70.6,4470.9,1877.3,118.2,141,83.9,98.4,123.6,79.6,27.4,69.1,39.7,0.47,0.68,0.55,-0.21,6.76,18.4,5.21,1.26,23.3
Tottenham,29,38,543.4,636.8,85.3,8584.8,2931.1,279.7,305.7,91.5,220,245.9,89.5,28.7,50.1,57.2,1.53,1.51,1.37,0.02,12.1,41.8,11.9,1.71,55.4
West Ham,26,38,330.7,430.9,76.8,5772,2252,159,180.4,88.1,126.8,151.3,83.8,35,71.5,48.9,1.05,0.92,0.81,0.14,8.03,25.8,5.92,1.87,31.8
Wolves,27,38,407.5,504.6,80.8,6735.1,2227.6,202.5,225.7,89.7,160.5,184.6,86.9,32.1,66.5,48.2,0.95,0.84,0.73,0.11,8.32,23.9,6.29,1.61,31.1
