Squad,# Pl,Poss,90s,Touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,take_on_Att,take_on_Succ,take_on_Succ%,take_on_Tkld,take_on_Tkld%,Carries,carries_TotDist,carries_PrgDist,carries_PrgC,carries_1/3,carries_CPA,carries_Mis,carries_Dis,Rec,PrgR
Arsenal,25,58.2,38,697.2,51.9,176.7,300.2,225.3,38.9,696.9,17.7,7.45,42.2,8,45.3,428.9,2136.1,1092.4,21.6,15.1,8.61,13.8,9.87,497.8,54.9
Aston Villa,31,53.1,38,606.8,73.9,215,253.6,143.7,26.6,606.7,19.9,9.08,45.6,8.29,41.6,380.3,2069.2,1085.2,20.4,12.9,5.71,12.6,10.9,416.4,37.8
Bournemouth,30,44.4,38,544.7,65.4,179.5,222.9,149.6,27.2,544.7,22.9,10.1,43.8,10.9,47.5,289.9,1746.6,911.4,18.7,13.5,6.32,16.8,10.2,309.8,34.1
Brentford,28,45.2,38,558.6,75.7,209.1,217.2,137.1,25.8,558.5,15.2,6.39,42.1,7.08,46.6,288.7,1490,774,13.3,9.55,4.11,14.6,7.13,326.7,33.6
Brighton,30,59.8,38,766.1,84.1,248.7,344.5,178.1,28.4,765.9,18.8,7.82,41.5,8.47,45,500.5,2446.3,1286.4,22.7,15.4,7.08,15.2,9,567.8,46.5
Burnley,31,47.4,38,583.7,76.5,211.1,242,135.7,21.6,583.6,18.4,7.89,42.9,8.66,47.1,322.2,1760.9,932.1,19.1,12.1,6.32,13.6,7.79,362.6,30.6
Chelsea,32,58.6,38,729.6,79.9,246.5,317.6,172.6,27.3,729.3,22.9,10.5,45.8,9.61,42,437.5,2226.7,1160.1,23,14.3,7.66,15.9,9.74,523.7,42.1
Crystal Palace,26,42.3,38,562.3,61.8,190.4,244.2,133.6,21,562.2,19.4,8.97,46.3,8.42,43.4,288,1461.7,706.3,13.3,10.1,4.47,15.9,11.2,337.1,30.6
Everton,26,40.8,38,527.7,67.6,178.7,215.3,139,21.3,527.6,14.8,6.58,44.3,7.03,47.3,257.1,1372.6,681.7,13,10.2,3.34,14.7,8.42,296.2,29.4
Fulham,25,50.6,38,639.9,73.5,226.8,272.6,146.5,22.3,639.9,14.5,7.13,49.3,6.11,42.2,365.3,1912.5,967.8,17.6,13.4,3.97,13.7,8.55,425.9,38.2
Liverpool,30,61.3,38,756.9,57.7,194.5,362,207.1,37.4,756.7,19.4,8.71,44.9,8.71,44.9,470.9,2432.2,1269.6,24.3,18.3,7.76,15.1,10.7,532.4,55
Luton Town,28,42.4,38,517.2,69.2,184.9,208,130.6,20.5,517.1,20.3,9.32,45.9,8.71,42.9,265,1578,784.6,17.8,12.6,4.45,15.3,10.1,287.1,28.8
Manchester City,25,65.2,38,826.7,56.9,184.5,377.6,270,38.6,826.4,19.2,9.92,51.6,7.42,38.6,531.8,2773.6,1528.2,29.7,22.8,10.9,11.6,9.37,640.6,53.5
Manchester Utd,31,50.6,38,631.5,77.3,215.7,259.4,161.7,27,631.3,18.3,8.18,44.6,7.97,43.5,367.9,1983.1,1042.1,19.9,13.8,7.21,12.7,9,410.4,38.6
Newcastle Utd,32,52.2,38,631.7,64.4,212.7,266.9,158,28.8,631.5,19.2,9.34,48.6,7.58,39.5,359.2,1933.2,962.8,19.4,13.3,6.39,13.3,10.5,420.9,40.7
Nott'ham Forest,33,40.6,38,529.6,65.6,193.1,218.9,123.3,20.7,529.6,15.9,7.24,45.5,7.05,44.4,268.9,1440.8,767.9,15.8,10.4,4.08,13.9,7.53,310.1,29.6
Sheffield Utd,35,35.8,38,472.4,74.1,188.3,188,100.8,17,472.3,15.3,6.61,43.2,7.53,49.2,219.3,1142.4,537.2,9.11,7.55,3.37,12.9,8.47,248.9,23
Tottenham,29,61.6,38,750.8,73.4,224.2,322.6,210.8,34.6,750.7,21.4,9.45,44.2,9.55,44.7,476,2442.7,1226.3,25.2,16.7,9.18,14.7,9.87,539.1,55.2
West Ham,26,41.1,38,549.3,68.6,192.1,239.5,123.5,19.7,549.2,19.6,9.29,47.4,8.45,43.1,294.3,1596.3,757.9,14.6,9.71,4.42,13.6,10.4,327.9,31.4
Wolves,27,48.9,38,618.1,74.3,228.3,270.1,126.4,19.4,618,21.7,10.9,50.4,8.53,39.4,343.6,1877.4,966.6,17.7,13.7,4.42,14.1,10.2,404,30.6
