Squad,# Pl,90s,Tkl,TklW,def_3rd,mid_3rd,att_3rd,dribb_Tkl,dribb_Att,dribb_Tkl%,dribb_Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,25,38,16.1,9.16,6.76,6.47,2.82,7.13,14.3,49.9,7.16,10.8,2.79,8.05,7.68,23.7,13.6,0.47
Aston Villa,31,38,14.4,8.18,7.08,5.53,1.79,6.84,14.5,47.3,7.63,10.2,2.97,7.26,6.21,20.6,15.7,0.34
Bournemouth,30,38,18.2,10.8,7.92,7.39,2.92,8.55,18.1,47.2,9.55,13.3,4.03,9.24,9.39,27.6,21.5,0.42
Brentford,28,38,17.8,10.5,9.18,6.58,2.05,8.34,18.3,45.5,10,12.5,3.74,8.74,9.95,27.8,23.8,0.47
Brighton,30,38,16.9,9.63,7.68,6.63,2.63,8.08,17.3,46.7,9.24,11.5,3.68,7.82,7.58,24.5,15.9,0.55
Burnley,31,38,16,9,7.42,6.5,2.05,7.47,15.4,48.6,7.89,12.6,4.45,8.11,7.37,23.3,22,0.58
Chelsea,32,38,17.4,9.89,8.55,6.18,2.71,8.5,16.6,51.3,8.08,11.8,4.37,7.42,7.84,25.3,20.7,0.63
Crystal Palace,26,38,20.7,12.2,9.82,7.92,3,8.87,16,55.3,7.16,12,3.21,8.79,8.5,29.2,24.4,0.16
Everton,26,38,19.6,11.6,9.76,6.87,2.92,9.13,18.4,49.5,9.32,12.6,4.66,7.95,9.42,29,23.2,0.32
Fulham,25,38,17.9,10.1,8.92,6.84,2.11,9.11,17.8,51,8.74,11.5,3.08,8.42,9.76,27.6,19.6,0.37
Liverpool,30,38,17.8,11,7.21,7.63,2.97,8.97,20.2,44.4,11.2,12.5,2.84,9.66,7.68,25.5,15.3,0.5
Luton Town,28,38,17.2,9.68,8.68,6.21,2.32,7.87,16.2,48.5,8.34,13,4.82,8.16,8.55,25.8,24.1,0.55
Manchester City,25,38,13.6,8.03,4.82,5.82,2.97,5.84,12.1,48.5,6.21,9.29,1.97,7.32,6.13,19.7,12,0.45
Manchester Utd,31,38,17.8,10.8,8.79,6.32,2.68,9.18,18.8,48.8,9.63,14.1,5.45,8.61,8.24,26,23.3,0.32
Newcastle Utd,32,38,17.4,10.3,8.32,6.68,2.39,7.95,17.9,44.3,9.97,13.1,3.97,9.11,7.5,24.9,17.9,0.42
Nott'ham Forest,33,38,19.2,11.3,11.5,5.76,1.89,8.58,16,53.5,7.45,12.9,4.42,8.45,8.71,27.9,25.5,0.34
Sheffield Utd,35,38,18.7,10.7,9.87,6.53,2.26,7.87,16.7,47.1,8.84,13.5,4.74,8.79,9.16,27.8,27.4,0.47
Tottenham,29,38,19.1,11.9,8.82,6.95,3.29,9.47,18.2,52.1,8.71,11.7,3.47,8.24,9.34,28.4,18.6,0.63
West Ham,26,38,18,11.2,9.21,6.68,2.11,8.08,16,50.6,7.89,12.8,4.74,8.08,9.5,27.5,23.8,0.24
Wolves,27,38,19.4,11.3,10.9,6.5,2.03,8.21,16,51.4,7.76,13.3,4.55,8.76,7.47,26.9,21.8,0.42
