Squad,# Pl,90s,SCA,SCA90,sca_PassLive,sca_PassDead,sca_TO,sca_Sh,sca_Fld,sca_Def,GCA,GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def
Arsenal,26,38,27.5,27.5,20.4,2.05,1.53,1.92,1.13,0.47,3.95,3.95,3.18,0.16,0.13,0.34,0.08,0.05
Aston Villa,26,38,19.8,19.76,14.9,1.32,1.26,1,1.05,0.26,2.21,2.21,1.45,0.05,0.16,0.32,0.16,0.08
Bournemouth,31,38,16.2,16.21,11.7,1.18,1.39,1.13,0.63,0.18,1.68,1.68,1.16,0.13,0.11,0.21,0.05,0.03
Brentford,25,38,18.5,18.47,12.5,2.61,0.84,1.18,1.16,0.18,2.58,2.58,1.71,0.21,0.11,0.21,0.29,0.05
Brighton,29,38,28.3,28.29,21.6,1.92,2.13,1.66,0.71,0.32,3.03,3.03,2.18,0.08,0.34,0.24,0.16,0.03
Chelsea,32,38,22.6,22.61,17.6,1.74,1.11,1.11,0.82,0.29,1.79,1.79,1.5,0.08,0.05,0.05,0.11,0
Crystal Palace,26,38,19.6,19.63,13.1,1.76,1.47,1.29,1.55,0.47,1.76,1.76,1.13,0.16,0.16,0.16,0.11,0.05
Everton,28,38,19.3,19.34,13,2.21,1.03,1.42,1.18,0.53,1.55,1.55,1.08,0.13,0.13,0.05,0.11,0.05
Fulham,29,38,19.8,19.76,13.9,2.05,0.76,1.42,1.24,0.39,2.37,2.37,1.47,0.24,0.13,0.29,0.18,0.05
Leeds United,29,38,20.6,20.61,14.1,2.61,0.84,1.42,1.26,0.39,1.82,1.82,1.13,0.18,0.11,0.24,0.08,0.08
Leicester City,28,38,19.6,19.58,14.2,1.37,1.32,1.32,1,0.37,2.29,2.29,1.55,0.05,0.21,0.21,0.18,0.08
Liverpool,28,38,27.5,27.53,20.5,2.24,1.47,1.97,0.87,0.5,3.39,3.39,2.55,0.24,0.18,0.21,0.18,0.03
Manchester City,24,38,28.9,28.92,21.7,2.13,1.39,2,1.29,0.37,4.42,4.42,3.42,0.18,0.21,0.24,0.32,0.05
Manchester Utd,26,38,27.7,27.66,22.1,1.53,1.21,1.66,0.92,0.24,2.61,2.61,2.08,0.08,0.21,0.13,0.11,0
Newcastle Utd,27,38,26.5,26.53,18.2,2.89,1.63,2.03,1.5,0.32,2.79,2.79,1.68,0.16,0.39,0.26,0.16,0.13
Nott'ham Forest,33,38,15.6,15.61,10.9,1.55,0.82,1,0.95,0.34,1.42,1.42,0.82,0.13,0.11,0.29,0.08,0
Southampton,36,38,18.9,18.89,13,2.03,1.21,1.34,1,0.34,1.61,1.61,0.92,0.13,0.18,0.13,0.16,0.08
Tottenham,29,38,23.9,23.95,18.2,1.58,1.21,1.45,1,0.5,3.05,3.05,2.21,0.18,0.18,0.24,0.18,0.05
West Ham,25,38,21.5,21.5,15.4,2.13,1.05,1.58,0.92,0.39,1.76,1.76,1.08,0.16,0.16,0.21,0.16,0
Wolves,32,38,18.8,18.76,13.7,1.63,0.82,1.24,1.11,0.29,1.16,1.16,0.84,0.03,0.08,0.16,0.03,0.03
