Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,ck_In,ck_Out,ck_Str,Cmp,Off,Blocks
Arsenal,26,38,578.1,534,42.6,13.6,2.26,2.55,17.7,16.2,5.87,4.05,0.21,0.08,481.1,1.47,9.97
Aston Villa,26,38,457.8,409.1,47.2,15.8,1.42,2.66,14.8,18,4.26,2.55,0.5,0.11,362.7,1.53,8.55
Bournemouth,31,38,404.8,358.1,45.7,11.2,1.26,2.29,13.4,18.6,3.79,2.32,0.66,0.24,308.3,1,9
Brentford,25,38,409.2,362.3,45.1,11.9,1.39,2.82,17.4,19.4,4.29,2.18,0.89,0.32,297.8,1.89,7.97
Brighton,29,38,602.3,555.5,45,11.7,2.13,3.42,18.3,18.2,6.13,2.68,2.32,0.05,505.5,1.84,10.1
Chelsea,32,38,600.9,552.5,46.5,13.2,1.53,3.39,18.2,19,5.5,2.84,1.84,0.05,503.9,1.95,9.76
Crystal Palace,26,38,455.5,405.7,48.3,13.8,1.08,3.11,15.6,20.1,4.89,2.21,1.58,0.13,352.5,1.53,9.21
Everton,28,38,415.3,368,45.7,11.4,1.03,2.45,18.5,18.6,4.58,3.63,0.74,0,310.3,1.68,8.18
Fulham,29,38,474.1,424.6,47.8,12.4,0.53,4.13,20.2,20.9,4.79,1.84,1.82,0.05,367.7,1.58,10.3
Leeds United,29,38,445.4,393.5,50.3,12.7,1.08,2.29,17.2,22,5.24,2.45,1.79,0.11,327.3,1.58,10.9
Leicester City,28,38,496.6,448.7,45.8,12.2,2,2.45,13.1,19.1,3.55,1.84,1.08,0.16,391.8,2.18,10.3
Liverpool,28,38,641.1,591.2,47.7,10.9,2.71,5.21,21,22.6,6.18,1.47,4.08,0.03,527.4,2.21,10.1
Manchester City,24,38,701.1,659.1,40.6,11.6,2.47,4.66,19.5,16.2,6.26,1.89,2.29,0.29,612.2,1.34,9.21
Manchester Utd,26,38,540.1,495.4,42.6,8.55,2.76,4.34,13.6,18.8,5.16,1.87,1.24,0.11,436.9,2.08,11.1
Newcastle Utd,27,38,469.4,421.6,45.9,11.8,2.32,3.74,19.5,19.2,7.11,2.79,2.37,0.39,366.4,1.87,9.74
Nott'ham Forest,33,38,358.1,310.6,45.7,11.7,0.82,1.74,13.9,18.9,3.37,1.71,1.39,0.03,251.1,1.76,8.24
Southampton,36,38,431.3,383.8,46,11.2,1,2.29,16.1,19.8,4.13,1.66,1.71,0.05,324.2,1.5,9.87
Tottenham,29,38,517.7,472.4,43.6,10.6,1.95,4.34,18.9,17.5,5.34,2.97,1.34,0,420.3,1.76,10.9
West Ham,25,38,430.4,384.9,43.9,9.13,1.08,4.26,20.2,19,5.42,3.39,1.5,0.03,325.5,1.63,10.3
Wolves,32,38,481.4,436.2,43.6,11.3,1.29,3.92,17.4,17.4,4.87,1.61,2.26,0.05,383,1.63,9.34
