Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,goal_kick_att,goal_kick_launch%,goal_kick_avgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,1,38,1.13,0.08,0,0.16,0.03,1.05,0.28,-0.05,-0.05,2.87,11.3,25.4,24.3,4.58,36.6,33.3,4.87,49.2,42.8,10,0.58,5.8,1.13,1.13,16.1
Aston Villa,2,38,1.21,0.13,0.03,0.24,0.11,1.13,0.25,0.02,0.02,5.63,15.4,36.6,32.8,4.03,37,37.6,6.97,46.8,38.3,13.9,1.71,12.3,2,2,14.2
Bournemouth,2,38,1.87,0.16,0,0.42,0.08,1.67,0.29,-0.12,-0.11,6.08,15.6,39.1,22.3,5,44,31.9,9.29,61.8,44.1,19.4,1.05,5.4,0.79,0.79,10.5
Brentford,1,38,1.21,0.05,0.03,0.24,0.08,1.27,0.24,0.13,0.13,9.13,23.2,39.3,35.8,4.21,50.9,39.5,7.24,68.7,51,15.7,1.39,8.9,1.42,1.42,15.7
Brighton,2,38,1.39,0.16,0,0.16,0.16,1.12,0.27,-0.11,-0.11,2.47,7.34,33.7,28.1,3.97,21.4,28.9,6.5,20.6,23.2,9.34,0.71,7.6,0.84,0.84,12.3
Chelsea,2,38,1.24,0.03,0.03,0.21,0.08,1.24,0.3,0.08,0.08,2.5,7.63,32.8,28.6,5.21,18.2,27.6,6.53,37.1,31.9,12.1,0.63,5.2,1.66,1.66,13.7
Crystal Palace,3,38,1.29,0.11,0,0.21,0.08,1.18,0.26,-0.03,-0.03,4.03,11.7,34.3,24.5,4.97,33.7,32.3,7.18,48.7,37.6,14.2,0.76,5.4,1.05,1.05,13.1
Everton,2,38,1.5,0.13,0.05,0.11,0,1.59,0.3,0.09,0.09,7.21,21.4,33.7,26.6,4.11,57.7,34.9,8.55,70.8,52.4,15.5,0.61,3.9,1.37,1.37,5
Fulham,2,38,1.39,0.18,0.03,0.21,0.05,1.58,0.28,0.24,0.24,3.68,11.5,32,30.9,5.08,28.4,46,7.37,37.1,35,12.9,0.95,7.3,1.26,1.26,14
Leeds United,2,38,2.05,0.13,0.03,0.18,0.03,1.69,0.32,-0.34,-0.34,3.26,13.7,23.8,23.2,5.63,40.8,41.1,7.24,58.2,44.1,12.5,0.95,7.6,1.82,1.82,11.6
Leicester City,2,38,1.79,0.11,0.11,0.21,0.13,1.46,0.29,-0.2,-0.2,3.47,13.1,26.6,26.4,5.34,34.5,37.2,8.18,48.6,38.6,14.7,0.95,6.5,1.26,1.26,10.3
Liverpool,2,38,1.24,0.05,0,0,0.05,1.42,0.33,0.24,0.24,3.11,7.5,41.4,33.1,5.71,18.4,24.3,5.66,24.7,29.9,10.5,0.61,5.8,2.34,2.34,9
Manchester City,2,38,0.87,0.08,0.03,0.11,0.03,0.8,0.3,-0.04,-0.05,3.37,7.55,44.6,32.7,4.29,18.9,23.9,4.76,28.7,30.4,8.21,0.53,6.4,1.05,1.05,21.1
Manchester Utd,1,38,1.13,0.05,0.05,0.16,0.03,1.09,0.27,-0.02,-0.02,3.71,11.8,31.4,23.9,3.37,37,32.3,7.95,37.4,31.7,13.8,0.39,2.9,0.84,0.84,14.8
Newcastle Utd,2,38,0.87,0.05,0,0.21,0.05,0.87,0.24,0.06,0.06,3.32,9.95,33.3,18.8,6.47,32.2,20.7,6.05,64.3,48.5,11.6,0.92,7.9,1.95,1.95,12.4
Nott'ham Forest,3,38,1.79,0.16,0.05,0.24,0,1.58,0.3,-0.21,-0.21,6.24,18.7,33.3,25.2,4.87,51,43.2,8.89,66.3,47.5,16.3,0.92,5.6,1,1,17
Southampton,2,38,1.92,0.05,0.03,0.21,0.13,1.21,0.29,-0.58,-0.58,6.16,19.5,31.5,29.3,4.55,50.5,36.5,7.97,59.1,44.9,14.4,1.11,7.7,1.45,1.45,13.5
Tottenham,2,38,1.66,0.08,0.03,0.18,0.03,1.45,0.3,-0.18,-0.18,2.97,9,33,21.2,4.74,31,30.2,7.45,32.9,29.5,13.6,0.66,4.9,1.18,1.18,15.2
West Ham,2,38,1.45,0.11,0,0.11,0.03,1.4,0.29,-0.02,-0.02,5.58,14.6,38.3,18.8,4.39,54.7,33.4,7.95,53.6,40.8,14.7,0.82,5.5,0.68,0.68,10.3
Wolves,2,38,1.53,0.05,0,0.16,0.03,1.37,0.28,-0.13,-0.13,3.42,12.2,28,26.1,5.16,29.8,32.9,7.45,59.4,45.1,15.2,1.26,8.3,0.76,0.76,8
