Squad,# Pl,90s,total_Cmp,total_Att,total_Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,mid_Cmp,mid_Att,mid_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,26,38,481.1,578.1,83.2,8163.3,2648.3,224.8,249.4,90.1,205.9,232.1,88.7,38.3,67.1,57.1,1.68,1.41,1.23,0.28,11.7,43.1,12.1,1.63,53.9
Aston Villa,26,38,362.7,457.8,79.2,6423,2304.8,160.8,182.8,88,157.3,182.5,86.2,35.4,67.9,52.2,0.92,1.02,0.83,-0.1,8.37,25.4,7.05,2.11,32.7
Bournemouth,31,38,308.3,404.8,76.2,5439.6,2175.6,142.4,165.2,86.2,125,148.5,84.2,31.4,65.6,47.9,0.63,0.75,0.69,-0.12,6.87,22.4,6.24,1.97,26.5
Brentford,25,38,297.8,409.2,72.8,5525.3,2289.5,135.3,160.9,84.1,117.8,147.4,79.9,37.8,77.6,48.8,0.95,1.01,0.8,-0.06,7.47,24.3,7.34,2.29,29.8
Brighton,29,38,505.5,602.3,83.9,8414.1,2801.9,245.9,271.2,90.7,207.7,234.7,88.5,38.5,64.8,59.4,1.21,1.37,1.18,-0.16,12.6,38.4,10.3,2.05,48.7
Chelsea,32,38,503.9,600.9,83.8,8327.4,2755.7,250.3,276.2,90.6,202.6,229.2,88.4,38.4,65.8,58.5,0.71,1.02,0.93,-0.31,9.89,37.5,9.74,1.79,45.7
Crystal Palace,26,38,352.5,455.5,77.4,6283.7,2326,158,181.6,87,152.5,178.2,85.6,34.4,72.4,47.6,0.76,0.76,0.63,0,8.32,26.7,6.29,1.34,32.7
Everton,28,38,310.3,415.3,74.7,5633.1,2170.5,140.4,162.5,86.4,125.6,151.3,83,35.9,77.6,46.4,0.63,0.85,0.71,-0.22,8.11,25.4,5.89,1.76,27.7
Fulham,29,38,367.7,474.1,77.6,6727.1,2350.1,154.4,179.4,86.1,163.7,193,84.8,40.8,75.3,54.2,0.87,0.75,0.62,0.12,8.05,27.5,7.47,2.55,34.9
Leeds United,29,38,327.3,445.4,73.5,5436,2218.3,160.9,190.1,84.6,125.8,157.2,80.1,28.2,66.5,42.4,0.82,0.84,0.72,-0.02,8.87,28.6,7.11,1.84,37.6
Leicester City,28,38,391.8,496.6,78.9,6558.4,2343.6,190.7,216.3,88.1,160.2,188.6,85,30.7,63.7,48.1,0.95,1.01,0.69,-0.06,8.39,30.1,5.79,1.37,34.3
Liverpool,28,38,527.4,641.1,82.3,9287.6,3170.2,237.4,266.2,89.2,225.3,256.8,87.7,51.6,86.4,59.8,1.53,1.46,1.38,0.06,12.1,42.5,11.9,2.24,52.4
Manchester City,24,38,612.2,701.1,87.3,10433,3024.2,290,312.8,92.7,259.2,285.2,90.9,50.8,75,67.8,1.82,1.51,1.52,0.3,12.2,46.6,11.7,1.97,54.6
Manchester Utd,26,38,436.9,540.1,80.9,7279.6,2553.3,217.7,244.6,89,167.3,192.3,87,37.8,69.8,54.2,1.11,1.37,1.17,-0.27,12.6,33.4,10.5,1.5,42
Newcastle Utd,27,38,366.4,469.4,78.1,6481.5,2391.9,169.3,193.9,87.3,146.8,173.8,84.5,40.1,73,54.9,1.11,1.36,1.18,-0.26,11.4,28.5,10.6,1.68,42.6
Nott'ham Forest,33,38,251.1,358.1,70.1,4666.2,1912,106.5,130.3,81.7,107.1,134.9,79.4,31.2,71.3,43.8,0.58,0.69,0.54,-0.11,6.47,17.4,4.53,1.32,22.6
Southampton,36,38,324.2,431.3,75.2,5569.4,2100.4,157.2,182.2,86.2,127.1,153.2,82.9,30.8,69.1,44.6,0.66,0.74,0.68,-0.08,7.95,24.7,6.29,1.87,29.6
Tottenham,29,38,420.3,517.7,81.2,7304.4,2439.3,193,215.3,89.6,176.5,202.2,87.3,39.4,70.2,56.2,1.21,1.13,0.89,0.08,10.2,28.2,8.5,2.74,38.1
West Ham,25,38,325.5,430.4,75.6,5763.5,2218.3,154.8,178.4,86.8,125.9,153.4,82,36.4,72.4,50.2,0.66,0.86,0.71,-0.2,8.95,26.1,5.58,2.11,33.5
Wolves,32,38,383,481.4,79.6,6949.2,2297.6,167.1,189.3,88.3,165.9,191,86.9,41.4,76.1,54.5,0.32,0.67,0.55,-0.35,7.74,29.2,6.63,1.87,35.3
