Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np_G-xG
Arouca,31,34,1.5,13.5,4.62,34.2,13.5,4.62,0.1,0.31,19.5,0.47,0.09,0.21,1.4,1.25,0.09,0.1,0.16
Benfica,34,34,2.24,17.1,6.79,39.8,17.09,6.79,0.12,0.31,16.7,0.59,0.12,0.18,2.26,2.13,0.13,-0.03,-0.01
Boavista,23,34,1.09,9.82,3.12,31.7,9.82,3.12,0.1,0.31,18.4,0.32,0.12,0.15,1.06,0.95,0.1,0.03,0.02
Braga,25,34,2.06,16,5.94,37.1,16.03,5.94,0.12,0.32,16.9,0.44,0.15,0.18,1.87,1.76,0.11,0.19,0.16
Casa Pia,32,34,1.09,10.4,3.38,32.7,10.35,3.38,0.1,0.3,19.5,0.21,0.09,0.12,0.86,0.77,0.08,0.22,0.23
Chaves,31,34,0.88,11,3.26,29.7,11,3.26,0.07,0.23,19.2,0.44,0.15,0.18,1.01,0.87,0.08,-0.13,-0.13
Estoril,31,34,1.44,11.5,3.97,34.5,11.5,3.97,0.12,0.35,18.4,0.62,0.06,0.06,1.15,1.11,0.1,0.29,0.27
Estrela,34,34,0.85,10.9,3.09,28.5,10.85,3.09,0.08,0.27,17.6,0.38,0.03,0.03,1.14,1.11,0.11,-0.28,-0.29
Famalicão,27,34,1.09,13.1,3.47,26.5,13.12,3.47,0.08,0.29,18.7,0.71,0.09,0.15,1.05,0.94,0.07,0.04,0.06
Farense,25,34,1.35,11.4,4.18,36.5,11.44,4.18,0.11,0.29,19.1,0.53,0.15,0.21,1.3,1.15,0.1,0.05,0.06
Gil Vicente FC,31,34,1.24,10.3,3.76,36.5,10.32,3.76,0.1,0.28,18.1,0.21,0.18,0.24,1.19,1.01,0.1,0.04,0.05
Moreirense,29,34,1.03,11.6,3.24,28,11.56,3.24,0.09,0.31,19.4,0.35,0.03,0.09,0.96,0.9,0.08,0.06,0.1
Portimonense,31,34,1.15,11,3.47,31.5,11.03,3.47,0.09,0.29,19.7,0.65,0.15,0.18,1.04,0.9,0.08,0.11,0.1
Porto,32,34,1.82,16.6,5.21,31.4,16.56,5.21,0.1,0.32,16.9,0.56,0.15,0.24,1.9,1.71,0.11,-0.07,-0.03
Rio Ave,33,34,1.06,10.2,2.88,28.3,10.18,2.88,0.08,0.29,18.9,0.35,0.24,0.26,1.14,0.94,0.1,-0.08,-0.11
Sporting CP,29,34,2.74,16.3,6.21,38,16.32,6.21,0.16,0.42,15.9,0.38,0.15,0.15,2.13,2.04,0.13,0.6,0.55
Vitória,27,34,1.44,13.3,3.97,29.9,13.29,3.97,0.1,0.33,18.2,0.32,0.15,0.24,1.33,1.15,0.09,0.11,0.15
Vizela,31,34,1,12.4,3.94,31.9,12.35,3.94,0.08,0.24,18.4,0.44,0.06,0.12,1.19,1.1,0.09,-0.19,-0.16
