Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,goal_kick_att,goal_kick_launch%,goal_kick_avgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arouca,3,34,1.47,0.21,0.03,0.18,0.03,1.51,0.3,0.07,0.07,3.62,11.6,31.1,31.3,6.29,28,31.4,7.35,39.2,36.1,14.2,1.18,8.3,2.03,2.03,15.3
Benfica,3,34,0.82,0.12,0.03,0.12,0,1.04,0.26,0.22,0.22,1.91,5.09,37.6,18.8,4,17.6,29.2,7,25.6,29.2,10.6,0.53,5,0.62,0.62,14.5
Boavista,1,34,1.82,0.12,0.06,0.15,0.03,1.71,0.33,-0.08,-0.08,4.06,12.5,32.5,18.1,4.35,40.6,36.1,9.35,55,43.3,15.2,0.62,4.1,0.71,0.71,12
Braga,1,34,1.47,0.18,0.03,0.12,0.06,1.36,0.32,-0.05,-0.05,4.44,11.4,39.1,28.6,4.44,29,31.2,7.79,39.2,35.4,12.3,0.71,5.7,2.12,2.12,18.5
Casa Pia,2,34,1.47,0.03,0.03,0.21,0,1.4,0.3,-0.07,-0.07,4.56,14.3,32,24.4,3.88,34.8,34.2,9.59,60.1,45.8,16.5,1.03,6.2,0.65,0.65,11.8
Chaves,3,34,2.12,0.18,0.03,0.21,0,1.92,0.32,-0.2,-0.2,6.59,16.9,39,21,5,45.4,37.9,9.68,76,54.5,17.1,1.03,6,0.44,0.44,10.8
Estoril,2,34,1.71,0.06,0,0.32,0.09,1.55,0.3,-0.06,-0.07,2.79,9.88,28.3,20.8,5.35,29.5,29.6,9.68,38.6,37.5,14.2,0.44,3.1,1.12,1.12,20.3
Estrela,4,34,1.56,0.06,0,0.26,0.03,1.5,0.34,-0.03,-0.03,3.71,10.6,34.9,24.9,5.15,24.2,33,8.38,54.7,45.7,13.9,1.09,7.8,1.41,1.41,16.3
Famalicão,2,34,1.21,0.09,0.03,0.12,0.06,1.45,0.3,0.3,0.3,5.21,12.6,41.4,26.2,6.24,32.7,27.4,7.82,51.5,42.6,14,1.41,10.1,1.44,1.44,3.5
Farense,2,34,1.5,0.18,0,0.24,0.03,1.84,0.3,0.37,0.37,5.82,19,30.7,21.1,4.18,53.1,34,11.3,68.6,51.7,21.6,1.26,5.9,0.53,0.53,10.2
Gil Vicente FC,2,34,1.53,0.15,0.06,0.26,0.06,1.4,0.27,-0.07,-0.07,3.71,12,30.9,25.1,4.68,29.6,32.7,9.59,47.9,40.8,14.9,0.82,5.5,1.15,1.15,6.8
Moreirense,3,34,1.03,0.03,0,0.21,0.03,1.04,0.27,0.04,0.04,6.12,15.3,40.1,28.4,4.29,38.9,37.8,8.56,49.5,41.4,16.1,1.06,6.6,0.53,0.53,9
Portimonense,2,34,2.12,0.15,0,0.21,0.15,1.97,0.37,0,0,5.47,14.6,37.5,20.5,4.03,44,38.3,9.74,57.4,43.7,18,0.97,5.4,0.74,0.74,9.8
Porto,2,34,0.79,0.12,0.06,0.03,0.06,0.77,0.26,0.03,0.03,3.68,8.68,42.4,31.2,3.88,22.5,30.2,6.26,26.8,31.8,11,0.76,7,1.68,1.68,17.7
Rio Ave,3,34,1.26,0.06,0,0.18,0.03,1.38,0.29,0.15,0.15,3.68,10.8,34,27.3,5.38,25.9,29.8,8.41,44.8,40.8,15.5,1.09,7,0.94,0.94,16.1
Sporting CP,4,34,0.85,0.12,0.09,0.12,0,0.72,0.28,-0.14,-0.13,2.71,6.65,40.7,19.9,3.59,24.7,,6.03,28.8,29.3,9.41,0.71,7.5,0.53,0.53,
Vitória,2,34,1.12,0.15,0,0.09,0.03,1.34,0.32,0.25,0.25,5.53,12.9,42.9,21.4,3.32,39.8,36.1,7.59,57.8,42.9,13.8,0.79,5.8,1.15,1.15,14.7
Vizela,2,34,1.94,0.15,0.06,0.15,0.06,1.59,0.32,-0.29,-0.29,4.79,12.8,37.5,23.7,3.59,32.8,33.3,9.62,52,40,17.1,0.74,4.3,1.35,1.35,16
