Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerial_won,aerial_lost,aerial_won%
Arouca,31,34,2.44,0.18,0.06,13.5,11.7,1.62,15.4,7.71,9.97,0.12,0.26,0.03,47.4,11.2,11.2,50.1
Benfica,34,34,1.97,0.09,0.06,11.5,11.5,2.24,19.9,8.76,12.4,0.15,0.21,0,56.7,11.2,10.5,51.6
Boavista,23,34,3.09,0.24,0.18,14.6,13.3,2,20,8.03,10.1,0.12,0.18,0.03,47.1,13.1,12.6,51
Braga,25,34,2.35,0.12,0.06,12.1,11.3,1.82,22.1,9.12,9.21,0.09,0.21,0.06,49.6,13.6,13.4,50.3
Casa Pia,32,34,2.24,0.12,0.06,14.1,12,1.97,15.1,8.41,9.74,0.12,0.03,0,46.6,10,12.4,44.6
Chaves,31,34,3.03,0.26,0.15,13.4,14.6,1.68,19,8.65,8.29,0.12,0.24,0,45.1,14.2,14.4,49.5
Estoril,31,34,2.26,0.15,0,13.5,12.1,1.59,16.1,7.91,9.85,0,0.09,0.09,43.8,10.8,14.1,43.4
Estrela,34,34,2.24,0.21,0.09,12.3,12.3,2.38,18.6,8.26,11.2,0,0.12,0.03,49.6,15.5,14.4,51.8
Famalicão,27,34,3.06,0.26,0.09,15.1,16.2,2.26,20.5,8.79,10.6,0.12,0.24,0.06,45.5,16.2,13.2,55.1
Farense,25,34,2.32,0.18,0.09,13.9,12.1,1.71,18.9,9.76,9.35,0.12,0.21,0.03,44.5,17.7,19.2,47.9
Gil Vicente FC,31,34,2.21,0.09,0.06,11.9,14,1.97,13.9,8.91,10,0.21,0.21,0.06,48.9,12.9,12.5,50.8
Moreirense,29,34,2.21,0.09,0.06,14.4,13,1.79,16.9,9.35,10.1,0.09,0.03,0.03,47.5,13.8,15.4,47.2
Portimonense,31,34,2.76,0.15,0,14.3,11.6,2.03,17.5,10.5,12.1,0.09,0.18,0.15,49.2,13.2,16.1,44.9
Porto,32,34,2.79,0.29,0.12,14,15.6,2.09,20.9,6.32,9.06,0.21,0.18,0.06,46,14.9,13.4,52.8
Rio Ave,33,34,2.88,0.12,0.12,14.9,14.1,2.32,15.9,8.5,9.68,0.21,0.12,0.03,45,14.2,13.9,50.5
Sporting CP,29,34,2.35,0.09,0.06,11.6,12.2,1.97,20.3,6.35,10.4,0.09,0.12,0,49.3,11.4,9.62,54.1
Vitória,27,34,2.76,0.09,0,14.2,12.2,2.35,21.2,8.15,9.41,0.21,0.18,0.03,49.5,18.4,15.4,54.5
Vizela,31,34,2.41,0.15,0.09,14.8,13.8,1.59,20.3,7.82,9.18,0.12,0.18,0.06,46.4,14.9,15.4,49.3
