Squad,# Pl,90s,total_Cmp,total_Att,total_Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,mid_Cmp,mid_Att,mid_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arouca,31,34,409.1,510.2,80.2,7476.7,2652.6,170,190.8,89.1,185.9,213.5,87.1,45.2,81.4,55.5,1.12,0.94,0.81,0.17,9.76,30.6,6.38,1.65,38.7
Benfica,34,34,507.2,605.6,83.8,8521.8,2977.5,249.2,275.3,90.5,201.5,228.8,88.1,44,70.5,62.4,1.74,1.74,1.72,0,13.4,44.4,12.5,2.21,55.3
Boavista,23,34,345.5,445.9,77.5,6482.4,2358.5,143,163,87.8,152.5,178.1,85.6,42.3,82.7,51.2,0.53,0.73,0.67,-0.2,7.12,24.7,5.74,2.44,29.6
Braga,25,34,452.2,553.4,81.7,8260.4,2948.3,187.7,209.6,89.5,203.5,229.4,88.7,49.9,87.2,57.2,1.44,1.41,1.29,0.03,12.4,38,11.2,3.29,49.4
Casa Pia,32,34,319.9,414.5,77.2,5836.4,2331.5,139.7,159.5,87.6,139.3,163.3,85.3,34.8,71,49,0.79,0.57,0.64,0.22,7.53,25.8,4.85,1.62,29
Chaves,31,34,295.7,394.7,74.9,5640.6,2276.6,123.3,143.4,86,124,149,83.2,40.9,79.9,51.1,0.53,0.66,0.66,-0.13,7.88,22.6,4.62,2.18,27.2
Estoril,31,34,357.1,452,79,6710.5,2414,142.8,163.7,87.2,165.5,191.4,86.5,41.4,75.1,55.1,0.79,0.78,0.76,0.01,8.26,25.7,5.97,1.5,31.2
Estrela,34,34,325.3,433.8,75,6201.5,2475,130.4,155.3,84,148.6,177.6,83.7,40.3,78.9,51.1,0.53,0.87,0.8,-0.34,8.26,22.9,6.44,1.97,31.1
Famalicão,27,34,330.5,424.3,77.9,6726.9,2535.7,119.3,138.8,85.9,150.9,175.5,86,54.1,89,60.8,0.68,0.71,0.71,-0.04,9.29,24.2,6.09,3.15,28.7
Farense,25,34,276.1,385.1,71.7,5622.5,2229.8,97.9,118.4,82.7,130.1,158.1,82.3,43.1,88.5,48.7,0.76,0.81,0.66,-0.05,7.65,22.6,5.44,2.12,27.8
Gil Vicente FC,31,34,368.4,472.5,78,6732.4,2419.5,150.4,174.3,86.3,170.8,200.2,85.3,38.6,73.1,52.8,0.82,0.75,0.79,0.08,7.97,24.1,6.15,1.09,33.6
Moreirense,29,34,341.4,438.6,77.8,6407.6,2440.9,139.3,160.6,86.8,155.7,180.5,86.2,39.7,76.4,52,0.88,0.75,0.64,0.13,8.74,24,5.71,2.12,31
Portimonense,31,34,305.6,407.5,75,5780.2,2274.8,124.3,145.5,85.4,135.1,161.2,83.8,37.9,76.8,49.4,0.88,0.7,0.6,0.18,8.03,23,5.24,2.18,28.7
Porto,32,34,476.7,572,83.3,8636.7,2870.6,200.8,225.6,89,219.7,244.8,89.8,48,76.5,62.8,1.35,1.38,1.7,-0.02,12.6,41.9,12,2.79,55
Rio Ave,33,34,361.9,460.7,78.6,6753.5,2455.2,144.9,167.8,86.4,166.6,193.1,86.2,42.6,76,56.1,0.65,0.75,0.71,-0.1,7.35,23.5,6.44,2.18,31.9
Sporting CP,29,34,481.1,572.1,84.1,8096.9,2860.2,232.5,254.4,91.4,202.1,229.1,88.2,36.4,62.8,58.1,1.97,1.63,1.55,0.34,12.7,43.6,11,2.62,49.1
Vitória,27,34,332.9,442.1,75.3,6093.3,2526.4,144.1,169.3,85.1,141.1,172.7,81.7,38.9,74.4,52.3,1.03,0.95,0.96,0.08,9.88,29.5,8.5,2.59,40
Vizela,31,34,354.4,453.1,78.2,6182.4,2528.8,167,188.5,88.6,140.6,166.4,84.5,36.7,71.9,51,0.74,0.85,0.88,-0.11,9.32,29.2,7.38,2.74,36.6
