Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,take_on_Att,take_on_Succ,take_on_Succ%,take_on_Tkld,take_on_Tkld%,Carries,carries_TotDist,carries_PrgDist,carries_PrgC,carries_1/3,carries_CPA,carries_Mis,carries_Dis,Rec,PrgR
Arouca,31,53.7,34,614.9,66.5,213.2,281.1,125.8,16.4,614.6,14.9,7.15,47.8,6.62,44.3,320.7,1616.6,822.2,13.9,10.4,3.09,14.1,7.5,406,38.4
Benfica,34,59.1,34,718.6,54.3,183.6,330.9,211.7,31.9,718.4,22.7,10.9,47.7,10.4,45.5,401.7,2242.6,1193.5,23.7,17.9,7.09,16,9.12,503.6,54.9
Boavista,23,48.2,34,551.2,59.9,200.7,250.4,104.7,14.6,551.1,15.3,6.56,42.9,7.65,50,281.8,1430.3,687.8,12.1,8.56,2.12,15.6,7.41,342.7,29.4
Braga,25,56.8,34,665,58,192.7,302.7,174.5,28,664.8,17.2,8.03,46.6,7.79,45.2,372.6,1827.4,920.8,17.7,13.1,4.38,15.9,7.94,448.8,48.9
Casa Pia,32,43.8,34,523.3,66.8,199,225.2,104.6,14.1,523.1,18.2,8.26,45.4,8.24,45.2,266.2,1490,730.3,13.9,9,3.09,17.6,7.97,317.1,28.6
Chaves,31,43.8,34,501.4,61.1,181.6,224.7,100.9,13.7,501.2,15.7,7.47,47.6,7,44.6,247.1,1355,673.8,12.2,8.79,1.97,15.6,7.79,293,27
Estoril,31,48.7,34,562.8,61.6,197.4,255.2,116,18.6,562.8,20.3,9.21,45.3,9.79,48.2,310.4,1716.6,896.4,16.8,13.1,3.68,15.5,8.44,354.4,30.9
Estrela,34,47,34,546.9,62.2,207.4,235.7,110,17.9,546.9,17.4,7.71,44.4,8.41,48.5,267.2,1357.9,656.5,11.9,8.35,3.32,16.7,7.91,322.7,30.8
Famalicão,27,47.1,34,538,65.7,218.6,216.4,109.3,17.6,537.8,20.3,10.1,49.6,8.03,39.6,292.3,1592.6,774.6,14.9,10.5,3.15,16,8.21,327.7,28.5
Farense,25,42.4,34,504,76.3,201.4,207.2,99.7,14.9,503.8,13.4,6.15,46,6.26,46.9,228.4,1247.2,613,11.9,8.15,2.85,13.8,5.5,273.7,27.4
Gil Vicente FC,31,49.3,34,579.9,66.1,209.6,255,120.9,17.6,579.7,17.3,8.26,47.7,7.29,42.1,307.9,1628.6,841.5,16.6,11,3.47,14.4,9.91,365.6,33.5
Moreirense,29,46.2,34,551.6,66.9,202.8,244.4,109.9,15.9,551.5,16.5,7.71,46.7,7.56,45.8,288.1,1479.1,765.8,14.8,10.4,3.47,16.4,7.74,339.1,30.8
Portimonense,31,44.7,34,529.1,66.1,196.8,233,105.9,13.9,528.9,17.9,8.15,45.4,8.21,45.7,269.9,1538.9,756.8,15.2,10.4,2.85,17.1,7.76,302.9,28.5
Porto,32,63.1,34,676.1,50.8,170.1,316.2,195.1,34.9,675.9,21.4,10.4,48.4,9.21,42.9,385.2,2127.7,1156.9,24.1,15.4,7.09,15.2,7.47,473.4,54.6
Rio Ave,33,48.7,34,574.3,66.4,214.4,257.7,107.9,16.1,574.1,17,6.65,39.1,8.76,51.6,296.1,1502.6,748.6,13.3,9.62,2.44,16.4,7.29,358.8,31.6
Sporting CP,29,59.1,34,671.8,46.3,162.9,333.5,180.7,31.9,671.6,20.1,8.74,43.5,9.5,47.4,430.2,2084.3,1094.7,21.1,14.4,7.74,14.2,7.5,475.6,48.4
Vitória,27,48.6,34,551.9,50,155.8,257.7,143.4,21,551.7,14.9,6.44,43.3,7.47,50.2,277.5,1415.2,689.2,13.7,10.3,2.85,15.8,6.56,329.9,39.8
