Squad,# Pl,90s,SCA,SCA90,sca_PassLive,sca_PassDead,sca_TO,sca_Sh,sca_Fld,sca_Def,GCA,GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def
Arouca,31,34,23.3,23.32,17.3,1.65,1.44,1.44,1.09,0.38,2.44,2.44,1.71,0.15,0.24,0.26,0.09,0
Benfica,34,34,30.8,30.76,22.9,1.97,2.24,1.88,1.21,0.59,3.88,3.88,2.79,0.24,0.24,0.38,0.15,0.09
Boavista,23,34,17.4,17.44,12.5,2,0.62,1.21,0.82,0.26,1.85,1.85,1.15,0.15,0.09,0.26,0.18,0.03
Braga,25,34,29.2,29.18,21.4,2.79,1.71,1.62,1.32,0.35,3.5,3.5,2.35,0.21,0.21,0.41,0.26,0.06
Casa Pia,32,34,18,18.03,12.8,1.71,1.15,1.06,0.97,0.38,2.06,2.06,1.41,0.09,0.26,0.09,0.12,0.09
Chaves,31,34,18.9,18.85,12.6,2.59,0.94,1.18,1.35,0.21,1.35,1.35,0.88,0.15,0,0.15,0.15,0.03
Estoril,31,34,19.9,19.85,13.8,1.91,1.56,1.26,0.94,0.38,2.5,2.5,1.82,0.06,0.26,0.21,0.09,0.06
Estrela,34,34,18.6,18.56,12.8,2.18,1.06,1.29,0.91,0.35,1.47,1.47,1.09,0.09,0.06,0.12,0.09,0.03
Famalicão,27,34,22.6,22.65,14.7,2.56,1.44,1.71,1.59,0.65,1.88,1.88,1.32,0.18,0.12,0.12,0.12,0.03
Farense,25,34,19,18.97,12.9,1.91,1.15,1.21,1.44,0.41,2.21,2.21,1.26,0.21,0.21,0.32,0.21,0
Gil Vicente FC,31,34,18.5,18.5,13.3,1.97,0.97,0.91,1.09,0.29,2.06,2.06,1.35,0.21,0.12,0.18,0.18,0.03
Moreirense,29,34,19.8,19.82,14.4,1.53,1.26,1.12,1.15,0.41,1.82,1.82,1.41,0.09,0.12,0.09,0.09,0.03
Portimonense,31,34,19.1,19.06,13.5,1.88,0.97,1.21,1.03,0.47,2,2,1.5,0.15,0.03,0.15,0.15,0.03
Porto,32,34,30.2,30.18,23.1,2.21,1.53,1.68,1.59,0.12,3.24,3.24,2.35,0.15,0.21,0.26,0.26,0
Rio Ave,33,34,17.7,17.68,12.1,1.79,0.82,1.21,1.35,0.44,1.85,1.85,1.18,0.06,0.09,0.29,0.21,0.03
Sporting CP,29,34,29,28.97,21.1,2.53,2.09,1.68,1.15,0.44,4.68,4.68,3.53,0.21,0.41,0.29,0.15,0.09
Vitória,27,34,23.1,23.12,16.1,2.71,1.15,1.38,1.35,0.41,2.5,2.5,1.59,0.21,0.15,0.26,0.24,0.06
Vizela,31,34,21.9,21.94,15.9,2.47,0.91,1.24,1.12,0.26,1.71,1.71,1.26,0.09,0.06,0.24,0.06,0
