Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
Arouca,31,26.2,53.7,34,374,"3,060",34,1.5,1.12,2.62,1.41,0.09,0.21,2.44,0.18,1.4,1.25,0.94,2.19,13.9,38.7
Benfica,34,26,59.1,34,374,"3,060",34,2.24,1.74,3.97,2.12,0.12,0.18,1.97,0.09,2.26,2.13,1.74,3.86,23.7,55.3
Boavista,23,26,48.2,34,374,"3,060",34,1.09,0.53,1.62,0.97,0.12,0.15,3.09,0.24,1.06,0.95,0.73,1.68,12.1,29.6
Braga,25,27.9,56.8,34,374,"3,060",34,2.06,1.44,3.5,1.91,0.15,0.18,2.35,0.12,1.87,1.76,1.41,3.17,17.7,49.4
Casa Pia,32,27.6,43.8,34,374,"3,060",34,1.09,0.79,1.88,1,0.09,0.12,2.24,0.12,0.86,0.77,0.57,1.34,13.9,29
Chaves,31,27.1,43.8,34,374,"3,060",34,0.88,0.53,1.41,0.74,0.15,0.18,3.03,0.26,1.01,0.87,0.66,1.53,12.2,27.2
Estoril,31,24.3,48.7,34,374,"3,060",34,1.44,0.79,2.24,1.38,0.06,0.06,2.26,0.15,1.15,1.11,0.78,1.89,16.8,31.2
Estrela,34,27.2,47,34,374,"3,060",34,0.85,0.53,1.38,0.82,0.03,0.03,2.24,0.21,1.14,1.11,0.87,1.99,11.9,31.1
Famalicão,27,23.4,47.1,34,374,"3,060",34,1.09,0.68,1.76,1,0.09,0.15,3.06,0.26,1.05,0.94,0.71,1.65,14.9,28.7
Farense,25,28.3,42.4,34,374,"3,060",34,1.35,0.76,2.12,1.21,0.15,0.21,2.32,0.18,1.3,1.15,0.81,1.96,11.9,27.8
Gil Vicente FC,31,25.3,49.3,34,374,"3,060",34,1.24,0.82,2.06,1.06,0.18,0.24,2.21,0.09,1.19,1.01,0.75,1.76,16.6,33.6
Moreirense,29,26.2,46.2,34,374,"3,060",34,1.03,0.88,1.91,1,0.03,0.09,2.21,0.09,0.96,0.9,0.75,1.65,14.8,31
Portimonense,31,25,44.7,34,374,"3,060",34,1.15,0.88,2.03,1,0.15,0.18,2.76,0.15,1.04,0.9,0.7,1.6,15.2,28.7
Porto,32,25.9,63.1,34,374,"3,060",34,1.82,1.35,3.18,1.68,0.15,0.24,2.79,0.29,1.9,1.71,1.38,3.08,24.1,55
Rio Ave,33,27.5,48.7,34,374,"3,060",34,1.06,0.65,1.71,0.82,0.24,0.26,2.88,0.12,1.14,0.94,0.75,1.69,13.3,31.9
Sporting CP,29,26.2,59.1,34,374,"3,060",34,2.74,1.97,4.71,2.59,0.15,0.15,2.35,0.09,2.13,2.04,1.63,3.67,21.1,49.1
Vitória,27,26.1,48.6,34,374,"3,060",34,1.44,1.03,2.47,1.29,0.15,0.24,2.76,0.09,1.33,1.15,0.95,2.1,13.7,40
Vizela,31,24.9,49.6,34,374,"3,060",34,1,0.74,1.74,0.94,0.06,0.12,2.41,0.15,1.19,1.1,0.85,1.95,13.6,36.6
