Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Max Aarons,eng ENG,DF,Bournemouth,24,2000,3,86,29,2.5,1,1,61,0,2,13,11,0.67,2,0,2,2.09,1.82,2.3,0.3,2,2.12,1.75
Zach Abbott,eng ENG,DF,Nott'ham Forest,18,2006,0,,,,,0,,0,0,,7,,,,,,,,,,,
Joshua Acheampong,eng ENG,DF,Chelsea,18,2006,4,170,43,5,1.9,2,80,1,2,5,19,2,1.05,1.58,-0.53,-0.53,-1.14,1.89,1.11,0.79,0.82,0.29
Tyler Adams,us USA,MF,Bournemouth,25,1999,28,1965,70,57.5,21.8,21,85,15,7,26,1,1.46,1.88,1.38,0.5,0.5,0.44,1.63,1.33,0.3,0.3,-0.25
Tosin Adarabioyo,eng ENG,DF,Chelsea,26,1997,22,1409,64,41.2,15.7,15,84,13,7,20,16,1.86,1.78,0.89,0.89,0.89,0.58,1.96,1.23,0.73,0.74,0.34
Simon Adingra,ci CIV,"FW,MF",Brighton,22,2002,29,1097,38,32.1,12.2,12,66,1,17,18,6,1.59,1.48,1.89,-0.41,-0.41,-0.88,1.49,1.56,-0.07,-0.07,-0.27
Daniel Adu-Adjei,eng ENG,FW,Bournemouth,19,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,
Emmanuel Agbadou,ci CIV,DF,Wolves,27,1997,16,1410,88,41.2,15.7,16,88,15,0,,0,1.44,1.27,1.4,-0.13,-0.13,0.45,1.22,1.45,-0.23,-0.23,0.25
Asher Agbinone,eng ENG,MF,Crystal Palace,18,2005,2,6,3,0.2,0.1,0,,0,2,3,10,0,0,0,0,0,0,1,0,1,1.71,1.42
Naouirou Ahamada,fr FRA,MF,Crystal Palace,22,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ola Aina,ng NGA,DF,Nott'ham Forest,27,1996,35,2995,86,87.6,33.3,35,86,28,0,,0,1.77,1.65,1.17,0.48,0.48,1.33,1.24,1.18,0.06,0.06,1.18
Rayan Aït-Nouri,dz ALG,DF,Wolves,23,2001,37,3109,84,90.9,34.5,37,84,18,0,,0,1.05,1.33,1.94,-0.61,-0.61,-2.34,1.12,1.52,-0.4,-0.4,-0.25
Oyindamola Ajayi,eng ENG,MF,Tottenham,18,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,
Kristoffer Ajer,no NOR,DF,Brentford,26,1998,24,1438,60,42,16,17,79,5,7,14,2,1.33,1.25,1.56,-0.31,-0.31,-0.95,1.3,1.34,-0.04,-0.04,-0.23
Manuel Akanji,ch SUI,DF,Manchester City,29,1995,26,2014,77,58.9,22.4,23,86,20,3,12,2,2.04,2.05,1.25,0.8,0.8,0.16,1.95,1.3,0.65,0.65,0.28
Nathan Aké,nl NED,DF,Manchester City,29,1995,10,678,68,19.8,7.5,8,79,2,2,24,9,1.4,1.47,1.47,0,0,-0.92,1.68,1.8,-0.12,-0.12,-0.82
Matai Akinmboni,us USA,DF,Bournemouth,17,2006,0,,,,,0,,0,0,,8,,,,,,,,,,,
Carlos Alcaraz,ar ARG,MF,Southampton,21,2002,1,10,10,0.3,0.1,0,,0,1,10,0,0,0,0,0,0,1.58,3,0,3,2.92,4.31
Carlos Alcaraz,ar ARG,"FW,MF",Everton,21,2002,15,764,51,22.3,8.5,7,84,2,8,22,0,1.47,1.41,1.06,0.35,0.35,0.52,0.96,1.29,-0.34,-0.34,-0.28
Trent Alexander-Arnold,eng ENG,DF,Liverpool,25,1998,33,2365,72,69.2,26.3,28,79,12,5,29,1,2.27,2.55,0.95,1.6,1.6,1.34,2.23,0.83,1.4,1.4,0.84
Alisson,br BRA,GK,Liverpool,31,1992,28,2508,90,73.3,27.9,28,90,27,0,,0,2.18,2.29,1.04,1.25,1.26,0.27,2.23,0.98,1.25,1.25,0.39
Max Alleyne,eng ENG,DF,Manchester City,19,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
Miguel Almirón,py PAR,FW,Newcastle Utd,30,1994,9,157,17,4.6,1.7,1,67,0,8,11,14,1.56,0.59,1.76,-1.18,-1.15,-1.78,1.65,2.12,-0.47,-0.47,-1
Olabade Aluko,,DF,Leicester City,,,1,2,2,0.1,0,0,,0,1,2,1,0,0,0,0,0,1.24,0,0,0,-2.09,-1.06
Edson Álvarez,mx MEX,MF,West Ham,26,1997,28,1772,63,51.8,19.7,20,76,4,8,32,2,1.25,0.96,1.47,-0.51,-0.51,-0.18,1.19,1.51,-0.31,-0.32,0.04
Will Alves,eng ENG,FW,Leicester City,19,2005,1,1,1,0,0,0,,0,1,1,2,0,0,0,0,0,1.24,0,0,0,2.92,3.96
