Rk,Squad,Number of players,Annual Wages,Estimated
1,Manchester City,67,"£ 201,864,000 (€ 239,198,665, $270,992,872)",55%
2,Manchester Utd,67,"£ 180,848,000 (€ 214,295,768, $242,779,887)",33%
3,Chelsea,79,"£ 172,120,000 (€ 203,953,524, $231,062,958)",61%
4,Arsenal,52,"£ 169,416,000 (€ 200,749,422, $227,432,965)",31%
5,Liverpool,64,"£ 128,804,000 (€ 152,626,250, $172,913,278)",56%
6,Aston Villa,74,"£ 107,536,000 (€ 127,424,741, $144,361,995)",74%
7,Tottenham,71,"£ 104,286,000 (€ 123,573,652, $139,999,027)",61%
8,Newcastle Utd,67,"£ 103,272,000 (€ 122,372,117, $138,637,776)",60%
9,West Ham,59,"£ 90,220,000 (€ 106,906,152, $121,116,085)",56%
10,Everton,57,"£ 71,422,000 (€ 84,631,468, $95,880,658)",73%
11,Crystal Palace,66,"£ 69,810,000 (€ 82,721,332, $93,716,625)",86%
12,Fulham,53,"£ 68,406,000 (€ 81,057,662, $91,831,819)",78%
13,Leicester City,62,"£ 65,416,000 (€ 77,514,660, $87,817,887)",75%
14,Nott'ham Forest,65,"£ 63,492,000 (€ 75,234,815, $85,235,009)",92%
15,Brighton,79,"£ 61,958,000 (€ 73,417,107, $83,175,683)",87%
16,Southampton,72,"£ 56,030,000 (€ 66,392,729, $75,217,626)",88%
17,Bournemouth,60,"£ 54,704,000 (€ 64,821,482, $73,437,533)",83%
18,Wolves,76,"£ 54,262,000 (€ 64,297,734, $72,844,168)",85%
19,Brentford,64,"£ 41,470,000 (€ 49,139,858, $55,671,515)",97%
20,Ipswich Town,62,"£ 34,216,000 (€ 40,544,233, $45,933,362)",97%
