Squad,# Pl,Poss,90s,Touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,take_on_Att,take_on_Succ,take_on_Succ%,take_on_Tkld,take_on_Tkld%,Carries,carries_TotDist,carries_PrgDist,carries_PrgC,carries_1/3,carries_CPA,carries_Mis,carries_Dis,Rec,PrgR
Arsenal,25,56.9,38,633.1,48.5,159.6,272.7,205.5,33.7,633,19.1,8.42,44.1,8.32,43.5,374.6,1988,1059.1,22.4,14.2,7.53,12.7,10.1,444.6,47.4
Aston Villa,28,50.5,38,571,69.6,192.1,243.6,141.1,25,570.9,19.1,8.61,45,7.87,41.2,324.6,1813.3,953.7,18.9,11.8,5.58,13.4,10.2,379.6,35
Bournemouth,29,48.5,38,568.9,58.3,169.6,245.1,161.3,26.4,568.7,17.7,7.74,43.8,7.89,44.6,308.8,1816.6,966,19.8,14.1,6,15.7,9.21,338.3,38.8
Brentford,28,47.9,38,565.6,86.4,219.2,212,139.7,26,565.4,16.5,6.97,42.3,7.71,46.7,300.3,1629.9,833.2,15.7,10,5.61,14.4,7.89,346.1,35.2
Brighton,32,52.3,38,623.1,68.4,197.4,270.8,161.9,28.6,622.9,21,8.89,42.4,10.1,47.9,366.3,2023.2,1098.6,21.5,15.2,6.92,15.3,9.05,411.5,40.1
Chelsea,29,57.1,38,663.6,63.4,199.1,299.3,171,29.3,663.5,20.6,8.58,41.6,8.84,42.9,381.6,2060.9,1089.3,22.7,13,8.34,12.3,7.82,470.7,41.5
Crystal Palace,29,42.8,38,536.6,67.6,202.3,222.2,117.2,20.9,536.4,13.2,5.5,41.8,6.34,48.2,270.4,1365.4,665.9,13.4,9.32,3.32,12.9,8.92,310.1,30
Everton,26,40.9,38,510.7,64.8,182.4,208.6,125.3,19.3,510.7,16.7,7.45,44.5,8.03,48,250.9,1343.1,668.8,12.8,9.58,3.13,13.8,10.3,297.6,26.9
Fulham,26,52.3,38,629.6,69.5,213,257.6,165.4,25.1,629.5,16.8,7.58,45.2,6.68,39.9,369.1,1940.1,1011.6,20.7,14.3,5.61,13.6,7.39,422.2,40.6
Ipswich Town,32,40.6,38,502.4,79.3,204.3,197.5,106.1,15.9,502.3,16.9,7.29,43.1,7.63,45.1,246.9,1398.1,688,13.5,8.68,3.95,14.2,9.13,300.1,24.2
Leicester City,32,45.4,38,572.3,75.8,212.3,259.1,106.5,16.6,572.2,16.8,6.95,41.4,8,47.6,323.1,1625.8,800.6,15.2,9.61,3.76,13.2,8.84,363.9,28.2
Liverpool,24,57.7,38,681.7,63.7,191.7,304.6,191.4,34.6,681.4,17.8,7.92,44.5,8.16,45.8,393,2004,1080.6,21.7,14.7,8.5,14,9.21,476.7,50.3
Manchester City,30,61.3,38,739.6,55.1,171.1,317.8,256.7,35.5,739.4,21,9.92,47.2,7.92,37.7,475.7,2730.1,1478,30.2,22.7,10.6,12.5,10.4,559,50.5
Manchester Utd,31,53.5,38,650.9,67.2,226.1,275.3,155.5,25.4,650.8,16.3,6.63,40.6,8.5,52,397.8,1973.9,999.8,18.3,12.5,6.05,13.7,9.29,438.7,37.7
Newcastle Utd,24,51.3,38,606.1,60.1,196.5,254.5,161.2,28.5,605.9,17.3,7.42,42.9,7.84,45.4,342.5,1869,949.1,20,12.5,6.92,12.9,11.5,402.5,41.7
Nott'ham Forest,23,41.2,38,499.9,64.8,170.4,202.3,133.2,20.7,499.8,15.3,6.82,44.6,6.13,40.1,230.7,1311.2,699,16.7,10.1,4.92,14.8,8.53,282.4,29.4
Southampton,36,48.5,38,599.4,79,221.7,257.6,125.4,18.1,599.3,19.4,8.21,42.4,8.76,45.2,333.1,1761.7,902.3,16.8,12.1,4.34,12.8,9.34,405.1,29.4
Tottenham,31,54.7,38,639.9,69.1,214.7,267.7,163.8,26.3,639.8,21.4,8.11,37.9,11.2,52.3,396.7,2181.7,1098.9,22.1,14.9,6.55,14.2,11.2,430.9,41.6
West Ham,27,48.4,38,602.3,77.4,219.8,259.3,128.8,22.1,602.2,20.9,9.13,43.8,9.47,45.4,310.4,1564.2,781.2,16.6,10.4,4.61,12.9,10.3,387.2,31.9
Wolves,32,48.1,38,587.6,67.8,205.2,264.5,125,19.2,587.6,19.2,8.53,44.3,8.29,43.1,328.6,1762.5,904.3,16,12.1,3.84,15.6,9.71,377.8,31
