Squad,# Pl,90s,Tkl,TklW,def_3rd,mid_3rd,att_3rd,dribb_Tkl,dribb_Att,dribb_Tkl%,dribb_Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,25,38,15.7,9.16,5.79,6.55,3.39,6.84,13.6,50.5,6.71,8.63,2.79,5.84,5.92,21.7,17.9,0.87
Aston Villa,28,38,16.8,9.79,7.71,6.55,2.5,8.16,14.4,56.8,6.21,8.66,2.82,5.84,6.32,23.1,20.7,1.13
Bournemouth,29,38,18.2,10.5,7.63,7.87,2.68,7.92,16.5,48,8.58,12.1,3.58,8.5,9.24,27.4,26.7,0.58
Brentford,28,38,16.7,10,7.61,5.87,3.18,8.26,15.7,52.7,7.42,12.6,5.24,7.39,7.5,24.2,27.4,0.74
Brighton,32,38,18.6,11.3,7.55,7.82,3.18,9.21,18.5,49.8,9.29,11.6,3.21,8.34,8.29,26.8,20.1,0.76
Chelsea,29,38,15.5,9.76,6.39,6.42,2.66,7.18,14.1,50.9,6.92,9.37,2.71,6.66,7.16,22.6,18.3,1.18
Crystal Palace,29,38,20.2,11.8,9.84,7.89,2.45,8.53,16.9,50.4,8.39,12.8,3.79,8.97,8.79,29,28.6,0.5
Everton,26,38,19.3,11.4,9.63,7.08,2.55,8.89,17.3,51.5,8.37,10.3,3.63,6.68,9.08,28.3,28.6,0.66
Fulham,26,38,17.9,10.8,8.61,6.82,2.45,7.61,14.9,51.2,7.26,10.1,2.97,7.08,7.95,25.8,24.1,0.87
Ipswich Town,32,38,15.5,8.95,7.74,5.63,2.13,7.39,15.9,46.5,8.5,11.5,4.87,6.61,7.97,23.5,29,1.03
Leicester City,32,38,19.2,11.3,9.5,7.32,2.34,8.84,18.3,48.3,9.45,13.3,5.21,8.08,8.61,27.8,26,0.82
Liverpool,24,38,16.9,10.3,7.13,7.03,2.74,8.95,17.3,51.8,8.32,9.66,2.55,7.11,7.87,24.8,19.1,0.82
Manchester City,30,38,13.1,7.87,4.82,5.68,2.58,5.63,11.8,47.7,6.18,8.71,2.34,6.37,6.03,19.1,16.3,0.92
Manchester Utd,31,38,21.5,13,10.4,8.03,3.11,10.5,19,55.3,8.5,10.2,2.82,7.34,9.42,30.9,20,0.68
Newcastle Utd,24,38,15.9,9.76,7.24,6.18,2.45,8.05,15.9,50.7,7.84,10.8,3.71,7.11,7.11,23,23.3,0.89
Nott'ham Forest,23,38,18.4,11,10.7,5.92,1.76,9.03,17.6,51.2,8.61,11.2,4.13,7.11,8.47,26.8,32.1,0.63
Southampton,36,38,17.2,9.95,8.16,7,2,7.37,15.4,47.9,8,11.4,5.29,6.11,8.03,25.2,26,1.34
Tottenham,31,38,17.4,10.9,7.5,7.13,2.76,7.79,15.7,49.5,7.95,11.8,4.18,7.61,8.47,25.9,21.6,1.08
West Ham,27,38,17.2,10.2,8.34,6.66,2.21,7.63,14,54.5,6.37,11.6,4.45,7.13,8.71,25.9,27.3,0.74
Wolves,32,38,21.1,12.4,10.8,8.03,2.21,9.82,17.6,55.8,7.79,11.5,3.61,7.89,7.84,28.9,24.9,0.66
