Squad,# Pl,90s,SCA,SCA90,sca_PassLive,sca_PassDead,sca_TO,sca_Sh,sca_Fld,sca_Def,GCA,GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def
Arsenal,25,38,25.5,25.5,19.1,2.16,1.37,1.68,0.89,0.29,3.13,3.13,2.26,0.29,0.16,0.29,0.11,0.03
Aston Villa,28,38,22.3,22.34,15.8,2.24,1.34,1.53,1.03,0.37,2.68,2.68,2.11,0.18,0.08,0.16,0.11,0.05
Bournemouth,29,38,26.6,26.63,20.2,1.79,1.16,1.84,1.11,0.55,2.45,2.45,1.63,0.16,0.13,0.21,0.26,0.05
Brentford,28,38,20.5,20.53,15,1.95,1.05,1.34,0.92,0.29,2.97,2.97,2.05,0.29,0.13,0.24,0.24,0.03
Brighton,32,38,24.6,24.55,18,1.84,1.47,1.39,1.45,0.37,2.97,2.97,2.05,0.18,0.26,0.16,0.26,0.05
Chelsea,29,38,27.9,27.92,21.3,1.58,1.53,1.84,1.03,0.61,2.87,2.87,1.97,0.13,0.24,0.24,0.18,0.11
Crystal Palace,29,38,23.1,23.08,16.7,2,0.87,1.87,1.26,0.42,2.34,2.34,1.58,0.21,0.16,0.21,0.16,0.03
Everton,26,38,18.8,18.76,13.9,1.71,1.16,0.82,0.82,0.32,1.79,1.79,1.21,0.11,0.16,0.11,0.13,0.08
Fulham,26,38,24.7,24.74,18.9,1.92,1,1.84,0.66,0.42,2.61,2.61,2.11,0.08,0.13,0.11,0.11,0.08
Ipswich Town,32,38,17.3,17.32,12.1,1.89,1.34,0.79,0.87,0.37,1.53,1.53,1.21,0.05,0.16,0.05,0.05,0
Leicester City,32,38,15.4,15.39,11.2,1.29,1.16,0.68,0.89,0.13,1.47,1.47,0.97,0.11,0.16,0.13,0.11,0
Liverpool,24,38,30.3,30.29,23.2,1.84,2.16,1.92,0.71,0.47,3.87,3.87,2.92,0.18,0.32,0.26,0.16,0.03
Manchester City,30,38,28.8,28.84,22.4,1.82,1.79,1.47,1.08,0.26,3.29,3.29,2.5,0.08,0.29,0.26,0.11,0.05
Manchester Utd,31,38,24.7,24.71,18.7,2.05,1,1.61,0.95,0.39,1.84,1.84,1.18,0.11,0.13,0.16,0.16,0.11
Newcastle Utd,24,38,24.7,24.68,18.7,1.92,1.03,1.39,0.97,0.66,3.03,3.03,2.47,0.18,0.08,0.13,0.11,0.05
Nott'ham Forest,23,38,21,21,15,1.95,0.92,1.58,1.05,0.53,2.39,2.39,1.53,0.26,0.08,0.21,0.21,0.11
Southampton,36,38,16.2,16.21,11.2,1.47,1.34,1.21,0.74,0.21,1.11,1.11,0.61,0.13,0.08,0.24,0.03,0.03
Tottenham,31,38,23,23.03,17.1,1.76,1.39,1.55,0.95,0.32,2.79,2.79,2.08,0.18,0.21,0.18,0.11,0.03
West Ham,27,38,21.4,21.45,15.3,1.82,1.26,1.71,0.89,0.45,1.76,1.76,1.11,0.13,0.08,0.34,0.08,0.03
Wolves,32,38,19.9,19.89,14.4,1.5,1.53,0.95,0.89,0.63,2.53,2.53,2.03,0.13,0.18,0.03,0.05,0.11
