Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,goal_kick_att,goal_kick_launch%,goal_kick_avgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,1,38,0.89,0.08,0.05,0.21,0,0.92,0.28,0.03,0.03,3.92,12.6,31.2,31.8,4.68,31.2,29.9,5.26,50,38.6,10.6,1.39,13.2,1.74,1.74,17.2
Aston Villa,2,38,1.34,0.05,0.03,0.05,0,1.37,0.32,0.03,0.03,4.76,12.5,38.2,31.1,3.5,29.5,35.9,7.87,41.8,35.1,14.2,1.55,11,0.92,0.92,8.6
Bournemouth,3,38,1.21,0.11,0.03,0.13,0,1.44,0.3,0.23,0.23,4.58,12.2,37.4,25.3,4.16,35.2,36.8,7,47.7,39.4,12.1,0.66,5.4,1.63,1.63,12.6
Brentford,2,38,1.5,0.03,0,0.05,0.08,1.4,0.26,-0.02,-0.02,6.95,18.3,37.9,38.2,3.39,36.3,34.9,8.61,51.7,41.3,15.7,1.26,8,0.89,0.89,4.7
Brighton,2,38,1.55,0.24,0.03,0.11,0.05,1.36,0.3,-0.14,-0.15,3.39,10.6,32.1,31,3.39,29.3,25.1,6.39,23.5,23.1,11.5,0.76,6.7,1.32,1.32,15.4
Chelsea,2,38,1.13,0.13,0,0.13,0,1.18,0.26,0.05,0.05,2.76,12,23,31.8,5.5,34.5,24.1,5.89,17.9,20.9,11.1,1.29,11.6,1.55,1.55,13.2
Crystal Palace,1,38,1.34,0.03,0.03,0.13,0.08,1.35,0.35,0.08,0.08,4.13,15.8,26.2,24.3,3.03,48.5,38.5,7.71,52.2,42.4,14.7,0.79,5.4,1.05,1.05,14.3
Everton,1,38,1.16,0,0.03,0.16,0,1.28,0.3,0.13,0.13,8,21.2,37.7,34.1,4.24,51,39.7,7.61,50.2,40.7,14.7,0.82,5.6,1.5,1.5,15.2
Fulham,1,38,1.42,0.08,0,0.16,0.05,1.29,0.29,-0.08,-0.08,3.71,9.66,38.4,29.9,4.39,24.5,28.9,6.97,33.2,30.2,13.3,0.61,4.5,0.87,0.87,13.3
Ipswich Town,3,38,2.16,0.16,0,0.29,0.05,1.94,0.33,-0.17,-0.17,4.97,14,35.6,26.3,4.84,36.6,30.3,8.05,53.9,41.4,16,1.87,11.7,0.92,0.92,12.2
Leicester City,3,38,2.11,0.08,0,0.13,0.08,1.96,0.35,-0.06,-0.06,4.76,18.1,26.3,31.1,4.68,44.9,32,8.55,48.3,36,15.8,0.95,6,0.95,0.95,20.7
Liverpool,3,38,1.08,0.03,0,0.08,0.05,1.11,0.3,0.08,0.08,2.68,8.55,31.4,29.2,4.71,24.6,29,6.29,21.8,24.5,9.74,0.45,4.6,1.53,1.53,14
Manchester City,2,38,1.16,0.11,0.03,0.11,0.05,1.22,0.35,0.11,0.11,2.95,7.08,41.6,31.3,4.29,19.5,27.9,5,19.5,24,9.39,0.5,5.3,1.61,1.61,17.5
Manchester Utd,2,38,1.42,0.08,0.03,0.26,0.05,1.42,0.34,0.06,0.05,3.45,13.2,26.1,31.7,3.89,32,34.1,6.5,47,36.4,12,0.68,5.7,0.79,0.79,12
Newcastle Utd,2,38,1.24,0.03,0,0.11,0.05,1.26,0.29,0.07,0.07,2.37,8.87,26.7,22.7,6.47,22.7,25.2,6.61,56.2,43.6,12.8,1.29,10.1,1.97,1.97,15.3
Nott'ham Forest,1,38,1.21,0.08,0.03,0.13,0,1.29,0.29,0.08,0.08,6.42,18.4,35,17.4,2.18,73.7,44.7,8.5,65,47,18.7,0.5,2.7,0.32,0.32,8.7
Southampton,3,38,2.26,0.18,0,0.32,0,2.21,0.32,-0.06,-0.06,6.18,18.6,33.2,32.2,4.53,44.7,29.5,7.82,53.9,41.9,15.4,0.92,6,0.71,0.71,6.5
Tottenham,4,38,1.71,0.08,0,0.21,0.11,1.75,0.36,0.15,0.15,1.55,5.13,30.3,27.6,5.05,16.6,27.2,7.16,7.7,16.3,13.7,1.29,9.4,1.18,1.18,11.1
West Ham,2,38,1.63,0.08,0.03,0.21,0.08,1.52,0.3,-0.03,-0.03,5.58,16.1,34.8,30.7,4.58,37.4,32.1,8.18,55.9,41.9,16.2,0.66,4.1,1.11,1.11,15
Wolves,4,38,1.82,0.18,0.05,0.29,0.08,1.57,0.32,-0.17,-0.17,4.03,14,28.8,26.8,4.11,41.5,14,6.42,44.7,37,14.8,1.05,7.1,1.5,1.5,
