Squad,# Pl,90s,Tkl,TklW,def_3rd,mid_3rd,att_3rd,dribb_Tkl,dribb_Att,dribb_Tkl%,dribb_Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
B-SAD,29,34,15.7,9.56,7.79,6.41,1.53,6.74,16.5,40.9,9.74,9.97,2.65,7.32,11.9,27.6,21.1,0.24
Benfica,32,34,14.4,9.06,5.76,6.5,2.09,7,16.3,43,9.26,9.03,1.62,7.41,11.3,25.7,12.8,0.44
Boavista,25,34,15.9,9.88,7.53,6.5,1.85,6.91,17.4,39.6,10.5,8.94,2.38,6.56,14.1,29.9,22.3,0.35
Braga,33,34,14.9,9.03,6.18,7,1.76,7.15,17.9,39.8,10.8,8.82,1.76,7.06,11.8,26.7,14.9,0.21
Famalicão,40,34,15.4,9.24,8,6.09,1.32,6.91,16.4,42.1,9.5,9.24,2.29,6.94,12.5,27.9,18.4,0.29
Farense,30,34,14.2,8.47,7.24,5.38,1.56,6.26,15.7,39.8,9.47,10.7,2.88,7.85,13,27.2,17.2,0.18
Gil Vicente FC,29,34,13.6,8.29,6.5,5.85,1.21,6.38,15.6,40.9,9.24,9.97,3.24,6.74,11,24.5,18.5,0.06
Marítimo,33,34,15.9,10.1,7.97,6.35,1.56,6.91,16,43.2,9.09,10.8,3.35,7.44,10.9,26.8,20.3,0.35
Moreirense,31,34,15.5,9.65,7.12,6.44,1.97,6.29,16.1,39.2,9.76,10.1,3.26,6.85,11.8,27.4,16.5,0.32
Nacional,30,34,14.7,9.12,7.29,5.97,1.44,7.74,17.9,43.1,10.2,11.5,3.38,8.09,12.4,27.1,20.8,0.41
Paços de Ferreira,27,34,17.1,10.8,9.15,6.53,1.41,6.59,17.4,37.9,10.8,10.1,2.5,7.65,12.3,29.4,18.9,0.26
Portimonense,28,34,15.9,9.53,7.21,6.97,1.71,6.91,16.1,42.9,9.21,9.65,3.12,6.53,14.3,30.1,20.4,0.06
Porto,31,34,14.3,8.88,5.85,6.12,2.32,6.74,15.4,43.8,8.65,8.79,2.06,6.74,9.38,23.7,13.7,0.29
Rio Ave,30,34,15.2,9.38,7.71,5.91,1.56,7.5,16.7,44.9,9.21,9.18,2.06,7.12,11.1,26.3,16.7,0.44
Santa Clara,29,34,15.7,9.62,7.18,6.85,1.65,6.82,16.3,41.8,9.5,11.3,2.85,8.41,11.3,27,20.4,0.18
Sporting CP,30,34,15.5,9.29,6.26,7.12,2.09,6.94,15.4,45.2,8.41,8.38,1.68,6.71,13.2,28.6,12.7,0.26
Tondela,26,34,15.5,9.41,7.94,6.56,1.03,7.18,17,42.1,9.85,9.62,2.71,6.91,11.8,27.3,19.5,0.32
Vitória,30,34,13.8,8.97,6.41,6.29,1.12,6.41,14.6,44,8.18,9.06,2.32,6.74,12.5,26.3,18.3,0.26
