Squad,# Pl,90s,SCA,SCA90,sca_PassLive,sca_PassDead,sca_TO,sca_Sh,sca_Fld,sca_Def,GCA,GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def
B-SAD,29,34,15.9,15.91,11.4,1.41,0.79,1.06,0.82,0.38,1.15,1.15,0.74,0.15,0.09,0.06,0.12,0
Benfica,32,34,25.3,25.26,19.1,2.12,1.76,0.97,1,0.35,3.53,3.53,2.65,0.15,0.47,0.12,0.09,0.06
Boavista,25,34,19.6,19.56,12.6,1.65,1.62,1.18,1.82,0.68,1.88,1.88,1.29,0.09,0.18,0.15,0.15,0.03
Braga,33,34,24.3,24.29,18.1,1.85,1.32,1.35,1.12,0.56,2.47,2.47,1.76,0.09,0.24,0.24,0.12,0.03
Famalicão,40,34,19.2,19.18,12.7,1.82,1.38,1.15,1.71,0.38,1.94,1.94,1.15,0.09,0.24,0.12,0.32,0.03
Farense,30,34,17.9,17.88,10.2,3.41,0.68,1.47,1.79,0.32,1.38,1.38,0.74,0.29,0.06,0.09,0.18,0.03
Gil Vicente FC,29,34,18,17.97,11.8,2.32,1.03,1,1.56,0.29,1.62,1.62,1.03,0.15,0.09,0.15,0.21,0
Marítimo,33,34,16.2,16.24,9.88,2.21,1.15,1.26,1.26,0.47,1.26,1.26,0.82,0.03,0.12,0.21,0.09,0
Moreirense,31,34,16.1,16.09,10.8,1.62,1,1.18,1.21,0.32,1.41,1.41,0.88,0.12,0.12,0.15,0.12,0.03
Nacional,30,34,18.4,18.44,12.6,1.62,1.41,1.12,1.35,0.32,1.5,1.5,1.24,0.12,0.06,0.09,0,0
Paços de Ferreira,27,34,18.5,18.5,12.4,2.15,1,1.09,1.5,0.35,2,2,1.15,0.24,0.09,0.26,0.24,0.03
Portimonense,28,34,18.8,18.79,11.8,2.82,1.47,1.12,1.38,0.24,1.62,1.62,0.88,0.24,0.18,0.15,0.18,0
Porto,31,34,24.8,24.79,16.9,2.41,2.06,1.65,1.53,0.26,3.79,3.79,2.56,0.24,0.32,0.24,0.44,0
Rio Ave,30,34,17.7,17.74,12.3,1.59,1.29,0.88,1.24,0.41,1.12,1.12,0.82,0.03,0.06,0.09,0.09,0.03
Santa Clara,29,34,17.8,17.76,11.4,1.97,1.24,1.09,1.74,0.35,2,2,1.18,0.12,0.15,0.26,0.26,0.03
Sporting CP,30,34,23.7,23.71,15.2,3.24,1.24,1.82,1.68,0.5,3.15,3.15,2.06,0.15,0.21,0.35,0.29,0.09
Tondela,26,34,16.2,16.18,11.7,1.53,0.82,0.82,0.97,0.35,1.85,1.85,1.53,0.09,0.06,0.18,0,0
Vitória,30,34,17.5,17.53,10.8,2.29,1.44,1,1.5,0.5,1.76,1.76,1.06,0.15,0.26,0.18,0.09,0.03
