Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,goal_kick_att,goal_kick_launch%,goal_kick_avgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
B-SAD,3,34,1.03,0.24,0,0.18,0.03,1.29,0.23,0.29,0.29,6.35,16.8,37.9,25.6,5.12,43.8,57.3,7.79,70.9,49.6,16.1,0.62,3.8,1.94,1.94,
Benfica,3,34,0.79,0.09,0,0.21,0.03,0.99,0.27,0.22,0.22,3.56,8.68,41,23.8,5.68,28.1,30.2,6.12,32.2,34.5,9.82,0.56,5.7,1.56,1.56,15.6
Boavista,1,34,1.44,0.18,0.06,0.12,0.03,1.54,0.31,0.13,0.13,5.56,17.4,31.9,18.1,3.65,52.6,41,9.62,82.6,58.4,17.7,0.62,3.5,0.91,0.91,13.1
Braga,2,34,0.97,0.09,0,0.12,0,0.99,0.32,0.02,0.02,4.41,10.9,40.7,30.6,5.94,26.2,27.9,6.44,43.8,36.7,11.3,0.68,6,2.59,2.59,21.6
Famalicão,3,34,1.41,0.09,0.06,0.21,0.06,1.28,0.31,-0.08,-0.08,4.76,13.7,34.7,27.2,5.06,35.8,33.3,7.62,52.5,42.9,14,0.59,4.2,1.65,1.65,17.8
Farense,3,34,1.41,0.21,0,0.09,0,1.3,0.28,-0.11,-0.11,8.94,20.8,43.1,27.1,4.26,52.3,42.6,8.41,78,56.3,14.9,0.47,3.2,0.82,0.83,12.9
Gil Vicente FC,3,34,1.24,0.09,0,0.18,0.15,1.16,0.27,0.07,0.07,5.44,17,32,33.4,5.29,35.7,27.3,8.18,61.9,47.5,14.5,0.41,2.8,0.82,0.82,15
Marítimo,3,34,1.38,0.12,0.03,0.12,0.06,1.53,0.33,0.21,0.2,6.12,15.9,38.5,25.4,4.41,41.3,34.3,8.82,61.3,48.3,15.3,0.82,5.4,1.18,1.18,11.2
Moreirense,3,34,1.26,0.18,0.03,0.12,0.06,1.49,0.3,0.28,0.28,5.32,16.1,33,23.6,4.71,38.3,35.2,9.38,75.5,53.1,13.5,0.5,3.7,0.62,0.62,9.5
Nacional,3,34,1.74,0.21,0.03,0.26,0.09,1.69,0.29,0.04,0.05,5.29,16.7,31.7,20.7,2.79,47,35,9.09,76.4,51.1,16.4,0.29,1.8,1.21,1.21,13.9
Paços de Ferreira,3,34,1.21,0.24,0,0.15,0,1.07,0.24,-0.14,-0.14,5.41,17.2,31.4,18.3,2.47,59.6,39.2,8.21,77.1,57.5,14.8,1.03,7,1.03,1.03,11.3
Portimonense,2,34,1.21,0.12,0,0.15,0.09,1.06,0.26,-0.06,-0.06,8.44,22.2,38.1,31,2.74,49.1,45.5,8.94,77.6,55.8,13.2,0.41,3.1,1.24,1.24,14.2
Porto,2,34,0.85,0.09,0.03,0.09,0,0.88,0.31,0.03,0.03,6.35,14,45.5,29.3,4.71,39.7,26.8,5.56,42.3,38.4,10.9,0.56,5.1,1.68,1.68,17.3
Rio Ave,1,34,1.18,0.06,0,0.03,0.06,1.23,0.32,0.11,0.11,4.35,11.7,37.1,27.9,4.85,28.6,31.5,7.5,50.2,40.4,12.8,0.68,5.3,1.62,1.62,16.4
Santa Clara,2,34,1.06,0.15,0.03,0.06,0.06,0.98,0.25,-0.02,-0.02,7.44,19.6,38,27.7,3.85,54.8,38.7,7.88,55.6,45,15.9,0.47,3,0.82,0.82,9.5
Sporting CP,3,34,0.59,0.03,0.03,0.03,0.03,0.62,0.25,0.06,0.06,3.32,9.32,35.6,25.2,4.35,29,32.8,5.59,35.8,33.5,10.1,0.59,5.8,1.26,1.26,14.6
Tondela,3,34,1.68,0.09,0.03,0.15,0.03,1.71,0.34,0.06,0.06,6.03,16.6,36.4,28.6,5.68,38.3,35.2,8.41,66.4,48,15.2,0.97,6.4,1.29,1.29,15.1
Vitória,2,34,1.29,0.09,0,0.15,0,1.31,0.29,0.01,0.01,5.5,16.2,33.9,23.8,3.59,44.9,36.9,8.06,68.6,50.1,13.8,0.32,2.3,1.29,1.29,14.6
