Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,ck_In,ck_Out,ck_Str,Cmp,Off,Blocks
B-SAD,29,34,410.9,354.6,53.4,15.7,0.35,4.44,17.6,23.5,4.35,1.85,1.62,0,292.3,2.91,9.44
Benfica,32,34,619.1,561.6,55.2,15.9,1.24,2.91,19.3,25.3,6.06,1.79,1.88,0,513.1,2.26,10.3
Boavista,25,34,381.4,326.3,53.9,17.1,0.62,3.59,13.6,20.9,3.91,2.12,1.38,0.06,283.9,1.18,6.79
Braga,33,34,566.4,510.1,54.1,15.8,1,7.29,21,24,5.94,2.12,2.44,0.15,453.5,2.21,8.85
Famalicão,40,34,463.4,409.8,52,15.9,0.38,5.29,15.1,21.7,4.47,3,1.06,0.03,364.3,1.65,8.38
Farense,30,34,360.4,299.2,58.9,17,0.35,3.65,21.3,25.5,5.56,4.68,0.24,0,243.4,2.32,8.26
Gil Vicente FC,29,34,449.4,394.4,53.5,14.8,0.71,5.12,18.6,23.1,5.26,1.62,3.18,0.03,338.4,1.47,9.38
Marítimo,33,34,390.6,330.1,58.6,19.4,0.5,4.91,17.3,24.2,3.85,0.88,2.62,0.03,285.8,1.91,8.91
Moreirense,31,34,426.6,368.9,56.1,17.1,0.41,5.85,14.5,23.3,4.03,2.09,1.62,0,321.3,1.59,7.56
Nacional,30,34,400.3,346.1,52.6,16.1,0.32,3.79,16.6,20.5,4.18,1.68,1.76,0.06,291.6,1.65,8.09
Paços de Ferreira,27,34,418.9,364.9,52.2,16.4,0.41,5.41,18.2,21,4.41,1.76,2.06,0,312.9,1.85,7.03
Portimonense,28,34,454.6,398.4,54.1,13.6,0.56,3.68,18,25,4.35,1.91,2.06,0,337.6,2.12,7.88
Porto,31,34,552.9,495.8,55.1,17,0.85,4.09,19.9,24.8,5.88,2.29,2.41,0.06,446.2,1.94,8.91
Rio Ave,30,34,488.3,430.1,56.1,18.4,0.68,5.06,17.1,23.1,5.06,2.94,0.94,0,385.7,2.06,7.85
Santa Clara,29,34,410.8,355.9,53.1,16.9,0.32,3.65,17.5,21.9,4.38,3.18,0.79,0,304.4,1.76,7.74
Sporting CP,30,34,522.9,463.5,58.1,20.6,1.03,4.76,20.7,24.5,5.85,1.65,3.59,0.06,415.1,1.29,8.21
Tondela,26,34,444.9,389.7,53.7,16,0.85,4.35,15.5,22.6,3.97,1.56,1.53,0.09,335.4,1.47,8.53
Vitória,30,34,458.9,402.8,54.3,16.7,0.5,5.71,19.3,21.9,5.32,2.21,1.88,0,356.5,1.88,8.94
