Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerial_won,aerial_lost,aerial_won%
B-SAD,29,34,2.56,0.15,0.09,15.4,13.8,2.91,17.6,11.9,9.56,0.12,0.29,0.03,51.1,16.9,19.6,46.3
Benfica,32,34,2.44,0,0,15.2,13.6,2.26,19.3,11.3,9.06,0.06,0.12,0.03,56.3,16.8,13.9,54.7
Boavista,25,34,2.5,0.29,0.15,16.3,15.8,1.18,13.6,14.1,9.88,0.09,0.35,0.03,47.7,14.4,15.4,48.4
Braga,33,34,1.82,0.15,0.03,15.1,13.8,2.21,21,11.8,9.03,0.15,0.12,0,52.6,14.7,13.6,51.8
Famalicão,40,34,2.88,0.12,0.06,16,15.1,1.65,15.1,12.5,9.24,0.15,0.15,0.06,48,13,14.2,47.8
Farense,30,34,2.41,0.21,0.09,16.1,16,2.32,21.3,13,8.47,0.24,0.21,0,48.3,19.9,19.3,50.8
Gil Vicente FC,29,34,2.03,0.15,0.06,14.9,12.7,1.47,18.6,11,8.29,0.24,0.21,0.15,47.9,16.3,16.5,49.6
Marítimo,33,34,3,0.09,0.06,16.3,18,1.91,17.3,10.9,10.1,0.09,0.15,0.06,49.1,16.4,13.7,54.5
Moreirense,31,34,2.47,0.03,0.03,14.6,14.6,1.59,14.5,11.8,9.65,0.12,0.18,0.06,52.1,13.6,13.2,50.7
Nacional,30,34,2.85,0.15,0.06,16,15,1.65,16.6,12.4,9.12,0.06,0.35,0.09,52.8,15.2,17.3,46.8
Paços de Ferreira,27,34,2.09,0.09,0,16.3,14.8,1.85,18.2,12.3,10.8,0.12,0.26,0,51.8,16.7,16.6,50.2
Portimonense,28,34,2.44,0.03,0,17.7,12.9,2.12,18,14.3,9.53,0.09,0.18,0.09,53.3,22.5,20,52.9
Porto,31,34,1.85,0.12,0.09,15.7,16,1.94,19.9,9.38,8.88,0.38,0.12,0,55,17.5,16,52.2
Rio Ave,30,34,2.09,0.18,0.03,14,16.5,2.06,17.1,11.1,9.38,0.15,0.09,0.06,50,12.5,13.6,48
Santa Clara,29,34,2.82,0.12,0.06,17.2,15.3,1.76,17.5,11.3,9.62,0.21,0.18,0.06,47.5,15.3,17.7,46.3
Sporting CP,30,34,2.62,0.09,0.06,15.3,17.8,1.29,20.7,13.2,9.29,0.21,0.06,0.03,53.8,15.8,13.1,54.8
Tondela,26,34,2.35,0.18,0.06,14.9,13.7,1.47,15.5,11.8,9.41,0.09,0.12,0.03,51.3,13.8,14.6,48.6
Vitória,30,34,2.26,0.09,0.03,15.6,15.2,1.88,19.3,12.5,8.97,0.12,0.12,0,51.2,15.5,18.4,45.7
