Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
Arsenal,27,24.4,52.8,38,418,"3,420",38,1.58,1.08,2.66,1.45,0.13,0.21,1.76,0.11,1.59,1.45,1.06,2.51,19.3,43.6
Aston Villa,31,26.1,46.5,38,418,"3,420",38,1.32,1.11,2.42,1.24,0.08,0.08,2.13,0.05,1.16,1.11,0.92,2.02,17.2,34.2
Brentford,29,25.4,44.8,38,418,"3,420",38,1.21,0.87,2.08,1.05,0.16,0.16,1.71,0.08,1.21,1.08,0.87,1.95,11.8,31.3
Brighton,26,26.2,54.4,38,418,"3,420",38,1.05,0.79,1.84,0.95,0.11,0.18,1.89,0.05,1.22,1.07,0.85,1.92,17.8,40.7
Burnley,23,28.5,40.2,38,418,"3,420",38,0.84,0.68,1.53,0.82,0.03,0.05,1.79,0.05,1.04,1,0.82,1.82,10.2,25.6
Chelsea,26,27.4,61.8,38,418,"3,420",38,1.97,1.37,3.34,1.76,0.21,0.24,1.66,0.03,1.67,1.49,1.18,2.67,23.5,51.8
Crystal Palace,24,27.1,51.1,38,418,"3,420",38,1.32,0.82,2.13,1.16,0.16,0.21,1.82,0.03,1.22,1.06,0.82,1.87,15.6,32.3
Everton,33,26.7,40,38,418,"3,420",38,1.11,0.76,1.87,0.95,0.16,0.18,2.16,0.16,1.08,0.94,0.75,1.69,13.5,28.9
Leeds United,29,26.1,52.3,38,418,"3,420",38,1.11,0.68,1.79,0.97,0.13,0.13,2.66,0.08,1.17,1.06,0.82,1.89,17.7,39
Leicester City,28,26.5,52,38,418,"3,420",38,1.63,1.21,2.84,1.58,0.05,0.05,1.45,0.03,1.26,1.22,0.9,2.12,16.4,35.7
Liverpool,27,27.7,62.7,38,418,"3,420",38,2.47,1.87,4.34,2.29,0.18,0.21,1.32,0.03,2.33,2.18,1.67,3.85,23.3,59
Manchester City,26,27,67.9,38,418,"3,420",38,2.53,1.66,4.18,2.34,0.18,0.24,1.11,0.03,2.33,2.14,1.72,3.87,30.1,63.7
Manchester Utd,29,27.2,52.7,38,418,"3,420",38,1.47,1.21,2.68,1.39,0.08,0.13,2.03,0.05,1.47,1.37,1.12,2.48,20.6,41.3
Newcastle Utd,29,27.5,40.4,38,418,"3,420",38,1.08,0.61,1.68,1,0.08,0.08,2.13,0.05,1,0.94,0.68,1.62,14.3,24.3
Norwich City,28,26.2,42.9,38,418,"3,420",38,0.55,0.42,0.97,0.47,0.08,0.08,1.5,0.03,0.85,0.79,0.64,1.43,14.9,27.1
Southampton,25,25.7,47.7,38,418,"3,420",38,1.08,0.68,1.76,0.97,0.11,0.11,1.71,0.05,1.18,1.09,0.86,1.95,19.2,34.9
Tottenham,25,26.5,51.8,38,418,"3,420",38,1.66,1.32,2.97,1.53,0.13,0.13,1.82,0.03,1.61,1.51,1.24,2.75,20.8,38.4
Watford,30,28.4,40.7,38,418,"3,420",38,0.87,0.68,1.55,0.84,0.03,0.05,1.66,0.08,1.05,1.01,0.86,1.87,14.7,28.2
West Ham,25,28.2,47.9,38,418,"3,420",38,1.53,1.21,2.74,1.42,0.11,0.16,1.37,0.08,1.35,1.23,0.98,2.22,17,38.1
Wolves,26,27.3,49.5,38,418,"3,420",38,0.92,0.58,1.5,0.89,0.03,0.03,1.63,0.05,0.99,0.97,0.69,1.66,19,33.8
