Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,take_on_Att,take_on_Succ,take_on_Succ%,take_on_Tkld,take_on_Tkld%,Carries,carries_TotDist,carries_PrgDist,carries_PrgC,carries_1/3,carries_CPA,carries_Mis,carries_Dis,Rec,PrgR
Arsenal,27,52.8,38,625.8,58.6,188.2,272,170.8,25.8,625.6,15.5,8.39,54.1,7.13,45.9,368.2,1935,1036.5,19.3,13,5.87,14.7,8.87,422.8,43.2
Aston Villa,31,46.5,38,542.3,63.4,180.9,234.1,132.9,21.7,542.3,15.4,8.76,56.7,6.68,43.3,310.4,1645,833.5,17.2,11.1,4.37,15.7,9.05,333.4,34
Brentford,29,44.8,38,538.5,73.5,206.9,215.8,120.2,21.6,538.3,12.5,6.89,55,5.63,45,270.5,1313.8,686.4,11.8,8.74,2.68,14.8,7.66,304.3,30.8
Brighton,26,54.4,38,654.1,69.2,211.4,276.8,171.2,23.1,653.9,14.7,8.34,56.7,6.37,43.3,366.3,1803.6,923.6,17.8,13.7,3.66,15.7,9.18,428.4,40.2
Burnley,23,40.2,38,483.4,59.1,153.7,211.9,123.3,17.4,483.4,12.6,6.79,53.9,5.82,46.1,216.6,1112.4,501.6,10.2,7.89,2.21,14.2,7.66,245.8,25.2
Chelsea,26,61.8,38,762.5,60,208.6,352.2,207.4,28.1,762.3,16.4,9.58,58.3,6.84,41.7,449.7,2266.2,1223.8,23.5,19.2,6.39,15.6,10.1,553.7,51.5
Crystal Palace,24,51.1,38,617.5,72.4,230.6,262.9,130.1,19.7,617.3,18.1,10.1,55.6,8.03,44.4,345.5,1734.9,873.1,15.6,10.8,3.92,17.7,12.4,391.5,31.9
Everton,33,40,38,502,60.2,168.3,207.9,131.9,19.2,501.8,16.7,8.87,53.2,7.76,46.5,247.9,1406.4,673.7,13.5,10.2,3.76,16.8,8.55,270.4,28.6
Leeds United,29,52.3,38,597.5,68.6,224.2,250.1,129.4,20.8,597.4,17.2,8.92,51.8,8.32,48.2,322.6,1765.8,956.7,17.7,10.8,4.47,17.8,7.84,364.9,38.6
Leicester City,28,52,38,642.3,72.9,225.7,291.2,130.6,19.6,642.3,14.4,7.82,54.3,6.58,45.7,365.7,1808.1,914.8,16.4,12.3,4.13,15.8,9.68,422,35.6
Liverpool,27,62.7,38,778.3,56.1,189.3,373.1,221.6,36.2,778.1,16.7,9.03,54,7.66,45.8,454.3,2215.5,1192.8,23.3,17.7,7.63,15.5,9.63,553.7,58.6
Manchester City,26,67.9,38,825.8,48.3,172.8,402.1,256,39.4,825.6,19.5,11.2,57.4,8.32,42.6,554.3,2895.2,1610.5,30.1,22.1,10.2,13.1,8.32,637.2,63.2
Manchester Utd,29,52.7,38,648.7,59.4,194.5,293.2,166.6,23.2,648.6,16.6,9.68,58.3,6.92,41.7,367.2,2010.4,1092,20.6,15.4,5.61,14.2,8.76,436.6,41.1
Newcastle Utd,29,40.4,38,481.1,60.8,177.1,196.9,113.5,19.1,481,16.6,9.45,56.8,7.18,43.2,243.2,1339.4,630.6,14.3,10.4,4.29,16.4,9.45,266.1,24
Norwich City,28,42.9,38,532.5,76.6,217,211.8,109.7,15.8,532.4,15.3,7.84,51.3,7.45,48.7,293.1,1601.4,791.4,14.9,9.37,3.32,14.4,8.24,317,26.8
Southampton,25,47.7,38,563.6,58.3,172.1,247.6,150.3,21.8,563.5,16.4,9.21,56.1,7.21,43.9,291.7,1640.2,827,19.2,14.8,5.18,16.5,9.63,326,34.6
Tottenham,25,51.8,38,654,66.2,210.8,301.4,148.1,22.7,653.9,17.6,9.87,56.2,7.66,43.6,397.9,2158.9,1114.2,20.8,15.7,5.13,15.5,8.97,449.9,38.2
Watford,30,40.7,38,504.2,65,190.7,206,113.9,16.4,504.2,19.8,10.4,52.6,9.37,47.4,248.1,1347.5,654.7,14.7,9.97,3.89,16.8,10.2,271.6,27.8
West Ham,25,47.9,38,587.7,64.3,184.5,262.9,145.9,21.3,587.5,14.3,8.05,56.1,6.29,43.9,332.2,1792.1,859.6,17,12.6,4.5,13.7,7.74,374.4,37.8
Wolves,26,49.5,38,614.1,69.9,222.9,268.5,128.6,18.5,614,20.3,11.8,58.4,8.45,41.6,337.8,1824.7,952.3,19,13.7,5,15.7,8.97,397.8,33.2
