Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,ck_In,ck_Out,ck_Str,Cmp,Off,Blocks
Arsenal,27,38,522.2,477.6,42.8,10.6,2.03,3.47,16.7,17.9,5.47,4.03,0.61,0.13,425.7,1.74,8.13
Aston Villa,31,38,434.2,384.6,48.2,13.8,1.87,2.55,17.6,18.8,5.16,2.92,1.11,0.29,335.5,1.37,7.32
Brentford,29,38,428.2,380.1,46.4,11.4,1.32,1.84,16.8,20.5,4.18,2.21,1.24,0.24,307.3,1.74,8.76
Brighton,26,38,541.8,495.7,44.7,10.3,1.53,4,19.2,20.6,5.26,2.21,2.53,0,431.8,1.39,10.4
Burnley,23,38,371.2,323,45.6,9.74,0.84,3.55,19.7,20.6,4.82,4,0.37,0.03,248.8,2.66,8.79
Chelsea,26,38,654.9,609.4,43.7,11.4,2.03,2.66,19.6,18.8,6.34,2.97,2.63,0,557.6,1.82,9.58
Crystal Palace,24,38,502.1,450.4,50.1,13.9,1.05,3.16,16.9,22.2,4.61,2.32,1.16,0.21,394.3,1.66,8.32
Everton,33,38,383.1,335.4,46.3,10.9,0.79,1.84,17.2,20.6,4.24,2.18,1.58,0,272.8,1.39,9.08
Leeds United,29,38,481.3,432.4,47.2,11,1.74,3.68,17.1,21,4.47,2.63,1,0.08,368.1,1.66,9.68
Leicester City,28,38,529.9,480.7,47.6,12,1.71,2.76,14.6,20.2,4.87,2.97,1.11,0.05,424.4,1.58,9.97
Liverpool,27,38,672.4,624.8,46,11.5,2.95,4.39,23.6,20.5,7.42,1.24,5.45,0,556.9,1.66,9.84
Manchester City,26,38,734.3,690.5,42,10.7,2.68,5.05,22.9,17.5,8.32,4.05,1.32,0.11,642.3,1.74,9.34
Manchester Utd,29,38,543.2,496.4,44.5,9.89,2.11,4.92,17.3,19.1,5.18,1.95,2.32,0,439.2,2.32,9.71
Newcastle Utd,29,38,369.4,321.1,46.4,10.9,0.82,3,15.6,19.6,4.21,2.37,1.21,0.37,268.4,1.87,7.39
Norwich City,28,38,422.9,373.1,48.4,12.5,1.32,4.03,14.9,20.2,4.34,2.37,1.58,0.05,320.1,1.45,8.05
Southampton,25,38,445.8,397.8,46.9,10.8,1.13,2.13,18.7,19.7,6.13,2.79,2.76,0.11,329.1,1.11,9.03
Tottenham,25,38,544.6,499.4,43.6,11.3,2.32,3.5,16.6,17.8,5.08,2.05,1.63,0,452.7,1.63,8.74
Watford,30,38,385.3,336.8,47.1,10.4,0.92,2.66,16.1,21.3,4.24,2.37,1.32,0.11,274.3,1.39,8.34
West Ham,25,38,483.6,438.1,44,8.13,0.76,3.84,21.1,20.3,5.26,3.55,1.13,0.03,377,1.55,9.29
Wolves,26,38,502.7,457.4,43.7,11.1,1.53,3.97,15.4,18.9,4.42,1.08,2.26,0.16,401.4,1.61,8.66
