Squad,# Pl,90s,SCA,SCA90,sca_PassLive,sca_PassDead,sca_TO,sca_Sh,sca_Fld,sca_Def,GCA,GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def
Arsenal,27,38,27.1,27.11,20.7,1.79,1.5,1.74,1.03,0.32,2.61,2.61,1.82,0.21,0.11,0.34,0.11,0.03
Aston Villa,31,38,22,22.03,16,2.24,1.29,1.08,1.26,0.16,2.45,2.45,1.71,0.24,0.24,0.18,0.08,0
Brentford,29,38,19.4,19.45,12.8,2.53,0.97,1.63,1.13,0.37,2.05,2.05,1.21,0.29,0.11,0.21,0.24,0
Brighton,26,38,22.9,22.89,16.6,2.21,1.29,1.45,1.05,0.32,1.89,1.89,1.29,0.21,0.11,0.16,0.11,0.03
Burnley,23,38,17.7,17.74,12,2.13,0.74,1.32,1.32,0.26,1.58,1.58,1.03,0.24,0.13,0.08,0.11,0
Chelsea,26,38,28,28,21.5,1.63,1.26,1.97,1.29,0.32,3.55,3.55,2.55,0.24,0.21,0.26,0.24,0.05
Crystal Palace,24,38,18.7,18.71,13.2,1.66,1.13,1.21,1.13,0.42,2.13,2.13,1.39,0.08,0.18,0.21,0.24,0.03
Everton,33,38,19.5,19.53,14,1.82,1.13,1.11,1.18,0.26,1.79,1.79,1.21,0.11,0.11,0.16,0.21,0
Leeds United,29,38,21.7,21.71,15.5,1.79,1.37,1.58,1.11,0.37,1.74,1.74,0.95,0.05,0.26,0.26,0.13,0.08
Leicester City,28,38,19.6,19.61,14.9,1.08,1.26,1.11,0.87,0.39,2.76,2.76,2.13,0.08,0.11,0.21,0.13,0.11
Liverpool,27,38,32.9,32.87,24,2.76,1.66,2.74,1.29,0.42,4.29,4.29,3.18,0.24,0.24,0.5,0.13,0
Manchester City,26,38,33.8,33.84,26.2,2.05,1.84,2.32,1.11,0.29,4.16,4.16,2.95,0.26,0.16,0.5,0.21,0.08
Manchester Utd,29,38,24.1,24.13,18.6,1.71,1.47,1,1.03,0.34,2.74,2.74,2.03,0.16,0.16,0.18,0.13,0.08
Newcastle Utd,29,38,19.9,19.95,13.3,2.13,1.61,1.5,1.16,0.29,1.84,1.84,1.21,0.11,0.13,0.24,0.16,0
Norwich City,28,38,16.8,16.76,11.4,1.76,1.08,0.87,1.32,0.29,0.92,0.92,0.71,0.05,0.03,0.03,0.08,0.03
Southampton,25,38,21.4,21.42,15.4,1.79,1.13,1.34,1.29,0.47,1.87,1.87,1.16,0.13,0.16,0.11,0.24,0.08
Tottenham,25,38,23.2,23.21,17.8,1.34,1.21,1.61,0.97,0.24,3.08,3.08,2.5,0.08,0.11,0.21,0.16,0.03
Watford,30,38,18.2,18.24,12.5,1.55,1.26,1.13,1.37,0.42,1.5,1.5,0.95,0.13,0.11,0.18,0.08,0.05
West Ham,25,38,20.3,20.26,15,1.79,1.24,1.32,0.74,0.21,2.68,2.68,1.89,0.26,0.13,0.24,0.13,0.03
Wolves,26,38,18.2,18.21,13.1,1.16,1.71,0.97,0.82,0.5,1.53,1.53,0.97,0.11,0.13,0.21,0.05,0.05
