Squad,# Pl,90s,Tkl,TklW,def_3rd,mid_3rd,att_3rd,dribb_Tkl,dribb_Att,dribb_Tkl%,dribb_Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,29,38,12,6.63,5.42,4.84,1.74,5.58,14.4,38.8,8.82,9.68,2.97,6.71,9.24,21.2,16.9,0.42
Aston Villa,24,38,13.9,7.42,6.89,5.32,1.74,6.58,15,43.8,8.45,11.5,4.18,7.34,10.2,24.1,20.6,0.45
Brighton,27,38,16.5,8.79,7.82,6.61,2.11,6.63,15.9,41.8,9.24,11,2.55,8.42,11.2,27.7,15.9,0.21
Burnley,25,38,13.3,7.71,6.34,5.34,1.66,6.03,14.8,40.6,8.82,11.6,4.74,6.84,10.9,24.3,21.7,0.29
Chelsea,27,38,16.1,8.97,6.76,7.42,1.92,6.08,15,40.5,8.92,11.1,2.18,8.87,10.1,26.2,17.4,0.42
Crystal Palace,24,38,16.7,9.63,8.66,6.16,1.92,7.45,16.3,45.6,8.87,11.8,3.63,8.13,10.4,27.2,20.4,0.34
Everton,29,38,16.8,10,8.55,6.37,1.92,7,17.5,40.1,10.5,12.1,4.13,7.92,10.3,27.2,22.3,0.5
Fulham,28,38,15.8,8.66,7.42,6.08,2.32,6.68,15.3,43.7,8.61,9.37,2.5,6.87,11.5,27.3,20.9,0.34
Leeds United,23,38,19.5,11,9.95,7.34,2.18,8.16,20.2,40.3,12.1,10.7,3.92,6.76,10.4,29.9,17,0.68
Leicester City,27,38,17.9,10.6,8.39,6.92,2.61,7.76,17.8,43.6,10,10.2,2.37,7.79,11.5,29.4,18,0.24
Liverpool,28,38,13.8,7.97,5.13,6.08,2.63,5.79,14.3,40.5,8.5,8.89,1.53,7.37,9.13,23,14.8,0.53
Manchester City,24,38,13.1,7.13,5.21,5.58,2.32,6.16,15.2,40.6,9,8.16,2.16,6,8.39,21.5,11.9,0.29
Manchester Utd,29,38,14.5,8.18,6.63,6.29,1.58,6.08,15.1,40.4,8.97,11,3.05,7.95,10.2,24.7,16.7,0.53
Newcastle Utd,27,38,13.5,7.05,6.76,5.61,1.11,5.45,14.4,37.8,8.95,11.1,4.21,6.92,9.53,23,23.9,0.26
Sheffield Utd,27,38,16.7,9.37,8.55,6.29,1.84,7.74,18.9,40.8,11.2,11.6,4,7.63,9.24,25.9,22.1,0.5
Southampton,29,38,19.1,11,8.82,8.55,1.76,8.97,19.2,46.6,10.3,11.6,2.5,9.05,10.6,29.7,17.9,0.26
Tottenham,24,38,16.7,9.5,8.24,6.42,2.08,7.29,18,40.6,10.7,11.4,3.87,7.55,9,25.7,20.9,0.39
West Brom,30,38,15.3,8.63,8.66,5.05,1.58,7.13,17.3,41.3,10.1,12,4.18,7.79,11.4,26.7,23.1,0.34
West Ham,24,38,13.5,7.37,7.08,5.13,1.32,5.89,15.1,39.1,9.18,10.7,3.26,7.39,11.5,25,20.5,0.29
Wolves,27,38,15.5,8.82,8.47,5.79,1.21,7.29,16.1,45.3,8.79,9.45,3.08,6.37,11.4,26.8,19.1,0.39
