Squad,# Pl,90s,SCA,SCA90,sca_PassLive,sca_PassDead,sca_TO,sca_Sh,sca_Fld,sca_Def,GCA,GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def
Arsenal,29,38,21.4,21.39,16.4,1.16,1.29,1.18,1.21,0.16,2.5,2.5,1.82,0.05,0.21,0.16,0.21,0.05
Aston Villa,24,38,24.7,24.74,17.6,2.39,1.66,1.24,1.53,0.29,2.47,2.47,1.74,0.21,0.11,0.16,0.24,0.03
Brighton,27,38,22.3,22.29,16.5,1.97,0.89,1.45,1.11,0.34,1.66,1.66,1.24,0.16,0.03,0.11,0.13,0
Burnley,25,38,17.5,17.53,12.4,1.87,0.74,0.95,1.34,0.24,1.37,1.37,0.84,0.16,0.11,0.08,0.13,0.05
Chelsea,27,38,26.8,26.79,20.8,2.13,1.11,1.45,1.13,0.18,2.5,2.5,1.82,0.16,0.11,0.16,0.26,0
Crystal Palace,24,38,16.3,16.26,11.4,1.42,1.37,0.61,1.21,0.26,1.84,1.84,1.29,0.13,0.16,0.08,0.13,0.05
Everton,29,38,18.7,18.68,13.5,1.76,0.89,1.13,1.21,0.16,2.11,2.11,1.42,0.24,0.05,0.26,0.13,0
Fulham,28,38,20.7,20.66,15.2,1.71,1.39,0.92,1.24,0.16,1.24,1.24,0.87,0.05,0.11,0.08,0.11,0.03
Leeds United,23,38,24.3,24.32,18.4,1.92,1.18,1.66,0.82,0.29,2.84,2.84,2.13,0.16,0.21,0.21,0.13,0
Leicester City,27,38,22.7,22.71,16.7,1.29,1.47,1.21,1.42,0.61,3,3,2.24,0.08,0.21,0.11,0.26,0.11
Liverpool,28,38,28.1,28.11,21.5,1.87,1.53,1.61,1.21,0.37,2.89,2.89,2.03,0.16,0.11,0.37,0.16,0.08
Manchester City,24,38,28.1,28.08,21.1,1.61,2.37,1.5,1.13,0.39,3.71,3.71,2.63,0.08,0.45,0.34,0.16,0.05
Manchester Utd,29,38,25.1,25.08,18.9,1.92,1.21,1.53,1.21,0.26,3.34,3.34,2.47,0.13,0.21,0.24,0.24,0.05
Newcastle Utd,27,38,18.1,18.11,11.9,2.24,1.34,0.95,1.47,0.16,1.97,1.97,1.21,0.18,0.16,0.18,0.18,0.05
Sheffield Utd,27,38,14.9,14.92,11.4,1.26,0.71,0.76,0.61,0.13,0.71,0.71,0.42,0.08,0.05,0.08,0.08,0
Southampton,29,38,19.2,19.16,13.5,1.66,1.11,1.24,1.34,0.32,2.18,2.18,1.29,0.21,0.16,0.18,0.29,0.05
Tottenham,24,38,20.7,20.68,14.6,1.45,1.47,1.29,1.47,0.45,3.16,3.16,2.26,0.16,0.34,0.21,0.16,0.03
West Brom,30,38,14.9,14.95,10.7,1.58,0.68,0.71,1.03,0.24,1.39,1.39,1.05,0.08,0.03,0.08,0.13,0.03
West Ham,24,38,21.7,21.66,15.2,2.42,0.97,1.47,1.39,0.24,2.79,2.79,1.92,0.32,0.03,0.34,0.18,0
Wolves,27,38,21.6,21.61,15.1,1.95,1.79,1.24,1.21,0.37,1.66,1.66,1.03,0.11,0.18,0.18,0.13,0.03
