Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
Arsenal,29,25.9,53.5,38,418,"3,420",38,1.39,1,2.39,1.24,0.16,0.16,1.29,0.13,1.36,1.24,0.92,2.16,19.9,46.3
Aston Villa,24,25.2,48.5,38,418,"3,420",38,1.37,1,2.37,1.24,0.13,0.16,1.87,0.11,1.38,1.26,0.98,2.24,16.6,37.4
Brighton,27,25.8,51.1,38,418,"3,420",38,1.03,0.63,1.66,0.87,0.16,0.24,1.29,0.16,1.34,1.15,0.87,2.03,18,39.9
Burnley,25,28.3,42.1,38,418,"3,420",38,0.84,0.53,1.37,0.76,0.08,0.08,1.26,0,1.03,0.97,0.73,1.7,10.2,26.6
Chelsea,27,26,60.9,38,418,"3,420",38,1.47,1,2.47,1.26,0.21,0.26,1.34,0.08,1.64,1.43,1.09,2.53,23.6,47.3
Crystal Palace,24,29.1,40.6,38,418,"3,420",38,1.03,0.76,1.79,0.95,0.08,0.11,1.47,0.05,0.9,0.82,0.62,1.44,13.8,29.8
Everton,29,26.3,46.4,38,418,"3,420",38,1.18,0.84,2.03,1.08,0.11,0.13,1.55,0.05,1.2,1.1,0.81,1.91,15.9,31.2
Fulham,28,25.2,49.7,38,418,"3,420",38,0.68,0.47,1.16,0.61,0.08,0.16,1.76,0.08,1.07,0.94,0.69,1.64,19.1,35.6
Leeds United,23,26.1,57.3,38,418,"3,420",38,1.58,1.18,2.76,1.47,0.11,0.11,1.61,0.03,1.46,1.38,1.1,2.48,21.3,43
Leicester City,27,26.5,54.3,38,418,"3,420",38,1.68,1.18,2.87,1.42,0.26,0.32,1.61,0,1.47,1.22,0.89,2.11,17.5,38.5
Liverpool,28,26.8,62.1,38,418,"3,420",38,1.71,1.13,2.84,1.55,0.16,0.16,1.05,0,1.78,1.66,1.27,2.92,23.3,54.1
Manchester City,24,26.1,63.5,38,418,"3,420",38,2.16,1.45,3.61,2.03,0.13,0.24,1.21,0.05,1.79,1.61,1.19,2.81,28.8,54
Manchester Utd,29,25.6,55.7,38,418,"3,420",38,1.84,1.34,3.18,1.58,0.26,0.29,1.68,0.03,1.58,1.35,1.09,2.45,23.1,48.2
Newcastle Utd,27,27.1,38.8,38,418,"3,420",38,1.16,0.68,1.84,1,0.16,0.18,1.71,0.08,1.14,0.99,0.76,1.76,12.3,23.8
Sheffield Utd,27,26.7,41.7,38,418,"3,420",38,0.5,0.34,0.84,0.42,0.08,0.11,1.92,0.08,0.86,0.78,0.66,1.43,12.9,31.5
Southampton,29,26.6,52,38,418,"3,420",38,1.24,0.87,2.11,1.11,0.13,0.16,1.37,0.08,1.08,0.96,0.68,1.64,16.5,31.4
Tottenham,24,27.2,51.6,38,418,"3,420",38,1.74,1.32,3.05,1.61,0.13,0.13,1.5,0.05,1.4,1.29,0.93,2.22,16.7,35
West Brom,30,26.4,37.9,38,418,"3,420",38,0.87,0.53,1.39,0.76,0.11,0.11,1.34,0.11,0.94,0.86,0.64,1.5,11.6,27
West Ham,24,27.8,43.2,38,418,"3,420",38,1.58,1.21,2.79,1.53,0.05,0.11,1.32,0.08,1.46,1.37,1.04,2.41,17.3,33.7
Wolves,27,26.3,49.3,38,418,"3,420",38,0.89,0.55,1.45,0.79,0.11,0.11,1.45,0.03,0.96,0.88,0.63,1.52,21.1,33.8
