Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,ck_In,ck_Out,ck_Str,Cmp,Off,Blocks
Arsenal,29,38,573.9,529.5,42.7,11.6,0.89,3.5,19.8,17.4,5.45,2.26,1.68,0.32,474.8,1.61,8.18
Aston Villa,24,38,447.3,394.8,50.6,15.5,0.32,3.34,20.5,20.5,5.61,2.79,1.03,0.39,340.5,1.87,7.24
Brighton,27,38,522.9,476.6,44.9,10.6,0.45,4.32,18.1,20.2,5.76,1.87,2.82,0.05,415.1,1.37,8.24
Burnley,25,38,409.5,361.5,45.9,12.1,0.26,2.89,20.3,19,4.53,4.05,0.13,0.03,284.9,2.11,6.92
Chelsea,27,38,678.9,633,43.8,10.6,0.76,4.05,19.7,19.3,5.95,2.03,2.97,0.05,578.1,2.08,9.53
Crystal Palace,24,38,410.4,360.7,48,12.4,0.21,1.24,14,20.3,3.97,1.76,0.76,0.71,306,1.76,9.24
Everton,29,38,492,447.9,42.4,11.2,0.74,3.18,17.4,17.4,4.39,2.45,1.39,0.08,389.3,1.71,9.53
Fulham,28,38,513.5,465.9,46.5,12.3,0.45,2.87,18.7,20.6,4.32,1.42,1.92,0.39,405.3,1.13,9.11
Leeds United,23,38,542.9,491,49.9,12.3,0.71,5.39,20.7,21.3,6.03,3.03,2.05,0.03,428.5,2,9.58
Leicester City,27,38,558.3,511.1,45.3,12.5,0.92,2.42,17.1,19.4,5.58,1.61,2.24,0.13,447.7,1.87,9.89
Liverpool,28,38,690.2,642,46.4,10.8,1.16,4.11,22.7,21.3,6.76,1.34,3.87,0.05,577.1,1.71,9.39
Manchester City,24,38,714.9,672.3,41.2,11.1,1,3.84,16.6,17.3,6.5,1.92,2.26,0.11,626.8,1.5,8.42
Manchester Utd,29,38,595.4,547.6,45.7,11.4,0.89,5.55,16.8,20,5.18,2.18,2.29,0.11,494.7,2,10.6
Newcastle Utd,27,38,387.1,338.5,47,12.2,0.32,3.21,17.2,19.1,4.24,1.76,1.34,0.53,285.2,1.53,8.45
Sheffield Utd,27,38,428,382.7,43.4,9.13,0.34,3.03,17.5,19.7,4.47,3.11,0.76,0.11,319.6,1.92,8.11
Southampton,29,38,507.6,457.6,48,13.1,0.42,2.29,14.6,21.3,4.66,2.16,2.08,0.21,392.8,2,9.03
Tottenham,24,38,541.3,493.1,47.1,13.8,0.74,3.87,13.8,19.7,4.42,3.08,0.97,0,434.4,1.18,9.5
West Brom,30,38,367.8,319.7,46.2,12.2,0.34,2.76,15.9,19.1,3.79,1.97,0.55,0.42,257.1,1.97,7.24
West Ham,24,38,444.8,398.4,44.4,10.5,0.39,2.87,20.4,19.5,4.39,2.42,1.58,0.03,334.9,1.95,9.39
Wolves,27,38,505.9,458.9,46.1,11.7,0.53,3.71,20.4,19.3,5.47,1.71,1.84,0.08,409.2,0.97,8.84
