Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np_G-xG
Arsenal,29,38,1.39,11.9,3.68,30.9,11.92,3.68,0.1,0.34,17.7,0.61,0.16,0.16,1.36,1.24,0.11,0.03,0
Aston Villa,24,38,1.37,13.5,4.68,34.6,13.53,4.68,0.09,0.26,17.3,0.42,0.13,0.16,1.38,1.26,0.1,-0.01,-0.02
Brighton,27,38,1.03,12.6,3.53,28,12.58,3.53,0.07,0.25,17.4,0.39,0.16,0.24,1.34,1.15,0.09,-0.31,-0.28
Burnley,25,38,0.84,10,3.26,32.5,10.03,3.26,0.08,0.23,17.4,0.39,0.08,0.08,1.03,0.97,0.1,-0.19,-0.21
Chelsea,27,38,1.47,14.4,5.08,35.3,14.37,5.08,0.09,0.25,17.1,0.42,0.21,0.26,1.64,1.43,0.1,-0.17,-0.17
Crystal Palace,24,38,1.03,9.08,3.34,36.8,9.08,3.34,0.1,0.28,17.6,0.47,0.08,0.11,0.9,0.82,0.09,0.13,0.13
Everton,29,38,1.18,10.4,3.76,36.2,10.39,3.76,0.1,0.29,17.2,0.39,0.11,0.13,1.2,1.1,0.11,-0.02,-0.02
Fulham,28,38,0.68,11.5,3.29,28.7,11.47,3.29,0.05,0.18,18.3,0.32,0.08,0.16,1.07,0.94,0.08,-0.38,-0.34
Leeds United,23,38,1.58,13.6,5.08,37.3,13.63,5.08,0.11,0.29,16.9,0.24,0.11,0.11,1.46,1.38,0.1,0.12,0.09
Leicester City,27,38,1.68,12.4,4.47,35.9,12.45,4.47,0.11,0.32,18.6,0.53,0.26,0.32,1.47,1.22,0.1,0.22,0.2
Liverpool,28,38,1.71,15.8,5.37,33.9,15.84,5.37,0.1,0.29,17.1,0.58,0.16,0.16,1.78,1.66,0.11,-0.07,-0.1
Manchester City,24,38,2.16,15.5,5.55,35.8,15.53,5.55,0.13,0.36,17.2,0.55,0.13,0.24,1.79,1.61,0.11,0.36,0.42
Manchester Utd,29,38,1.84,13.6,5.16,38.1,13.55,5.16,0.12,0.31,18.1,0.55,0.26,0.29,1.58,1.35,0.1,0.26,0.23
Newcastle Utd,27,38,1.16,10.3,3.42,33.3,10.26,3.42,0.1,0.29,18.3,0.66,0.16,0.18,1.14,0.99,0.1,0.02,0.01
Sheffield Utd,27,38,0.5,8.39,2.42,28.8,8.39,2.42,0.05,0.17,17.7,0.13,0.08,0.11,0.86,0.78,0.09,-0.36,-0.36
Southampton,29,38,1.24,11,4.13,37.6,11,4.13,0.1,0.27,18.6,0.53,0.13,0.16,1.08,0.96,0.09,0.15,0.14
Tottenham,24,38,1.74,11.5,4.39,38.1,11.53,4.39,0.14,0.37,18,0.92,0.13,0.13,1.4,1.29,0.12,0.34,0.31
West Brom,30,38,0.87,8.82,2.79,31.6,8.82,2.79,0.09,0.27,18.4,0.42,0.11,0.11,0.94,0.86,0.1,-0.07,-0.1
West Ham,24,38,1.58,12.2,4.16,34.1,12.21,4.16,0.13,0.37,16.1,0.45,0.05,0.11,1.46,1.37,0.12,0.12,0.16
Wolves,27,38,0.89,12.1,3.92,32.5,12.08,3.92,0.07,0.2,18.5,0.47,0.11,0.11,0.96,0.88,0.08,-0.07,-0.09
